lines_disconnected;0
BOISSL61GEN.P;[{'type': 'suav_manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z'}]}]
BUGEYL75SSV.O;[{'type': 'suav_manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z'}]}]
CRENEL71VIELM;[{'type': 'consignation_manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T1335Z', 'details': [{'type': 'consigné', 'start': '20240829T0000Z', 'end': '20240829T0900Z'}, {'type': 'manoeuvre', 'start': '20240829T0905Z', 'end': '20240829T1200Z'}, {'type': 'consigné', 'start': '20240829T1205Z', 'end': '20240829T1335Z'}]}, {'type': 'consignation', 'start': '20240829T1540Z', 'end': '20240829T2355Z', 'details': [{'type': 'consigné', 'start': '20240829T1540Z', 'end': '20240829T2355Z'}]}]
CURTIL61ZCUR5;[{'type': 'suav_manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z'}]}]
GEN.PL62GENIS;[{'type': 'suav_manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T0350Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240829T0705Z', 'end': '20240829T1650Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0705Z', 'end': '20240829T1650Z'}]}]
GEN.PL63GENIS;[{'type': 'suav_manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z'}]}]
GEN.PL64GENIS;[{'type': 'suav_manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T0350Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240829T0705Z', 'end': '20240829T1550Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0705Z', 'end': '20240829T1550Z'}]}]
GEN.PL73VIELM;[{'type': 'consignation', 'start': '20240829T0000Z', 'end': '20240829T2355Z', 'details': [{'type': 'consigné', 'start': '20240829T0000Z', 'end': '20240829T2355Z'}]}]
PYMONL61VOUGL;[{'type': 'consignation', 'start': '20240829T0000Z', 'end': '20240829T2355Z', 'details': [{'type': 'consigné', 'start': '20240829T0000Z', 'end': '20240829T2355Z'}]}]
GEN.PY762;[{'type': 'suav_manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z'}]}]
CHALOY632;[{'type': 'suav_manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z'}]}]
CPVANY632;[{'type': 'consignation', 'start': '20240829T0000Z', 'end': '20240829T2355Z', 'details': [{'type': 'consigné', 'start': '20240829T0000Z', 'end': '20240829T2355Z'}]}]
GENISY615;[{'type': 'suav_manoeuvre', 'start': '20240829T0805Z', 'end': '20240829T1455Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0805Z', 'end': '20240829T1455Z'}]}]
GENISY614;[{'type': 'suav_manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T0350Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240829T0705Z', 'end': '20240829T1550Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0705Z', 'end': '20240829T1550Z'}]}]
GENISY613;[{'type': 'suav_manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z'}]}]
GENISY612;[{'type': 'suav_manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T0350Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240829T0705Z', 'end': '20240829T1650Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0705Z', 'end': '20240829T1650Z'}]}]
PYMONY632;[{'type': 'consignation', 'start': '20240829T0000Z', 'end': '20240829T2355Z', 'details': [{'type': 'consigné', 'start': '20240829T0000Z', 'end': '20240829T2355Z'}]}]
TAVA5Y611;[{'type': 'suav_manoeuvre', 'start': '20240829T1355Z', 'end': '20240829T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T1355Z', 'end': '20240829T2355Z'}]}]
TAVA5Y612;[{'type': 'suav_manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240829T0000Z', 'end': '20240829T2355Z'}]}]
