BUGEY7G2;BUGEY7G3;BUGEY7G4;BUGEY7G5;BXNE IN1;BXNE IN3;BXNE IN4;BXNE INF;BXNE ING;GEN.P6G1;GEN.P6G2;GEN.P6G3;GEN.P6G4;GEN.P6G5;GEN.P6G6;N.SE17GROUP.1;N.SE27GROUP.2;TAVAU6GROUP.1;TAVAU6GROUP.2;VIELMIN1;VIELMIN2;VIELMIN3;VIELMINF;VIELMING;VOUGL.HG1;VOUGL.HG2;VOUGL.HG3;VOUGL.HG4
23.9;24.3;24.3;24.2;65.7;65.7;65.7;63.0;63.0;15.5;14.9;15.0;15.0;14.5;15.0;19.6;20.0;29.4;33.0;65.4;65.4;65.4;63.0;63.0;10.0;10.0;10.0;10.0
23.9;24.3;24.3;24.3;65.5;65.5;65.5;63.0;63.0;15.0;14.9;15.0;15.0;14.4;15.0;19.6;20.0;29.4;33.0;65.3;65.3;65.3;63.0;63.0;10.0;10.0;10.0;10.0
23.9;24.3;24.3;24.4;65.1;65.1;65.1;63.0;63.0;15.0;15.6;15.0;15.0;14.4;15.0;19.6;20.0;29.2;33.0;64.9;64.9;64.9;63.0;63.0;10.0;10.0;10.0;10.0
23.9;24.5;24.5;24.5;65.2;65.2;65.2;63.0;63.0;15.0;15.0;15.0;15.0;14.4;15.0;19.6;20.0;29.2;33.0;65.0;65.0;65.0;63.0;63.0;10.0;10.0;10.0;10.0
23.9;24.6;24.6;24.6;65.5;65.5;65.5;63.0;63.0;15.0;15.0;15.0;15.0;14.4;15.0;19.6;20.0;29.3;33.0;65.1;65.1;65.1;63.0;63.0;10.0;10.0;10.0;10.0
23.9;24.5;24.5;24.5;65.3;65.3;65.3;63.0;63.0;15.0;15.0;15.0;15.0;14.4;15.0;19.6;20.0;29.2;33.0;64.9;64.9;64.9;63.0;63.0;10.0;10.0;10.0;10.0
23.9;24.5;24.5;24.5;65.5;65.5;65.5;63.0;63.0;15.0;15.0;15.0;15.0;14.4;15.0;19.8;19.9;29.2;33.0;64.9;64.9;64.9;63.0;63.0;10.0;10.0;10.0;10.5
23.9;24.4;24.4;24.4;65.0;65.0;65.0;63.0;63.0;15.0;15.0;15.0;15.0;14.4;15.0;19.6;19.7;29.0;33.0;64.4;64.4;64.4;63.0;63.0;10.0;10.0;10.0;10.5
23.9;24.4;24.4;24.4;65.0;65.0;65.0;63.0;63.0;15.0;15.0;15.0;15.0;14.4;15.0;19.6;19.5;28.9;33.0;64.3;64.3;64.3;63.0;63.0;10.0;10.0;10.0;10.5
23.9;24.4;24.5;24.4;64.6;64.6;64.6;63.0;63.0;15.0;15.0;15.0;15.0;14.4;15.0;19.6;19.5;28.8;33.0;64.2;64.2;64.2;63.0;63.0;10.0;10.0;10.0;10.5
23.9;24.3;24.4;24.3;64.5;64.5;64.5;63.0;63.0;15.0;15.4;15.0;15.0;14.4;15.0;19.6;19.6;28.9;33.0;64.4;64.4;64.4;63.0;63.0;10.0;10.0;10.0;10.5
23.9;24.4;24.4;24.4;65.0;65.0;65.0;63.0;63.0;15.0;14.9;15.0;15.0;14.4;15.0;19.6;19.8;29.1;33.0;65.0;65.0;65.0;63.0;63.0;10.0;10.0;10.0;10.0
23.9;24.5;24.4;24.4;64.6;64.6;64.6;63.0;63.0;15.5;14.9;15.0;15.3;14.4;15.0;20.1;20.3;29.1;33.0;65.3;65.3;65.3;63.0;63.0;10.0;10.0;10.0;10.0
23.9;24.4;24.4;24.4;63.9;63.9;63.9;63.0;63.0;15.5;14.9;15.0;14.9;14.4;15.0;20.2;20.4;29.0;33.0;64.9;64.9;64.9;63.0;63.0;10.0;10.0;10.0;10.0
23.9;24.4;24.4;24.4;63.8;63.8;63.8;63.0;63.0;15.5;14.9;15.0;14.9;14.3;15.0;20.2;20.4;29.0;33.0;64.8;64.8;64.8;63.0;63.0;10.0;10.0;10.0;10.0
23.9;24.4;24.4;24.4;63.2;63.2;63.2;63.2;63.2;15.5;14.8;15.0;14.9;14.3;15.0;20.2;20.4;28.9;33.0;64.8;64.8;64.8;64.8;64.8;10.0;10.0;10.0;10.0
