BUGEY7G2;BUGEY7G3;BUGEY7G4;BUGEY7G5;BXNE IN1;BXNE IN3;BXNE IN4;BXNE INF;BXNE ING;GEN.P6G1;GEN.P6G2;GEN.P6G3;GEN.P6G4;GEN.P6G5;GEN.P6G6;N.SE17GROUP.1;N.SE27GROUP.2;TAVAU6GROUP.1;TAVAU6GROUP.2;VIELMIN1;VIELMIN2;VIELMIN3;VIELMINF;VIELMING;VOUGL.HG1;VOUGL.HG2;VOUGL.HG3;VOUGL.HG4
939.1;929.0;898.9;839.6;0.0;0.0;0.0;0.0;0.0;62.0;56.2;0.0;0.0;62.5;0.0;1337.1;0.0;40.3;0.0;2.7;3.1;3.4;0.0;0.0;0.0;0.0;0.0;0.0
935.9;929.4;898.6;871.6;0.0;0.0;0.0;0.0;0.0;0.0;56.3;0.0;0.0;60.9;0.0;1338.2;0.0;39.8;0.0;3.1;3.3;3.0;0.0;0.0;0.0;0.0;0.0;0.0
938.5;930.5;898.3;857.1;0.0;0.0;0.0;0.0;0.0;0.0;57.2;0.0;0.0;61.9;0.0;1334.9;0.0;41.0;0.0;3.8;3.9;3.4;0.0;0.0;0.0;0.0;0.0;0.0
936.5;926.5;899.3;841.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.8;0.0;1335.5;0.0;40.4;0.0;4.1;4.1;3.9;0.0;0.0;0.0;0.0;0.0;0.0
940.1;929.0;904.2;828.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.4;0.0;1333.7;0.0;39.8;0.0;5.6;6.7;6.4;0.0;0.0;0.0;0.0;0.0;0.0
939.0;928.7;901.1;866.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.1;0.0;1335.9;0.0;39.8;0.0;3.5;5.9;6.9;0.0;0.0;0.0;0.0;0.0;0.0
933.4;927.6;897.9;853.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.4;0.0;1336.1;147.9;39.8;0.0;2.5;3.7;3.8;0.0;0.0;0.0;0.0;0.0;-67.3
940.1;929.4;903.3;832.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.3;0.0;1335.6;493.0;40.1;0.0;3.1;4.5;3.9;0.0;0.0;0.0;0.0;0.0;-68.5
936.0;931.0;900.2;819.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.3;0.0;1334.6;553.9;40.1;0.0;3.9;6.0;4.3;0.0;0.0;0.0;0.0;0.0;-67.6
935.4;933.7;900.6;838.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.3;0.0;1330.4;549.3;39.9;0.0;3.5;7.4;7.9;0.0;0.0;0.0;0.0;0.0;-68.2
936.3;934.1;903.3;844.8;0.0;0.0;0.0;0.0;0.0;0.0;52.7;0.0;0.0;56.7;0.0;1330.5;549.3;40.1;0.0;5.9;7.9;8.3;0.0;0.0;0.0;0.0;0.0;-27.8
935.9;894.3;903.3;897.8;0.0;0.0;0.0;0.0;0.0;0.0;53.7;0.0;0.0;60.0;0.0;1324.3;547.9;45.2;0.0;5.4;9.0;8.7;0.0;0.0;0.0;0.0;0.0;0.0
938.0;859.9;906.1;871.7;0.0;0.0;0.0;0.0;0.0;60.7;53.8;0.0;60.3;60.5;0.0;1321.2;544.3;45.0;0.0;5.7;10.3;12.9;0.0;0.0;0.0;0.0;0.0;0.0
937.0;920.4;904.2;871.1;0.0;0.0;0.0;0.0;0.0;60.9;55.3;0.0;60.0;61.2;0.0;1320.6;544.0;40.1;0.0;5.1;11.3;11.4;0.0;0.0;0.0;0.0;0.0;0.0
932.0;929.6;901.4;873.5;0.0;0.0;0.0;0.0;0.0;60.6;54.9;0.0;59.7;61.3;0.0;1322.5;537.8;40.2;0.0;5.3;10.3;13.9;0.0;0.0;0.0;0.0;0.0;0.0
940.0;926.8;907.0;898.2;0.0;0.0;0.0;0.0;0.0;60.5;54.1;0.0;59.4;60.5;0.0;1326.1;545.5;39.9;0.0;6.7;12.5;14.4;0.0;0.0;0.0;0.0;0.0;0.0
936.5;931.8;906.8;886.0;0.0;0.0;0.0;0.0;0.0;61.4;55.5;0.0;60.8;62.0;0.0;1327.3;546.7;40.6;0.0;5.7;8.9;12.5;0.1;0.1;0.0;0.0;0.0;0.0
937.2;933.2;905.9;859.8;0.0;0.0;0.0;0.1;0.1;61.3;55.6;0.0;60.4;61.5;0.0;1319.0;546.6;40.7;0.0;6.4;11.4;16.2;0.2;0.2;0.0;0.0;0.0;0.0
936.5;930.8;905.5;856.2;0.0;0.0;0.0;0.2;0.2;61.0;55.2;0.0;59.9;61.7;0.0;1318.4;546.3;40.6;0.0;7.3;9.2;12.5;0.5;0.5;63.0;0.0;0.0;0.0
