BUGEY7G2;BUGEY7G3;BUGEY7G4;BUGEY7G5;BXNE IN1;BXNE IN3;BXNE IN4;BXNE INF;BXNE ING;GEN.P6G1;GEN.P6G2;GEN.P6G3;GEN.P6G4;GEN.P6G5;GEN.P6G6;N.SE17GROUP.1;N.SE27GROUP.2;TAVAU6GROUP.1;TAVAU6GROUP.2;VIELMIN1;VIELMIN2;VIELMIN3;VIELMINF;VIELMING;VOUGL.HG1;VOUGL.HG2;VOUGL.HG3;VOUGL.HG4
24.3;24.2;24.2;24.0;67.0;67.0;67.0;63.0;63.0;15.0;15.6;15.0;15.5;14.4;14.4;19.5;20.0;33.0;33.0;64.8;64.8;64.8;63.0;63.0;10.0;10.1;10.0;10.0
24.3;24.2;24.3;24.0;66.7;66.7;66.7;63.0;63.0;15.0;15.0;15.0;15.0;14.4;14.4;19.4;20.0;33.0;33.0;64.7;64.7;64.7;63.0;63.0;10.0;10.0;10.0;10.0
24.2;24.1;24.1;24.0;66.7;66.7;66.7;63.0;63.0;15.0;15.0;15.0;15.0;14.4;14.4;19.5;20.0;33.0;33.0;64.9;64.9;64.9;63.0;63.0;10.0;10.1;10.0;10.0
24.2;24.0;24.1;24.0;66.7;66.7;66.7;63.0;63.0;15.0;15.0;15.0;15.0;14.4;14.4;19.5;20.0;33.0;33.0;64.7;64.7;64.7;63.0;63.0;10.0;10.1;10.0;10.0
24.2;24.1;24.2;24.0;66.8;66.8;66.8;63.0;63.0;15.0;15.0;15.0;15.0;14.4;14.4;19.6;20.0;33.0;33.0;64.4;64.4;64.4;63.0;63.0;10.0;10.0;10.0;10.0
24.5;24.4;24.4;24.0;66.7;66.7;66.7;63.0;63.0;15.0;15.0;15.0;15.0;14.3;14.3;20.3;20.0;33.0;33.0;64.2;64.2;64.2;63.0;63.0;10.0;10.0;10.0;10.0
24.5;24.4;24.5;24.0;67.2;67.2;67.2;63.0;63.0;15.0;15.0;15.0;15.0;14.4;14.4;20.3;20.0;33.0;33.0;64.9;64.9;64.9;63.0;63.0;10.0;10.0;10.0;10.0
24.7;24.6;24.6;24.0;66.7;66.7;66.7;63.0;63.0;15.0;15.0;15.0;15.0;14.4;14.4;20.5;20.0;33.0;33.0;64.7;64.7;64.7;63.0;63.0;10.0;10.0;10.0;10.0
24.7;24.6;24.6;24.0;65.8;65.8;65.8;63.0;63.0;15.0;15.2;15.0;15.2;14.3;14.3;20.1;20.0;33.0;33.0;64.4;64.4;64.4;63.0;63.0;10.0;10.0;10.0;10.0
24.7;24.6;24.7;24.0;66.4;66.4;66.4;63.0;63.0;15.0;15.0;15.0;15.0;14.5;14.5;20.3;20.0;33.0;33.0;65.0;65.0;65.0;63.0;63.0;10.0;10.0;10.0;10.0
24.7;24.6;24.7;24.0;66.0;66.0;66.0;63.0;63.0;15.0;15.1;15.0;15.1;14.6;14.6;20.1;20.0;33.0;33.0;65.1;65.1;65.1;63.0;63.0;10.0;10.1;10.1;10.0
24.6;24.5;24.5;24.0;65.4;65.4;65.4;63.0;63.0;15.0;15.2;15.0;15.2;14.7;14.7;20.2;20.0;33.0;33.0;64.9;64.9;64.9;63.0;63.0;10.0;10.2;10.2;10.0
24.5;24.4;24.4;24.0;65.6;65.6;65.6;63.0;63.0;15.0;15.3;15.0;15.3;14.8;14.8;19.9;20.0;33.0;33.0;65.5;65.5;65.5;63.0;63.0;10.0;10.2;10.4;10.0
24.6;24.5;24.5;24.0;65.4;65.4;65.4;65.4;65.4;15.0;15.4;15.0;15.4;14.9;14.9;19.8;20.0;33.0;33.0;65.0;65.0;65.0;65.0;65.0;10.0;10.3;10.0;10.0
24.8;24.7;24.7;24.0;64.8;64.8;64.8;64.8;64.8;15.0;15.3;15.0;15.3;14.8;14.8;19.9;20.0;33.0;33.0;65.1;65.1;65.1;65.1;65.1;10.0;10.2;10.0;10.0
25.0;24.9;24.9;24.0;65.0;65.0;65.0;65.0;65.0;15.0;15.5;15.0;15.5;15.0;15.0;20.0;20.0;33.0;33.0;65.3;65.3;65.3;65.3;65.3;10.0;10.0;10.0;10.0
25.0;24.9;25.0;24.0;64.4;64.4;64.4;64.4;64.4;15.0;15.5;15.0;15.5;15.0;15.0;20.1;20.0;33.0;33.0;65.1;65.1;65.1;65.1;65.1;10.0;10.0;10.0;10.0
25.0;24.9;25.0;24.0;65.6;65.6;65.6;65.6;65.6;15.0;15.6;15.0;15.6;15.1;15.1;20.4;20.0;33.0;33.0;65.9;65.9;65.9;65.9;65.9;10.0;10.0;10.0;10.0
24.9;24.9;24.9;24.0;64.9;64.9;64.9;64.9;64.9;15.0;15.5;15.0;15.5;15.0;15.0;20.6;20.0;33.0;33.0;65.6;65.6;65.6;65.6;65.6;10.0;10.0;10.0;10.0
24.9;24.8;24.8;24.0;65.3;65.3;65.3;65.3;65.3;15.0;15.4;15.0;15.4;14.9;14.9;20.3;20.0;33.0;33.0;65.7;65.7;65.7;65.7;65.7;10.0;10.0;10.0;10.0
24.9;24.8;24.8;24.0;65.3;65.3;65.3;65.3;65.3;15.0;15.4;15.0;15.3;14.9;14.8;20.4;20.0;33.0;33.0;65.6;65.6;65.6;65.6;65.6;10.0;10.0;10.0;10.0
25.1;24.9;25.0;24.0;66.0;66.0;66.0;66.0;66.0;15.0;15.2;15.0;15.2;14.7;14.7;20.3;20.0;33.0;33.0;66.0;66.0;66.0;66.0;66.0;10.0;10.0;10.0;10.0
24.9;24.7;24.8;24.0;65.7;65.7;65.7;65.7;65.7;15.0;15.0;15.0;15.0;14.5;14.5;20.1;20.0;33.0;33.0;65.8;65.8;65.8;65.8;65.8;10.0;10.0;10.0;10.0
24.8;24.7;24.8;24.0;65.9;65.9;65.9;65.9;65.9;15.0;15.0;15.0;15.0;14.5;14.5;20.2;20.0;33.0;33.0;65.9;65.9;65.9;65.9;65.9;10.0;10.0;10.0;10.0
24.9;24.8;24.9;24.0;65.7;65.7;65.7;65.7;65.7;15.0;14.9;15.0;14.9;14.4;14.4;20.0;20.0;33.0;33.0;65.3;65.3;65.3;65.3;65.3;10.0;10.0;10.0;10.0
25.1;25.0;25.0;24.0;65.9;65.9;65.9;65.9;65.9;15.0;14.9;15.0;15.0;14.4;14.4;20.4;20.0;33.0;33.0;65.7;65.7;65.7;65.7;65.7;10.0;10.0;10.0;10.0
24.8;24.7;24.7;24.0;65.8;65.8;65.8;65.8;65.8;15.0;14.9;15.0;15.0;14.4;14.4;20.3;20.0;33.0;33.0;65.7;65.7;65.7;65.7;65.7;10.0;10.0;10.0;10.0
24.5;24.5;24.5;24.0;66.0;66.0;66.0;66.0;66.0;15.0;14.9;15.0;15.0;14.3;14.3;20.2;20.0;33.0;33.0;65.5;65.5;65.5;65.5;65.5;10.0;10.0;10.0;10.0
24.6;24.5;24.6;24.0;65.8;65.8;65.8;65.8;65.8;15.0;14.9;15.0;15.0;14.4;14.4;20.0;20.0;33.0;33.0;65.4;65.4;65.4;65.4;65.4;10.0;10.0;10.0;10.0
24.6;24.5;24.6;24.0;66.2;66.2;66.2;66.2;66.2;15.0;14.9;15.0;14.9;14.4;14.3;20.5;20.0;33.0;33.0;65.7;65.7;65.7;65.7;65.7;10.0;10.0;10.0;10.0
24.4;24.3;24.3;24.0;66.5;66.5;66.5;66.5;66.5;15.0;14.9;15.0;14.9;14.4;14.3;20.1;20.0;33.0;33.0;65.8;65.8;65.8;65.8;65.8;10.0;10.0;10.0;10.0
24.6;24.5;24.5;24.0;66.5;66.5;66.5;66.5;66.5;15.0;14.8;15.0;14.9;14.3;14.3;20.3;20.0;33.0;33.0;65.7;65.7;65.7;65.7;65.7;10.0;10.0;10.0;10.0
24.3;24.2;24.3;24.0;66.2;66.2;66.2;66.2;66.2;15.0;14.8;15.0;14.9;14.3;14.3;19.9;20.0;33.0;33.0;64.8;64.8;64.8;64.8;64.8;10.0;10.0;10.0;10.0
23.9;23.8;24.0;24.0;65.9;65.9;65.9;65.9;65.9;15.0;14.8;15.0;14.9;14.3;14.3;19.6;20.0;33.0;33.0;65.1;65.1;65.1;65.1;65.1;10.0;10.0;10.0;10.0
24.0;23.9;24.1;24.0;66.0;66.0;66.0;66.0;66.0;15.0;15.0;15.0;15.0;14.5;14.5;19.6;20.0;33.0;33.0;65.2;65.2;65.2;65.2;65.2;10.0;10.0;10.0;10.0
23.9;23.8;24.0;24.0;66.1;66.1;66.1;66.1;66.1;15.0;15.0;15.0;14.9;14.5;14.4;19.8;20.0;33.0;33.0;65.0;65.0;65.0;65.0;65.0;10.0;10.0;10.0;10.0
23.8;23.7;24.1;24.0;66.6;66.6;66.6;63.0;63.0;15.0;14.8;15.0;14.9;14.3;14.3;19.8;20.0;33.0;33.0;65.2;65.2;65.2;63.0;63.0;10.0;10.0;10.0;10.0
23.7;23.6;24.0;24.0;66.5;66.5;66.5;63.0;63.0;15.0;14.8;15.0;14.9;14.3;14.3;20.0;20.0;33.0;33.0;65.2;65.2;65.2;63.0;63.0;10.0;10.0;10.0;10.0
23.6;23.6;24.0;24.0;66.3;66.3;66.3;63.0;63.0;15.0;14.9;15.0;15.0;14.3;14.3;19.7;20.0;33.0;33.0;64.9;64.9;64.9;63.0;63.0;10.0;10.0;10.0;10.0
23.6;23.6;24.0;24.0;66.8;66.8;66.8;63.0;63.0;15.0;15.0;15.0;15.1;14.4;14.5;20.2;20.0;33.0;33.0;65.2;65.2;65.2;63.0;63.0;10.0;10.0;10.0;10.0
23.8;23.6;24.0;24.0;67.0;67.0;67.0;63.0;63.0;15.0;15.0;15.0;15.1;14.4;14.5;20.5;20.0;33.0;33.0;64.6;64.6;64.6;63.0;63.0;10.0;10.0;10.0;10.0
23.8;23.7;24.0;24.0;66.7;66.7;66.7;63.0;63.0;15.0;15.0;15.0;15.1;14.4;14.5;20.2;20.0;33.0;33.0;64.4;64.4;64.4;63.0;63.0;10.0;10.0;10.0;10.0
23.8;23.7;24.0;24.0;66.7;66.7;66.7;63.0;63.0;15.0;14.6;15.0;15.1;14.3;14.4;20.5;20.0;33.0;33.0;64.6;64.6;64.6;63.0;63.0;10.0;10.0;10.0;10.0
23.9;23.8;24.0;24.0;67.0;67.0;67.0;63.0;63.0;15.0;15.0;15.0;15.1;14.3;14.4;20.7;20.0;33.0;33.0;64.7;64.7;64.7;63.0;63.0;10.0;10.0;10.0;10.0
24.0;23.9;24.0;24.0;67.0;67.0;67.0;63.0;63.0;15.0;15.0;15.0;15.1;14.3;14.5;20.1;20.0;33.0;33.0;64.7;64.7;64.7;63.0;63.0;10.0;10.0;10.0;10.0
23.8;23.7;24.0;24.0;66.5;66.5;66.5;63.0;63.0;15.0;15.1;15.0;15.2;14.4;14.5;19.8;20.0;33.0;33.0;64.5;64.5;64.5;63.0;63.0;10.0;10.0;10.0;10.0
23.9;23.8;24.0;24.0;66.9;66.9;66.9;63.0;63.0;15.0;15.0;15.0;15.1;14.4;14.5;19.5;20.0;33.0;33.0;64.4;64.4;64.4;63.0;63.0;10.0;10.0;10.0;10.0
24.0;23.8;24.0;24.0;66.9;66.9;66.9;63.0;63.0;15.0;15.0;15.0;15.1;14.4;14.5;19.5;20.0;33.0;33.0;64.5;64.5;64.5;63.0;63.0;10.0;10.0;10.0;10.4
