lines_disconnected;0
BOCTOL72N.SE5;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z'}]}]
BOISSL61GEN.P;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z'}]}]
C.REGL61VIELM;[{'type': 'consignation', 'start': '20241008T0000Z', 'end': '20241008T0420Z', 'details': [{'type': 'consigné', 'start': '20241008T0000Z', 'end': '20241008T0420Z'}]}]
CHALOL31LOUHA;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z'}]}]
CURTIL61ZCUR5;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z'}]}]
GEN.PL61GENIS;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z'}]}]
GEN.PL62GENIS;[{'type': 'suav_manoeuvre', 'start': '20241008T0005Z', 'end': '20241008T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0005Z', 'end': '20241008T0350Z'}]}]
GEN.PL63GENIS;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z'}]}]
GEN.PL64GENIS;[{'type': 'suav_manoeuvre', 'start': '20241008T0005Z', 'end': '20241008T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0005Z', 'end': '20241008T0350Z'}]}]
GEN.PL73VIELM;[{'type': 'consignation', 'start': '20241008T0135Z', 'end': '20241008T0405Z', 'details': [{'type': 'consigné', 'start': '20241008T0135Z', 'end': '20241008T0405Z'}]}]
M.SEIL72VIELM;[{'type': 'consignation', 'start': '20241008T0140Z', 'end': '20241008T0410Z', 'details': [{'type': 'consigné', 'start': '20241008T0140Z', 'end': '20241008T0410Z'}]}]
GEN.PY762;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T0640Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T0640Z'}]}]
GROSNY771;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z'}]}]
GROSNY761;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z'}]}]
VIELMY771;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T0925Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T0925Z'}]}]
VIELMY761;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T0935Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T0935Z'}]}]
VIELMY762;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T0815Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T0815Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241008T1555Z', 'end': '20241008T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T1555Z', 'end': '20241008T2355Z'}]}]
VIELMY763;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T0835Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T0835Z'}]}]
H.PAUY772;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T0420Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T0420Z'}]}]
COUCHY631;[{'type': 'consignation', 'start': '20241008T0000Z', 'end': '20241008T2355Z', 'details': [{'type': 'consigné', 'start': '20241008T0000Z', 'end': '20241008T2355Z'}]}]
GENISY611;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z'}]}]
GENISY614;[{'type': 'suav_manoeuvre', 'start': '20241008T0005Z', 'end': '20241008T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0005Z', 'end': '20241008T0350Z'}]}]
GENISY613;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z'}]}]
GENISY612;[{'type': 'suav_manoeuvre', 'start': '20241008T0005Z', 'end': '20241008T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0005Z', 'end': '20241008T0350Z'}]}]
N.SE5Y712;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z'}]}]
TAVA5Y612;[{'type': 'suav_manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241008T0000Z', 'end': '20241008T2355Z'}]}]
