AISER3SAUX.1;AISER3TSNCF.1;AUXON3TR312;AUXON3TR313;B.ROC3G1;B.ROC3G2;B.ROC3X1;B.ROC3X2;BEON3 TR311;BOCTO7N.SE5-Y71G;BOCTO7N.SE5-Y71H;BUGEY1TS2;BUGEY1TS3;BUGEY1TS4;BUGEY1TS5;BXNE3 TR311;BXNE3 TR313;BXNE53G1;C.FOU3TR311;C.FOU3TR313;C.REG3TR314;C.REG6TR613;C.REG6TR614;C.REG6TR615;C.SAU3TR311;C.SAU3TR312;CHAGN3TSNCF.1;CHAGN3X1;CHAL53G1;CHALO3TR311;CHALO3TR312;CHALO3TR313;CIZE6 T611SNCF;CIZE6 T612SNCF;COLLO3TSNCF.1;COMMU6TR612;COMMU6TR613;COMMU6TSNCF.1;CORGO3SAUX.1;CORGO3TSNCF.1;COUCH3TR312;CPVAN3TR311;CPVAN3TR312;CUISE3TR311;CURTI6TSNCF.1;CURTI6TSNCF.2;FRON53SAUX.1;FRON53TSNCF.1;FTAIN3TSNCF.1;G.CHE3TR311;G.CHE3TR312;GENLI3TR311;GENLI3TR312;GEVRE3G1;GEVRE3X1;GEVRE3X2;KIR3  TR311;KIR3  TR312;LOUHA3TR312;LOUHA3TR313;MACON6TR611;MACON6TR612;MERVA3SAUX.1;MERVA3TSNCF;MEURS3G1;MEURS3SAUX.1;MOLLE3TR311;MOLLE3TR313;MTAGN3TR311;MTAGN3TR313;N.GEO3TR311;N.GEO3TR312;N.SE17TS1;N.SE27TS2;NAVIL3SAUX.1;NAVIL3TSNCF;P.SAO3TR311;P.SAO3TR312;PERRI3G1;PERRI3G2;PERRI3G3;PYMON6TR613.C;PYMON6TR613.F;PYMON6TR614.C;PYMON6TR614.F;RIBAU3TSNCF.1;ROMEL3TR311;ROMEL3TR312;RONCI3SAUX.1;RONCI3TSNCF.1;SAISS3T311;SAISS3T312;SSUSU3SAUX.1;SSUSU3TSNCF;TAVAU6T10.T32;TAVAU6T7.T9.T31;TILLE3TSNCF.1;VELAR3G1;VELAR3G2;VIELM3TR311;VIELM3TR312;VIELM3TR313;VOSNE3SAUX.1;VOSNE3TSNCF.1;VOUGL3T311S.A.;.VERBL61GEN.P;.VERBL62GEN.P;ARBOIL31CPVAN;ARLODL61GEN.P;B.TOLL71GEN.P;BLYE L31SAISS;BOCTOL71MORBR;BOCTOL72MORBR;BOISSL61C.FO6;BOISSL61CUS.P;BOISSL61MEUNI;BOISSL61MEYZI;BOISSL62CUS.P;BOISSL62MIONS;BOISSL63SSV.E;BOISSY631;BOISSY632;BOISSY633;BOISSY761;BOISSY762;BREU5L61H.PAU;BREVAL31CPVAN;C.REGL31COUB6;C.REGL31LAVOI;C.REGL31MARC6;C.REGL31SSAPO;C.REGL32LAVOI;C.REGL32MARC6;C.REGL33LAVOI;C.ROYL31CHALO;CBRY L71M.SEI;CHA.NL31CHALO;CHA.NL32CHALO;CHA.NL33CHALO;CHAFFL71SSV.O;CHAFFL72SSV.O;CHAFFL73SSV.O;CHAFFL74SSV.O;CHALOL31CHAL6;CHALOL31SENNE;CHALOL32VAREN;CHANCL32VOUGL;CHARPL71SSV.O;CHARPL72SSV.O;CHAV6L61GEN.P;CHESNL71M.SEI;CHESNL72M.SEI;CORNIL62GEN.P;CORNIL71GEN.P;CPDIVL32CPVAN;CPNOLL61GEN.P;CPVANL31MESNA;CPVANL31ZBRE6;CRENEL71REVIG;CRENEY766;CRENEY778;CREYSL71G.ILE;CREYSL72G.ILE;CRIMOL31ZCRIM;DARCEL61VIELM;F.FREL71M.SEI;FLEYRY631;FLEYRY632;FRASNL71GEN.P;G.CHEL31SSAM6;G.CHEL31SSAM7;GEN.PL61SERRI;GEN.PL61ZCRUS;GEN.PY711;GROSNY711;GUEUGY631;GUEUGY632;GUEUGY633;H.PAUY634;H.PAUY635;H.PAUY651;H.PAUY652;H.PAUY712;HOUDRL71M.SEI;HOUDRL72M.SEI;IZERNY631;IZERNY633;JOUX L61ZJOUX;L.SAUL31PYMON;L.SAUL32PYMON;L.SAUL33PYMON;M.SEIY741;M.SEIY742;M.SEIY743;M.SEIY744;MACONY631;MACONY632;MACONY633;MAGNYL31TRIEY;MOREZL31SAISS;P.BERL31PERRI;P.BERL31ROMEL;SARRYL61VIELM;SAULIL31VIELM;SEREIL71VIELM;SSCL5L31VOUGL;VENARL31VIELM;VERREL31VIELM;VERREL32VIELM;VIELML31ZE.CR;VIELML31ZPOIS;VIELMY711;VOUGLL31ZS.M5;VOUGLL32ZP.SA
-0.0;-0.0;-1.5;-1.5;0.2;0.2;0.2;0.2;-1.1;-12.7;0.0;13.0;13.0;17.6;-4.1;-2.2;-2.2;0.0;-2.0;-2.0;-3.1;1.8;3.6;2.0;-1.8;-1.8;0.2;0.2;1.2;-3.3;-3.3;-3.3;-1.6;-1.6;-0.1;-4.3;0.0;0.0;-0.7;-0.7;-5.7;-0.2;-0.2;-3.1;0.0;-2.7;-0.0;-0.0;1.2;-0.1;-0.1;-0.4;-0.4;0.3;0.3;0.3;-2.3;-2.3;-1.0;-1.0;0.3;0.0;-0.6;-0.6;-0.3;-0.3;-0.7;-0.7;0.1;0.1;-1.3;-1.3;20.0;-3.3;0.2;0.2;-1.6;-1.6;-0.2;-0.2;-0.2;0.1;0.0;0.0;0.0;-6.8;0.1;0.1;0.3;0.3;-0.7;-0.7;0.5;0.5;8.9;8.9;0.0;-0.2;-0.2;-5.1;-5.1;-5.1;-0.1;-0.1;-5.4;-32.6;0.0;-6.1;-11.3;-128.5;0.1;-40.4;-40.9;0.3;-22.4;-25.2;-8.9;-22.4;47.6;-16.6;10.3;-2.3;-5.9;36.8;37.4;1.0;0.0;-6.0;-2.0;-6.8;-2.0;-4.0;-6.5;-2.7;-3.3;18.1;0.7;0.7;0.6;0.0;-38.0;-37.6;-71.3;0.4;-3.3;-2.0;-0.8;17.2;16.6;16.8;0.0;111.0;-14.4;19.5;-2.3;0.0;-5.5;-2.7;9.5;-87.5;0.0;33.5;33.5;0.1;9.1;29.7;-5.1;-5.3;-91.6;-0.0;0.9;20.8;-16.8;68.1;68.2;0.0;-12.0;-12.9;8.3;-30.3;6.5;0.0;68.4;-82.3;-82.3;-8.3;-8.7;-3.3;-4.6;-0.0;-4.6;-7.7;-6.1;-14.6;-13.5;-11.3;7.4;-11.8;-0.7;-1.8;-0.0;0.0;43.9;-8.9;20.7;-3.2;-1.9;-2.5;-2.2;-5.9;-0.5;68.6;-0.8;-3.9
0.0;0.0;-1.6;-1.6;0.2;0.2;0.2;0.2;-1.1;-12.8;0.0;13.0;13.0;15.7;-5.9;-2.2;-2.2;0.0;-2.0;-2.0;-3.5;1.8;4.1;2.3;-1.5;-1.5;0.2;0.2;0.7;-3.5;-3.5;-3.5;-1.7;-1.7;-0.0;-4.7;0.0;0.0;-0.6;-0.6;-6.1;0.3;0.3;-2.9;0.0;-2.3;0.0;0.0;0.6;-0.0;-0.0;-0.3;-0.3;0.2;0.2;0.2;-2.1;-2.1;-1.2;-1.2;0.6;0.0;-0.9;-0.9;-0.1;-0.1;-0.6;-0.6;-0.1;-0.1;-1.0;-1.0;20.0;-3.2;0.2;0.2;-1.4;-1.4;-0.3;-0.3;-0.3;-0.9;0.0;0.0;0.0;-8.0;-0.1;-0.1;0.3;0.3;-0.8;-0.8;0.9;0.9;9.0;9.0;0.0;-0.3;-0.3;-5.2;-5.2;-5.2;-0.2;-0.2;-6.8;-27.6;0.0;-6.2;-10.1;-125.4;0.1;-42.0;-42.4;0.1;-22.4;-25.3;-8.2;-22.4;48.0;-17.8;9.9;-2.7;-6.2;37.4;38.0;0.7;0.0;-6.0;-2.0;-6.6;-2.4;-4.0;-6.3;-2.7;-3.3;23.5;0.8;0.8;0.7;0.0;-32.8;-32.5;-69.6;0.4;-3.0;-2.4;-1.0;17.8;17.2;2.1;0.0;109.1;-9.9;14.3;-2.2;0.0;-5.6;-2.8;12.2;-89.5;0.0;30.0;30.0;-0.1;8.2;15.5;-5.4;-5.6;-90.6;-0.0;0.9;22.2;-12.3;68.5;68.4;0.0;-10.6;-11.5;8.8;-29.9;6.7;0.0;68.5;-80.7;-80.7;-7.9;-8.3;-1.3;-4.0;-0.0;-4.0;-7.3;-7.4;-14.1;-15.7;-11.5;7.2;-12.0;-0.5;-1.8;-0.0;0.0;43.8;-8.8;21.0;-2.3;-1.7;-2.4;-2.1;-5.9;-0.5;68.8;-1.0;-2.8
0.1;0.1;-1.5;-1.5;0.1;0.1;0.1;0.1;-1.3;-11.4;0.0;13.0;13.0;15.4;-6.2;-2.3;-2.3;0.0;-1.9;-1.9;-4.1;1.9;3.9;2.2;-1.6;-1.6;0.4;0.4;0.6;-2.8;-2.8;-2.8;-1.5;-1.5;-0.1;-4.5;0.0;0.0;-0.6;-0.6;-6.4;0.3;0.3;-3.4;0.0;-2.6;-0.3;-0.3;1.4;0.1;0.1;-0.4;-0.4;0.3;0.3;0.3;-2.2;-2.2;-0.9;-0.9;0.5;0.0;-0.4;-0.4;-0.4;-0.4;-0.6;-0.6;-0.2;-0.2;-1.3;-1.3;20.0;-1.8;0.2;0.2;-1.6;-1.6;-0.2;-0.2;-0.2;-1.7;0.0;0.0;0.0;-7.6;0.2;0.2;0.2;0.2;-1.0;-1.0;0.4;0.4;8.7;8.7;0.0;-0.2;-0.2;-5.3;-5.3;-5.3;0.0;0.0;-4.8;-31.3;0.0;-6.0;-11.0;-133.0;0.1;-48.3;-48.6;-0.8;-23.0;-25.9;-8.7;-23.1;50.8;-18.6;9.5;-3.0;-6.4;39.5;40.0;0.5;0.0;-5.9;-2.1;-6.7;-2.4;-3.9;-6.4;-2.7;-3.3;25.4;0.4;0.4;0.3;0.0;-21.2;-21.1;-43.7;0.1;-3.3;-2.4;-1.2;12.1;11.6;1.8;0.0;92.0;-10.9;12.0;-2.3;0.0;-5.4;-3.0;14.8;-90.7;0.0;30.2;30.2;0.0;10.9;17.1;-11.8;-2.2;-90.7;-0.0;0.9;21.5;-13.3;68.2;68.2;0.0;-11.6;-12.5;8.4;-30.2;6.5;0.0;68.4;-73.1;-73.1;-7.4;-7.8;-2.1;-3.7;-0.0;-3.7;-7.7;-9.2;-14.6;-18.6;-11.7;6.9;-12.2;-0.6;-2.2;-0.0;0.0;42.0;-8.9;17.1;-3.3;-1.9;-2.4;-2.2;-6.0;-0.5;68.7;-1.2;-3.6
0.1;0.1;-1.4;-1.4;0.1;0.1;0.1;0.1;-1.5;-12.9;0.0;13.0;13.0;17.2;-3.5;-2.5;-2.5;0.0;-1.9;-1.9;-3.5;2.0;3.9;2.2;-1.8;-1.8;0.4;0.4;0.9;-2.8;-2.8;-2.8;-1.8;-1.8;-0.3;-4.6;0.0;0.0;-0.2;-0.2;-5.9;-0.6;-0.6;-3.4;0.0;-2.7;-0.3;-0.3;1.0;-0.0;-0.0;-0.2;-0.2;0.1;0.1;0.1;-1.7;-1.7;-0.9;-0.9;0.5;0.0;-0.2;-0.2;-0.3;-0.3;-0.8;-0.8;-0.6;-0.6;-1.2;-1.2;20.0;-3.4;0.2;0.2;-1.6;-1.6;-0.2;-0.2;-0.2;-1.5;0.0;0.0;0.0;-6.6;0.2;0.2;0.2;0.2;-0.7;-0.7;0.2;0.2;8.7;8.7;0.0;-0.2;-0.2;-5.3;-5.3;-5.3;0.2;0.2;-4.8;-31.4;0.0;-6.0;-11.1;-134.2;0.1;-48.5;-48.7;-0.5;-24.1;-25.7;-10.5;-24.2;52.6;-19.1;9.9;-2.7;-6.1;39.9;40.5;0.8;0.0;-6.0;-2.2;-6.7;-2.4;-4.1;-6.4;-2.8;-3.3;29.7;0.6;0.5;0.5;0.0;-20.5;-20.4;-44.1;0.2;-3.2;-2.0;-1.1;4.2;3.8;2.6;0.0;86.6;-12.4;11.7;-2.3;0.0;-5.4;-3.7;14.9;-91.4;0.0;32.8;32.8;0.3;10.5;21.0;-11.8;-2.2;-86.7;-0.0;0.9;21.1;-14.8;68.2;68.2;0.0;-9.8;-10.7;8.9;-29.6;6.6;0.0;68.3;-72.0;-72.0;-6.6;-7.0;-3.9;-3.6;-0.0;-3.6;-7.3;-9.4;-14.2;-19.0;-11.5;7.2;-12.0;-0.7;-2.3;-0.0;0.0;40.9;-9.0;15.8;-2.9;-1.8;-2.3;-2.1;-6.0;-0.5;68.7;-1.1;-3.3
0.3;0.3;-1.6;-1.6;0.2;0.2;0.2;0.2;-1.6;-12.1;0.0;13.0;13.0;16.0;-3.3;-2.2;-2.2;0.0;-1.9;-1.9;-3.8;1.6;3.7;2.1;-1.6;-1.6;0.4;0.4;0.7;-2.9;-2.9;-2.9;-2.4;-2.4;0.1;-4.2;0.0;0.0;-1.0;-1.0;-6.3;2.3;2.3;-3.5;0.0;-3.1;-0.3;-0.3;1.5;-0.0;-0.0;-0.2;-0.2;0.4;0.4;0.4;-2.1;-2.1;-0.9;-0.9;0.4;0.0;-0.3;-0.3;-0.4;-0.4;-0.7;-0.7;-0.0;-0.0;-0.9;-0.9;20.0;-2.5;0.2;0.2;-1.5;-1.5;-0.3;-0.3;-0.3;-1.0;0.0;0.0;0.0;-10.7;-0.1;-0.1;0.1;0.1;-0.9;-0.9;0.4;0.4;8.8;8.8;0.0;-0.3;-0.3;-5.3;-5.3;-5.3;-0.1;-0.1;-5.4;-35.7;0.0;-6.2;-10.9;-132.5;0.1;-48.5;-48.8;-1.3;-24.3;-26.7;-9.8;-24.3;55.7;-19.3;10.0;-2.6;-7.2;40.9;41.4;0.8;0.0;-6.4;-2.3;-6.6;-2.4;-3.9;-6.5;-2.7;-3.3;28.2;0.7;0.7;0.6;0.0;-2.3;-2.4;-6.9;0.4;-3.2;-2.4;-0.8;2.0;1.6;4.2;0.0;84.1;-13.2;7.0;-2.4;0.0;-5.6;-3.6;13.6;-92.2;0.0;33.2;33.2;0.2;12.3;10.9;-11.5;-1.9;-93.0;-0.0;0.9;22.6;-15.5;68.3;68.2;0.0;-13.6;-14.5;8.0;-30.6;6.4;0.0;68.5;-78.8;-78.8;-5.8;-6.1;-2.0;-3.7;-0.0;-3.7;-6.6;-9.6;-13.1;-19.4;-11.6;7.0;-12.2;-0.7;-1.9;-0.0;0.0;39.2;-9.0;12.8;-2.8;-1.7;-2.2;-2.0;-6.1;-0.5;68.8;-0.9;-2.8
0.1;0.1;-1.5;-1.5;0.1;0.1;0.1;0.1;-1.6;-10.5;0.0;13.0;13.0;16.0;-4.5;-2.3;-2.3;0.0;-1.9;-1.9;-1.8;1.2;3.3;1.9;-1.4;-1.4;0.4;0.4;1.0;-3.2;-3.2;-3.2;-2.0;-2.0;0.0;-4.3;0.0;0.0;-0.3;-0.3;-6.7;-0.2;-0.2;-2.4;0.0;-2.4;-0.0;-0.0;1.8;0.1;0.1;-0.3;-0.3;0.3;0.3;0.3;-1.8;-1.8;-1.0;-1.0;0.2;0.0;0.2;0.2;-0.5;-0.5;-0.9;-0.9;-0.4;-0.4;-1.0;-1.0;20.0;-0.7;0.1;0.1;-1.4;-1.4;-0.3;-0.3;-0.3;-0.5;0.0;0.0;0.0;-6.4;0.1;0.1;0.3;0.3;-0.5;-0.5;-0.3;-0.3;8.1;8.1;0.0;-0.3;-0.3;-4.9;-4.9;-4.9;-0.1;-0.1;-7.7;-30.4;0.0;-5.8;-11.2;-127.4;0.0;-46.2;-46.5;-1.3;-26.3;-26.3;-10.5;-26.4;58.4;-18.1;9.7;-2.7;-6.6;39.8;40.3;0.5;0.0;-6.3;-2.4;-6.7;-2.4;-4.1;-6.4;-2.8;-3.4;26.2;0.7;0.7;0.6;0.0;1.9;1.7;-0.5;0.4;-2.9;-1.6;-0.1;-0.6;-1.0;3.3;0.0;82.6;-13.4;11.1;-2.3;0.0;-5.2;-3.6;13.9;-90.8;0.0;35.2;35.2;0.1;10.5;19.7;-10.4;-0.9;-90.6;-0.0;0.6;20.9;-15.7;67.8;67.7;0.0;-10.1;-11.0;9.2;-29.2;7.0;0.0;67.9;-77.3;-77.3;-4.6;-4.9;-2.4;-4.5;-0.0;-4.5;-6.2;-8.1;-12.5;-16.9;-11.4;7.1;-11.9;-0.9;-1.9;-0.0;0.0;37.9;-9.0;14.3;-2.4;-1.9;-2.6;-2.4;-6.0;-0.5;68.3;-0.3;-2.5
-0.8;-0.8;-1.2;-1.2;0.3;0.3;0.3;0.3;-1.5;-12.5;0.0;13.0;13.0;16.0;-4.9;-2.1;-2.1;0.0;-1.9;-1.9;-0.8;0.4;1.4;0.8;-1.5;-1.5;0.3;0.3;0.8;-3.2;-3.2;-3.2;-1.7;-1.7;-0.5;-4.5;0.0;0.0;-1.2;-1.2;-5.5;1.5;1.5;-1.5;0.0;-2.4;-0.3;-0.3;0.9;0.7;0.7;-0.5;-0.5;0.4;0.4;0.4;-2.0;-2.0;-0.8;-0.8;0.5;0.0;-0.3;-0.3;-0.2;-0.2;-1.0;-1.0;0.5;0.5;-1.0;-1.0;20.0;-2.9;0.2;0.2;-1.5;-1.5;-0.2;-0.2;-0.2;-1.5;0.0;0.0;0.0;-8.6;0.3;0.3;0.9;0.9;-0.5;-0.5;0.3;0.3;8.0;8.0;0.0;-0.2;-0.2;-4.9;-4.9;-4.9;-0.2;-0.2;-7.1;-33.2;0.0;-5.8;-11.6;-118.0;0.0;-49.4;-49.6;-0.7;-26.1;-24.8;-9.7;-26.1;55.5;-17.1;9.5;-3.0;-6.1;38.6;39.2;0.6;0.0;-4.6;-2.3;-5.8;-2.0;-4.0;-5.8;-2.7;-3.4;23.2;0.6;0.6;0.5;0.0;-5.1;-5.2;-6.2;0.2;-2.8;-2.0;-0.2;-5.9;-6.3;-0.7;0.0;72.0;-12.3;17.5;-2.3;0.0;-5.3;-3.4;15.4;-86.6;0.0;32.7;32.7;0.7;10.0;25.2;-10.5;-1.0;-82.1;-0.0;0.0;20.6;-14.6;67.4;67.5;0.0;-10.1;-11.0;9.3;-29.0;7.2;0.0;67.7;-74.2;-74.2;-4.5;-4.9;-4.0;-3.8;-0.0;-3.8;-6.8;-8.7;-13.4;-17.9;-11.0;7.4;-11.5;0.3;-1.9;-0.0;0.0;34.9;-8.9;13.4;-2.6;-2.2;-2.7;-2.4;-5.9;-0.5;68.0;-0.4;-2.8
-0.6;-0.6;-1.2;-1.2;0.2;0.2;0.2;0.2;-1.5;-12.7;0.0;13.0;13.0;16.0;-5.6;-2.2;-2.2;0.0;-1.9;-1.9;-2.9;0.5;2.0;1.1;-1.1;-1.1;0.3;0.3;1.4;-2.8;-2.8;-2.8;-1.9;-1.9;-0.4;-4.3;0.0;0.0;0.6;0.6;-5.5;1.0;1.0;-1.6;0.0;-3.2;-0.0;-0.0;1.0;0.3;0.3;-0.0;-0.0;0.2;0.2;0.2;-1.9;-1.9;-0.7;-0.7;0.2;0.0;-0.1;-0.1;-0.4;-0.4;-1.3;-1.3;-0.7;-0.7;-1.0;-1.0;20.0;-3.2;0.2;0.2;-1.4;-1.4;-0.2;-0.2;-0.2;1.1;0.0;0.0;0.0;-7.1;0.6;0.6;0.8;0.8;-0.6;-0.6;-0.0;-0.0;8.2;8.2;0.0;-0.2;-0.2;-4.7;-4.7;-4.7;0.4;0.4;-5.2;-33.2;0.0;-5.2;-11.9;-99.9;0.0;-40.1;-40.6;-0.5;-25.5;-22.9;-9.6;-25.5;51.5;-15.9;10.7;-1.9;-6.1;33.8;34.5;0.3;0.0;-5.1;-2.3;-5.6;-2.0;-4.0;-5.7;-2.7;-3.4;20.5;1.0;1.0;0.9;0.0;-28.8;-28.5;-56.9;0.7;-2.8;-2.0;0.2;-8.2;-8.4;-2.4;0.0;86.9;-16.4;25.4;-2.2;0.0;-4.8;-2.5;15.1;-77.9;0.0;34.0;34.0;-0.3;3.9;16.9;-9.0;0.5;-71.3;-0.0;0.9;25.4;-18.6;67.1;67.6;0.0;-10.6;-11.5;9.8;-28.6;7.5;0.0;68.0;-71.8;-71.8;-4.2;-4.5;-1.3;-3.0;-0.0;-3.0;-6.7;-8.1;-13.2;-16.9;-10.5;8.0;-11.0;0.0;-1.6;-0.0;0.0;30.0;-7.5;16.4;-2.2;-2.5;-3.1;-2.9;-6.0;-0.5;68.2;-0.1;-2.7
-0.4;-0.4;-1.4;-1.4;0.2;0.2;0.2;0.2;-1.3;-9.0;0.0;13.0;13.0;16.0;-5.2;-1.7;-1.7;0.0;-1.7;-1.7;-2.5;-0.3;-1.4;-0.8;-1.2;-1.2;0.1;0.1;0.8;-2.7;-2.7;-2.7;-1.4;-1.4;0.1;-3.0;0.0;0.0;-1.0;-1.0;-3.7;0.2;0.2;-1.2;0.0;-2.8;-0.2;-0.2;1.0;0.5;0.5;-0.8;-0.8;-0.2;-0.2;-0.2;-2.2;-2.2;-0.5;-0.5;0.1;0.0;0.4;0.4;-0.2;-0.2;-1.1;-1.1;0.9;0.9;0.0;0.0;20.0;-0.1;0.2;0.2;-1.3;-1.3;-0.1;-0.1;-0.1;0.4;0.4;0.0;0.0;-4.7;0.9;0.9;0.1;0.1;-0.3;-0.3;-0.4;-0.4;9.7;9.7;0.0;-0.2;-0.2;-4.6;-4.6;-4.6;-0.2;-0.2;-6.2;-22.8;0.0;-4.5;-11.4;-58.7;0.0;-29.6;-30.3;0.6;-24.7;-22.4;-8.5;-24.8;49.9;-15.2;10.7;-1.8;-4.2;31.2;31.9;-0.1;-0.0;-4.6;-2.1;-5.1;-1.6;-3.9;-5.3;-2.6;-3.1;13.5;1.7;1.7;1.6;0.0;-28.3;-28.0;-51.7;1.3;-2.6;-1.6;0.5;-8.0;-8.3;-9.4;0.0;103.4;-13.9;32.0;-1.9;0.0;-4.2;-1.8;11.4;-88.8;0.0;29.8;29.8;1.8;-2.2;4.9;-7.9;1.5;-63.3;-0.0;0.9;23.5;-15.9;66.5;67.3;0.0;-4.8;-5.8;12.6;-25.7;8.2;0.0;67.8;-74.8;-74.8;-3.9;-4.2;-3.5;-2.6;-0.0;-2.6;-7.0;-9.1;-13.6;-18.5;-9.4;9.0;-9.9;-1.0;-1.4;-0.0;0.0;28.5;-5.9;12.1;-1.7;-2.5;-3.3;-3.1;-5.4;-0.5;69.1;0.2;-2.4
-0.7;-0.7;-1.6;-1.6;0.2;0.2;0.2;0.2;-1.2;-8.7;0.0;13.0;13.0;16.0;-5.0;-1.4;-1.4;0.0;-1.7;-1.7;0.1;0.0;-3.2;-1.5;-1.3;-1.3;0.1;0.1;1.2;-1.5;-1.5;-1.5;-1.6;-1.6;0.5;-2.0;0.0;0.0;-0.9;-0.9;-6.3;4.0;4.0;-0.7;0.0;-1.7;-0.1;-0.1;1.1;0.7;0.7;-0.8;-0.8;0.3;0.3;0.3;-1.8;-1.8;-0.4;-0.4;0.6;0.0;-0.0;-0.0;-0.3;-0.3;-1.0;-1.0;1.0;1.0;0.0;0.0;20.0;0.4;0.2;0.2;-1.3;-1.3;-0.1;-0.1;-0.1;0.1;0.0;0.0;0.0;-9.4;1.4;1.4;0.4;0.4;0.0;0.0;0.1;0.1;10.4;10.4;0.0;-0.3;-0.3;-4.1;-4.1;-4.1;-0.2;-0.2;-5.7;-8.8;0.0;-4.4;-9.8;-36.0;0.0;-54.0;-54.1;0.7;-27.0;-21.7;-4.3;-27.1;54.9;-12.8;11.7;-0.7;-4.5;28.6;29.2;0.5;-0.0;-4.1;-1.9;-5.0;-0.8;-3.8;-5.4;-2.6;-2.8;-7.3;1.3;1.3;1.2;0.0;-23.4;-23.2;-45.8;0.9;-1.8;-0.8;1.3;-27.9;-28.0;-1.6;63.3;63.1;-10.3;24.0;-1.7;0.0;-4.1;-1.0;4.8;-86.8;0.0;33.8;33.8;1.6;-8.8;-28.1;-1.0;-1.2;-56.0;0.4;-0.0;28.1;-11.8;-0.0;68.0;0.0;-6.6;-7.6;13.1;-25.4;8.6;0.0;68.1;-51.2;-51.2;-12.1;6.5;-1.7;-1.6;-0.0;-1.6;-7.8;-7.7;-6.6;-16.1;-7.7;10.8;-8.1;-0.6;-1.3;-0.0;0.0;21.8;-5.9;7.7;-0.7;-3.3;-4.6;-4.2;-5.3;-0.5;69.5;1.0;-1.4
