BUGEY7G2;BUGEY7G3;BUGEY7G4;BUGEY7G5;BXNE IN1;BXNE IN3;BXNE IN4;BXNE INF;BXNE ING;GEN.P6G1;GEN.P6G2;GEN.P6G3;GEN.P6G4;GEN.P6G5;GEN.P6G6;N.SE17GROUP.1;N.SE27GROUP.2;TAVAU6GROUP.1;TAVAU6GROUP.2;VIELMIN1;VIELMIN2;VIELMIN3;VIELMINF;VIELMING;VOUGL.HG1;VOUGL.HG2;VOUGL.HG3;VOUGL.HG4
922.0;922.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.8;66.3;1317.0;0.0;0.0;0.0;5.3;5.2;2.6;0.0;0.0;0.0;0.0;0.0;0.0
923.7;923.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.1;0.0;1311.9;0.0;0.0;0.0;5.0;5.2;2.5;0.0;0.0;0.0;0.0;0.0;0.0
922.8;925.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.4;0.0;1314.8;0.0;0.0;0.0;5.0;4.6;2.4;0.0;0.0;0.0;0.0;0.0;-67.4
922.3;921.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.9;0.0;1310.8;0.0;0.0;0.0;3.9;4.1;2.2;0.0;0.0;0.0;0.0;0.0;-67.4
925.1;923.3;175.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.2;0.0;1311.5;0.0;0.0;0.0;4.2;3.4;1.3;0.0;0.0;0.0;0.0;0.0;-67.3
924.2;924.0;183.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.2;0.0;1309.0;0.0;0.0;0.0;3.0;2.9;1.3;0.0;0.0;0.0;0.0;0.0;-66.8
920.7;919.4;325.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.5;61.3;1310.8;0.0;0.0;0.0;3.4;3.4;1.3;0.0;0.0;0.0;0.0;0.0;-66.7
920.1;918.4;487.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.4;63.3;1312.6;0.0;0.0;0.0;2.8;4.3;2.8;0.0;0.0;0.0;0.0;0.0;0.0
921.7;920.0;592.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.6;66.8;65.9;1317.7;0.0;0.0;0.0;3.5;2.9;0.9;0.0;0.0;0.0;0.0;0.0;0.0
922.2;922.2;767.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.3;68.4;66.3;1318.0;0.0;0.0;0.0;3.3;3.2;1.2;0.0;0.0;0.0;0.0;0.0;0.0
922.6;921.5;836.7;0.0;0.0;0.0;0.0;0.0;0.0;55.5;55.3;0.0;59.8;59.6;60.4;1311.7;0.0;0.0;0.0;3.0;2.9;0.9;0.0;0.0;0.0;0.0;0.0;0.0
927.3;926.3;852.7;0.0;0.0;0.0;0.0;0.0;0.0;55.7;55.0;0.0;59.9;60.1;60.7;1316.2;0.0;0.0;0.0;2.2;2.0;1.1;0.0;0.0;0.0;65.6;65.0;54.9
921.5;921.7;864.1;0.0;0.0;0.0;0.0;0.0;0.0;56.5;55.5;0.0;60.7;61.4;61.1;1314.9;0.0;0.0;0.0;2.0;1.7;1.3;0.0;0.0;0.0;66.2;65.6;55.5
922.1;921.0;868.3;0.0;0.0;0.0;0.0;0.1;0.1;56.9;56.0;0.0;60.9;61.7;61.7;1311.0;0.0;0.0;0.0;2.2;1.6;1.2;0.1;0.1;0.0;66.1;65.0;55.0
924.5;924.1;892.1;0.0;0.0;0.0;0.0;0.1;0.1;56.9;56.0;0.0;60.8;61.5;61.4;1316.5;0.0;0.0;0.0;2.3;1.7;1.2;0.3;0.3;0.0;49.4;48.9;30.3
921.6;921.9;898.3;0.0;0.0;0.0;0.0;0.2;0.2;54.9;54.6;0.0;59.5;60.3;60.2;1315.7;0.0;0.0;0.0;3.0;2.3;1.4;0.5;0.5;0.0;43.0;42.9;0.0
925.2;920.1;899.5;0.0;0.0;0.0;0.0;0.3;0.3;57.0;55.7;0.0;60.5;61.5;61.3;1318.4;0.0;0.0;0.0;2.8;2.1;1.1;0.7;0.7;0.0;5.5;40.9;0.0
922.4;922.4;900.1;0.0;0.0;0.0;0.0;0.4;0.4;56.1;54.7;0.0;60.4;61.4;60.2;1320.7;0.0;0.0;0.0;2.7;2.5;1.2;0.8;0.8;0.0;0.0;-2.5;0.0
923.4;919.2;898.9;0.0;0.0;0.0;0.0;0.4;0.4;56.7;55.3;0.0;61.2;62.2;61.5;1315.9;0.0;0.0;0.0;2.7;2.4;1.3;0.9;0.9;0.0;0.0;0.0;0.0
924.4;923.3;901.6;0.0;0.0;0.0;0.0;0.4;0.4;56.0;55.0;0.0;60.3;62.2;60.8;1312.5;0.0;0.0;0.0;4.1;3.0;1.4;1.0;1.0;0.0;0.0;0.0;0.0
922.2;921.2;899.0;0.0;0.0;0.0;0.0;0.5;0.5;56.2;55.4;0.0;60.6;62.5;61.2;1307.0;0.0;0.0;0.0;4.0;3.3;2.2;1.1;1.1;0.0;0.0;0.0;0.0
918.3;918.0;900.0;0.0;0.0;0.0;0.0;0.5;0.5;56.8;55.3;0.0;61.0;62.2;61.3;1310.0;0.0;0.0;0.0;5.1;1.5;2.0;1.2;1.2;0.0;0.0;0.0;0.0
920.3;918.5;900.5;0.0;0.0;0.0;0.0;0.6;0.6;55.5;53.9;0.0;59.7;61.5;60.0;1316.4;0.0;0.0;0.0;2.6;2.6;2.6;1.4;1.4;0.0;0.0;0.0;0.0
924.4;922.3;903.7;0.0;0.0;0.0;0.0;0.6;0.6;0.0;55.2;0.0;60.9;61.4;59.6;1312.5;0.0;0.0;0.0;2.4;2.5;2.7;1.3;1.3;0.0;0.0;0.0;0.0
918.7;918.3;896.9;0.0;0.0;0.0;0.0;0.5;0.5;0.0;53.1;0.0;59.0;59.4;57.8;1318.1;0.0;0.0;0.0;2.7;3.2;4.9;1.2;1.2;0.0;0.0;0.0;0.0
919.2;918.1;898.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;55.5;0.0;61.3;61.7;59.8;1317.7;0.0;0.0;0.0;3.6;2.6;5.4;1.2;1.2;0.0;0.0;0.0;-66.4
