lines_disconnected;0
BOISSL61GEN.P;[{'type': 'suav_manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T2355Z'}]}]
BUGEYL75SSV.O;[{'type': 'suav_manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T2355Z'}]}]
CHALOL31LOUHA;[{'type': 'suav_manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T1700Z', 'details': [{'type': 'manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T1700Z'}]}]
CRENEL71VIELM;[{'type': 'consignation', 'start': '20240828T0000Z', 'end': '20240828T2355Z', 'details': [{'type': 'consigné', 'start': '20240828T0000Z', 'end': '20240828T2355Z'}]}]
CURTIL61ZCUR5;[{'type': 'suav_manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T2355Z'}]}]
GEN.PL62GENIS;[{'type': 'suav_manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T0450Z', 'details': [{'type': 'manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T0450Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240828T0705Z', 'end': '20240828T1650Z', 'details': [{'type': 'manoeuvre', 'start': '20240828T0705Z', 'end': '20240828T1650Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240828T2205Z', 'end': '20240828T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240828T2205Z', 'end': '20240828T2355Z'}]}]
GEN.PL63GENIS;[{'type': 'suav_manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T2355Z'}]}]
GEN.PL64GENIS;[{'type': 'suav_manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20240828T0000Z', 'end': '20240828T0350Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240828T0705Z', 'end': '20240828T1450Z', 'details': [{'type': 'manoeuvre', 'start': '20240828T0705Z', 'end': '20240828T1450Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240828T2305Z', 'end': '20240828T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240828T2305Z', 'end': '20240828T2355Z'}]}]
GEN.PL73VIELM;[{'type': 'consignation', 'start': '20240828T0000Z', 'end': '20240828T2355Z', 'details': [{'type': 'consigné', 'start': '20240828T0000Z', 'end': '20240828T2355Z'}]}]
PYMONL61VOUGL;[{'type': 'consignation', 'start': '20240828T0000Z', 'end': '20240828T2355Z', 'details': [{'type': 'consigné', 'start': '20240828T0000Z', 'end': '20240828T2355Z'}]}]
