BUGEY7G2;BUGEY7G3;BUGEY7G4;BUGEY7G5;BXNE IN1;BXNE IN3;BXNE IN4;BXNE INF;BXNE ING;GEN.P6G1;GEN.P6G2;GEN.P6G3;GEN.P6G4;GEN.P6G5;GEN.P6G6;N.SE17GROUP.1;N.SE27GROUP.2;TAVAU6GROUP.1;TAVAU6GROUP.2;VIELMIN1;VIELMIN2;VIELMIN3;VIELMINF;VIELMING;VOUGL.HG1;VOUGL.HG2;VOUGL.HG3;VOUGL.HG4
900.0;0.0;882.1;0.0;0.0;0.0;0.0;0.0;0.0;55.6;0.0;0.0;0.0;60.9;59.6;1307.3;1304.5;0.0;0.0;3.1;4.0;2.8;0.0;0.0;0.0;0.0;0.0;0.0
901.9;-0.0;884.3;-0.0;0.0;0.0;0.0;-0.0;-0.0;56.4;-0.0;-0.0;-0.0;-0.0;61.9;1306.7;1299.5;-0.0;-0.0;4.8;5.5;3.5;-0.0;-0.0;-0.0;-0.0;-0.0;-65.2
902.7;-0.0;885.7;-0.0;0.0;0.0;0.0;-0.0;-0.0;57.6;-0.0;-0.0;-0.0;-0.0;63.0;1310.1;1302.9;-0.0;-0.0;4.3;5.4;6.8;-0.0;-0.0;-0.0;-0.0;-0.0;-65.7
900.6;-0.0;884.2;-0.0;0.0;0.0;0.0;-0.0;-0.0;57.7;-0.0;-0.0;-0.0;-0.0;63.0;1310.0;1302.8;-0.0;-0.0;6.5;7.4;7.2;-0.0;-0.0;-0.0;-0.0;-0.0;-65.1
900.4;-0.0;883.5;-0.0;0.0;0.0;0.0;-0.0;-0.0;57.6;-0.0;-0.0;-0.0;-0.0;62.9;1314.8;1305.5;-0.0;-0.0;5.6;8.3;8.6;-0.0;-0.0;-0.0;-0.0;-0.0;-65.2
900.7;-0.0;884.5;-0.0;0.0;0.0;0.0;-0.0;-0.0;57.7;-0.0;-0.0;-0.0;-0.0;62.7;1310.7;1307.6;-0.0;-0.0;6.9;7.3;8.4;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
901.8;-0.0;885.9;-0.0;0.0;0.0;0.0;-0.0;-0.0;57.8;-0.0;-0.0;-0.0;-0.0;63.0;1311.9;1308.7;-0.0;-0.0;5.4;7.5;9.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
900.3;-0.0;884.0;-0.0;0.0;0.0;0.0;-0.0;-0.0;58.8;-0.0;-0.0;-0.0;-0.0;63.4;1315.0;1307.4;-0.0;-0.0;6.1;8.6;12.5;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
906.9;-0.0;888.4;-0.0;0.0;0.0;0.0;-0.0;-0.0;54.3;-0.0;-0.0;59.6;60.0;58.4;1316.3;1313.5;-0.0;-0.0;4.9;8.5;13.1;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
898.4;-0.0;882.1;-0.0;0.0;0.0;0.0;-0.0;-0.0;54.7;-0.0;-0.0;59.4;60.6;58.1;1317.6;1310.3;-0.0;-0.0;5.2;7.4;11.2;-0.0;-0.0;-0.0;-0.0;51.2;-0.0
902.8;-0.0;884.5;-0.0;0.0;0.0;0.0;-0.0;-0.0;56.0;54.3;-0.0;60.2;61.3;60.2;1315.0;1311.8;-0.0;-0.0;4.2;6.3;9.2;-0.0;-0.0;-0.0;-0.0;47.2;-0.0
902.9;-0.0;879.1;-0.0;0.0;0.0;0.0;0.0;0.0;56.0;54.4;-0.0;59.7;61.7;59.5;1312.6;1305.7;-0.0;-0.0;4.7;6.5;11.1;0.1;0.1;-0.0;60.0;59.7;-0.0
904.9;-0.0;871.6;-0.0;0.0;0.0;0.0;0.1;0.1;55.8;54.2;-0.0;59.6;61.6;59.6;1314.8;1311.6;-0.0;-0.0;5.1;6.6;8.7;0.2;0.2;-0.0;65.5;65.2;55.0
906.7;-0.0;872.5;-0.0;0.0;0.0;0.0;0.2;0.2;54.8;53.2;-0.0;58.7;60.6;58.6;1314.2;1306.9;-0.0;-0.0;3.7;4.6;8.7;0.5;0.5;-0.0;65.2;64.3;54.8
902.5;-0.0;866.0;-0.0;0.0;0.0;0.0;0.3;0.3;56.8;54.9;-0.0;59.6;61.5;59.7;1314.0;1302.6;-0.0;-0.0;3.4;4.3;7.3;0.8;0.8;-0.0;59.8;59.2;25.3
902.6;-0.0;864.8;-0.0;0.0;0.0;0.0;0.5;0.5;57.3;-0.0;-0.0;-0.0;-0.0;62.0;1308.2;1302.3;-0.0;-0.0;3.1;4.2;6.4;1.1;1.1;-0.0;29.1;59.9;-0.0
901.0;-0.0;860.8;-0.0;0.0;0.0;0.0;0.6;0.6;56.8;-0.0;-0.0;-0.0;-0.0;62.1;1303.6;1298.7;-0.0;-0.0;3.5;3.1;4.1;1.4;1.4;-0.0;-0.0;-0.0;-0.0
903.1;-0.0;864.7;-0.0;0.0;0.0;0.0;0.7;0.7;56.2;-0.0;-0.0;-0.0;-0.0;61.6;1302.9;1295.6;-0.0;-0.0;3.2;3.1;3.4;1.7;1.7;-0.0;-0.0;-0.0;-0.0
899.7;-0.0;859.7;-0.0;0.0;0.0;0.0;0.8;0.8;56.1;-0.0;-0.0;-0.0;-0.0;61.4;1296.2;1284.1;-0.0;-0.0;2.5;3.1;3.8;1.9;1.9;-0.0;-0.0;-0.0;-0.0
898.7;-0.0;859.5;-0.0;0.0;0.0;0.0;0.9;0.9;57.6;-0.0;-0.0;-0.0;-0.0;62.7;1293.0;1280.9;-0.0;-0.0;2.8;2.9;2.9;2.0;2.0;-0.0;-0.0;-0.0;-0.0
898.4;-0.0;858.2;-0.0;0.0;0.0;0.0;0.9;0.9;57.9;-0.0;-0.0;-0.0;-0.0;62.3;1287.8;1274.4;-0.0;-0.0;2.6;2.8;2.5;2.2;2.2;-0.0;-0.0;-0.0;-66.9
897.9;-0.0;858.9;-0.0;0.0;0.0;0.0;1.0;1.0;56.8;-0.0;-0.0;-0.0;-0.0;61.5;1286.5;1274.1;-0.0;-0.0;3.1;3.2;3.8;2.3;2.3;-0.0;-0.0;-0.0;-66.6
895.6;-0.0;852.7;-0.0;0.0;0.0;0.0;1.0;1.0;56.1;-0.0;-0.0;-0.0;-0.0;28.0;1286.1;1279.2;-0.0;-0.0;2.5;3.3;5.3;2.3;2.3;-0.0;-0.0;-0.0;-66.6
896.3;-0.0;853.0;-0.0;0.0;0.0;0.0;1.0;1.0;60.4;-0.0;-0.0;-0.0;-0.0;-0.0;1285.2;1277.6;-0.0;-0.0;4.5;5.7;6.3;2.3;2.3;-0.0;-0.0;-0.0;-66.2
902.5;-0.0;859.4;-0.0;0.0;0.0;0.0;1.0;1.0;59.8;-0.0;-0.0;-0.0;-0.0;-0.0;1257.2;1274.6;-0.0;-0.0;4.8;6.0;6.1;2.3;2.3;-0.0;-0.0;-0.0;-66.6
896.6;-0.0;854.7;-0.0;0.0;0.0;0.0;1.0;1.0;61.3;-0.0;-0.0;-0.0;-0.0;-0.0;1251.6;1269.3;-0.0;-0.0;4.0;3.6;5.4;2.3;2.3;-0.0;-0.0;-0.0;-66.0
896.9;-0.0;854.4;-0.0;0.0;0.0;0.0;1.0;1.0;60.4;-0.0;-0.0;-0.0;-0.0;-0.0;1259.9;1268.7;-0.0;-0.0;4.4;2.7;4.8;2.2;2.2;-0.0;-0.0;-0.0;-0.0
891.8;-0.0;850.4;-0.0;0.0;0.0;0.0;0.9;0.9;60.9;-0.0;-0.0;-0.0;-0.0;-0.0;1272.1;1268.3;-0.0;-0.0;3.4;2.9;4.6;2.1;2.1;-0.0;-0.0;-0.0;-0.0
894.7;-0.0;848.1;-0.0;0.0;0.0;0.0;0.8;0.8;54.9;-0.0;-0.0;-0.0;-0.0;60.4;1275.4;1267.1;-0.0;-0.0;2.8;3.1;4.1;2.0;2.0;-0.0;-0.0;-0.0;-0.0
891.6;-0.0;851.0;-0.0;0.0;0.0;0.0;0.8;0.8;56.6;-0.0;-0.0;-0.0;-0.0;62.0;1277.2;1269.0;-0.0;-0.0;2.6;4.7;5.1;1.8;1.8;-0.0;-0.0;-0.0;-0.0
894.5;-0.0;852.2;-0.0;0.0;0.0;0.0;0.7;0.7;53.9;-0.0;-0.0;58.5;59.6;57.7;1273.5;1269.4;-0.0;-0.0;6.8;3.2;4.9;1.5;1.5;-0.0;-0.0;-0.0;-0.0
899.0;-0.0;853.9;-0.0;0.0;0.0;0.0;0.5;0.5;54.7;-0.0;-0.0;59.1;60.0;57.7;1282.0;1265.6;-0.0;-0.0;2.8;2.3;2.6;1.2;1.2;-0.0;-0.0;50.7;-0.0
892.5;-0.0;843.2;-0.0;0.0;0.0;0.0;0.4;0.4;55.7;-0.0;-0.0;59.7;61.2;58.3;1277.7;1269.4;-0.0;-0.0;3.7;2.1;2.6;1.0;1.0;-0.0;-0.0;59.1;-0.0
896.3;-0.0;844.7;-0.0;0.0;0.0;0.0;0.3;0.3;55.8;-0.0;-0.0;59.8;61.4;58.6;1278.3;1274.5;-0.0;-0.0;2.8;2.6;2.0;0.7;0.7;-0.0;54.5;56.2;-0.0
894.2;-0.0;847.6;-0.0;0.0;0.0;0.0;0.2;0.2;55.1;53.6;-0.0;59.2;60.9;59.1;1283.1;1270.8;-0.0;-0.0;3.1;2.4;1.2;0.4;0.4;-0.0;66.3;64.9;54.9
893.1;-0.0;861.9;-0.0;0.0;0.0;0.0;0.1;0.1;57.2;55.5;-0.0;60.8;62.5;60.9;1283.4;1275.2;-0.0;-0.0;3.2;2.4;1.4;0.2;0.2;-0.0;66.9;66.1;55.5
897.9;-0.0;864.8;-0.0;0.0;0.0;0.0;0.0;0.0;56.0;54.5;-0.0;59.3;61.7;59.4;1289.8;1277.2;-0.0;-0.0;3.8;2.1;1.3;0.0;0.0;-0.0;66.2;65.6;55.0
897.8;-0.0;862.9;-0.0;0.0;0.0;0.0;0.0;0.0;55.2;53.6;-0.0;59.0;61.3;58.9;1288.3;1275.6;-0.0;-0.0;3.0;2.1;1.3;0.0;0.0;-0.0;66.4;65.4;55.4
