BUGEY7G2;BUGEY7G3;BUGEY7G4;BUGEY7G5;BXNE IN1;BXNE IN3;BXNE IN4;BXNE INF;BXNE ING;GEN.P6G1;GEN.P6G2;GEN.P6G3;GEN.P6G4;GEN.P6G5;GEN.P6G6;N.SE17GROUP.1;N.SE27GROUP.2;TAVAU6GROUP.1;TAVAU6GROUP.2;VIELMIN1;VIELMIN2;VIELMIN3;VIELMINF;VIELMING;VOUGL.HG1;VOUGL.HG2;VOUGL.HG3;VOUGL.HG4
24.0;24.3;24.3;24.0;66.3;66.3;66.3;63.0;63.0;15.0;15.1;15.0;15.2;14.4;14.5;19.5;20.0;33.0;33.0;65.1;65.1;65.1;63.0;63.0;10.0;10.0;10.0;10.0
24.0;24.3;24.4;24.0;66.3;66.3;66.3;63.0;63.0;15.0;15.0;15.0;15.2;14.4;14.5;20.0;20.0;33.0;33.0;65.1;65.1;65.1;63.0;63.0;10.0;10.0;10.0;10.4
24.0;24.4;24.4;24.0;66.6;66.6;66.6;63.0;63.0;15.0;15.1;15.0;15.2;14.4;14.5;19.6;20.0;33.0;33.0;65.3;65.3;65.3;63.0;63.0;10.0;10.0;10.0;10.4
24.0;24.4;24.4;24.0;66.7;66.7;66.7;63.0;63.0;15.0;15.1;15.0;15.2;14.4;14.5;19.7;20.0;33.0;33.0;65.3;65.3;65.3;63.0;63.0;10.0;10.0;10.0;10.4
24.0;24.4;24.5;24.0;66.7;66.7;66.7;63.0;63.0;15.0;15.1;15.0;15.2;14.4;14.5;19.8;20.0;33.0;33.0;65.3;65.3;65.3;63.0;63.0;10.0;10.0;10.0;10.4
24.0;24.5;24.6;24.0;66.4;66.4;66.4;63.0;63.0;15.0;15.1;15.0;15.2;14.4;14.5;19.9;20.0;33.0;33.0;65.2;65.2;65.2;63.0;63.0;10.0;10.0;10.0;10.4
24.0;24.3;24.4;24.0;66.5;66.5;66.5;63.0;63.0;15.0;15.0;15.0;15.2;14.4;14.5;19.9;20.0;33.0;33.0;65.2;65.2;65.2;63.0;63.0;10.0;10.0;10.0;10.4
24.0;24.4;24.4;24.0;66.0;66.0;66.0;63.0;63.0;15.0;15.1;15.0;15.2;14.3;14.5;20.1;20.0;33.0;33.0;64.7;64.7;64.7;63.0;63.0;10.0;10.0;10.0;10.0
24.0;24.4;24.5;24.0;65.9;65.9;65.9;63.0;63.0;15.0;15.0;15.0;15.2;14.4;14.5;20.1;20.0;33.0;33.0;65.2;65.2;65.2;63.0;63.0;10.0;10.1;10.0;10.0
24.0;24.6;24.7;24.0;65.3;65.3;65.3;63.0;63.0;15.0;15.2;15.0;15.2;14.7;14.6;20.1;20.0;33.0;33.0;65.3;65.3;65.3;63.0;63.0;10.0;10.0;10.0;10.0
