lines_disconnected;0
BOISSL61GEN.P;[{'type': 'suav_manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
CHALOL31LOUHA;[{'type': 'suav_manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
CPVANL61PYMON;[{'type': 'consignation', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'consigné', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
CURTIL61ZCUR5;[{'type': 'suav_manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
GEN.PL62GENIS;[{'type': 'suav_manoeuvre', 'start': '20240810T1105Z', 'end': '20240810T1350Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T1105Z', 'end': '20240810T1350Z'}]}]
GEN.PL63GENIS;[{'type': 'suav_manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
GEN.PL73VIELM;[{'type': 'consignation', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'consigné', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
GEN.PY762;[{'type': 'suav_manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
VIELMY771;[{'type': 'suav_manoeuvre', 'start': '20240810T2325Z', 'end': '20240810T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T2325Z', 'end': '20240810T2355Z'}]}]
VIELMY762;[{'type': 'suav_manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
VIELMY763;[{'type': 'suav_manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
CPVANY632;[{'type': 'consignation', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'consigné', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
GENISY613;[{'type': 'suav_manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
GENISY612;[{'type': 'suav_manoeuvre', 'start': '20240810T1105Z', 'end': '20240810T1350Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T1105Z', 'end': '20240810T1350Z'}]}]
PYMONY632;[{'type': 'suav_manoeuvre', 'start': '20240810T2015Z', 'end': '20240810T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T2015Z', 'end': '20240810T2355Z'}]}]
TAVA5Y611;[{'type': 'suav_manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
TAVA5Y612;[{'type': 'suav_manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
VOUGLY611;[{'type': 'consignation', 'start': '20240810T0000Z', 'end': '20240810T2355Z', 'details': [{'type': 'consigné', 'start': '20240810T0000Z', 'end': '20240810T2355Z'}]}]
