AISER3SAUX.1;AISER3TSNCF.1;AUXON3TR312;AUXON3TR313;B.ROC3G1;B.ROC3G2;B.ROC3X1;B.ROC3X2;BEON3 TR311;BOCTO7N.SE5-Y71G;BOCTO7N.SE5-Y71H;BUGEY1TS2;BUGEY1TS3;BUGEY1TS4;BUGEY1TS5;BXNE3 TR311;BXNE3 TR313;C.FOU3TR311;C.FOU3TR313;C.REG3TR314;C.REG6TR613;C.REG6TR614;C.REG6TR615;C.SAU3TR311;C.SAU3TR312;CHAGN3TSNCF.1;CHAGN3X1;CHAL53G1;CHALO3TR311;CHALO3TR312;CHALO3TR313;CIZE6 T611SNCF;CIZE6 T612SNCF;COLLO3TSNCF.1;COMMU6TR612;COMMU6TR613;COMMU6TSNCF.1;CORGO3SAUX.1;CORGO3TSNCF.1;COUCH3TR312;CPVAN3TR311;CPVAN3TR312;CUISE3TR311;CURTI6TSNCF.1;CURTI6TSNCF.2;FRON53SAUX.1;FRON53TSNCF.1;FTAIN3TSNCF.1;G.CHE3TR311;G.CHE3TR312;GENLI3TR311;GENLI3TR312;GEVRE3G1;GEVRE3X1;GEVRE3X2;KIR3  TR311;KIR3  TR312;LOUHA3TR312;LOUHA3TR313;MACON6TR611;MACON6TR612;MERVA3SAUX.1;MERVA3TSNCF;MEURS3G1;MEURS3SAUX.1;MOLLE3TR311;MOLLE3TR313;MTAGN3TR311;MTAGN3TR313;N.GEO3TR311;N.GEO3TR312;N.SE17TS1;N.SE27TS2;NAVIL3SAUX.1;NAVIL3TSNCF;P.SAO3TR311;P.SAO3TR312;PERRI3G1;PERRI3G2;PERRI3G3;PYMON6TR613.C;PYMON6TR613.F;PYMON6TR614.C;PYMON6TR614.F;RIBAU3TSNCF.1;ROMEL3TR311;ROMEL3TR312;RONCI3SAUX.1;RONCI3TSNCF.1;SAISS3T311;SAISS3T312;SSUSU3SAUX.1;SSUSU3TSNCF;TAVAU6T10.T32;TAVAU6T7.T9.T31;TILLE3TSNCF.1;VELAR3G1;VELAR3G2;VIELM3TR311;VIELM3TR312;VIELM3TR313;VOSNE3SAUX.1;VOSNE3TSNCF.1;VOUGL3T311S.A.;.VERBL61GEN.P;.VERBL62GEN.P;ARBOIL31CPVAN;ARLODL61GEN.P;B.TOLL71GEN.P;BLYE L31SAISS;BOCTOL71MORBR;BOCTOL72MORBR;BOISSL61C.FO6;BOISSL61CUS.P;BOISSL61MEUNI;BOISSL61MEYZI;BOISSL62CUS.P;BOISSL62MIONS;BOISSL63SSV.E;BOISSY631;BOISSY632;BOISSY633;BOISSY761;BOISSY762;BREU5L61H.PAU;BREVAL31CPVAN;C.REGL31COUB6;C.REGL31LAVOI;C.REGL31MARC6;C.REGL31SSAPO;C.REGL32LAVOI;C.REGL32MARC6;C.REGL33LAVOI;C.ROYL31CHALO;CBRY L71M.SEI;CHA.NL31CHALO;CHA.NL32CHALO;CHA.NL33CHALO;CHAFFL71SSV.O;CHAFFL72SSV.O;CHAFFL73SSV.O;CHAFFL74SSV.O;CHALOL31CHAL6;CHALOL31SENNE;CHALOL32VAREN;CHANCL32VOUGL;CHARPL71SSV.O;CHARPL72SSV.O;CHAV6L61GEN.P;CHESNL71M.SEI;CHESNL72M.SEI;CORNIL62GEN.P;CORNIL71GEN.P;CPDIVL32CPVAN;CPNOLL61GEN.P;CPVANL31MESNA;CPVANL31ZBRE6;CRENEL71REVIG;CRENEY766;CRENEY778;CREYSL71G.ILE;CREYSL72G.ILE;CRIMOL31ZCRIM;DARCEL61VIELM;F.FREL71M.SEI;FLEYRY631;FLEYRY632;FRASNL71GEN.P;G.CHEL31SSAM6;G.CHEL31SSAM7;GEN.PL61SERRI;GEN.PL61ZCRUS;GEN.PY711;GROSNY711;GUEUGY631;GUEUGY632;GUEUGY633;H.PAUY634;H.PAUY635;H.PAUY651;H.PAUY652;H.PAUY712;HOUDRL71M.SEI;HOUDRL72M.SEI;IZERNY631;IZERNY633;JOUX L61ZJOUX;L.SAUL31PYMON;L.SAUL32PYMON;L.SAUL33PYMON;M.SEIY741;M.SEIY742;M.SEIY743;M.SEIY744;MACONY631;MACONY632;MACONY633;MAGNYL31TRIEY;MOREZL31SAISS;P.BERL31PERRI;P.BERL31ROMEL;SARRYL61VIELM;SAULIL31VIELM;SEREIL71VIELM;SSCL5L31VOUGL;VENARL31VIELM;VERREL31VIELM;VERREL32VIELM;VIELML31ZE.CR;VIELML31ZPOIS;VIELMY711;VOUGLL31ZS.M5;VOUGLL32ZP.SA;BXNE53G1
2.1;2.1;5.8;5.8;-0.1;-0.1;-0.1;-0.1;13.3;-0.2;-0.2;31.0;31.0;38.0;25.3;1.3;1.3;6.5;6.5;7.7;10.6;6.9;8.3;8.8;8.8;-0.1;-0.1;-0.8;12.0;12.0;12.0;-1.5;-1.5;1.5;0.0;-0.2;0.0;0.9;0.9;11.6;12.6;12.6;8.4;0.0;-1.5;-0.1;-0.1;0.4;4.8;4.8;0.0;0.0;0.0;0.0;0.0;1.9;1.9;8.9;8.9;-0.2;0.0;0.9;0.9;0.0;0.0;9.7;9.7;9.1;1.1;7.0;7.0;46.0;46.0;0.0;0.4;5.3;5.3;1.1;1.1;1.1;-0.1;-0.1;0.0;0.0;-1.0;15.7;15.7;-1.9;-1.9;5.2;5.2;-0.8;-0.8;60.3;60.3;0.0;0.5;0.5;1.6;1.6;1.6;-0.2;-0.2;1.3;178.6;178.7;13.9;34.8;986.7;-1.6;230.7;224.8;59.4;-30.9;30.9;0.6;-30.7;11.9;59.6;22.9;23.4;49.8;-147.1;-116.5;5.9;0.0;16.0;9.1;9.7;15.4;12.2;7.7;7.9;10.2;5.8;8.3;8.3;8.1;478.4;462.4;456.5;472.4;8.1;17.0;16.2;10.2;-392.7;-394.8;22.3;-308.8;-94.0;-3.3;779.1;11.9;0.0;12.3;29.1;-253.8;237.2;0.0;605.5;608.1;-0.6;-104.0;-549.9;41.1;41.2;207.1;0.9;-2.8;40.5;1.5;0.1;0.1;0.0;27.0;26.6;30.7;31.7;7.5;7.5;0.2;130.9;238.8;21.5;21.9;52.4;14.5;0.0;14.5;-14.6;-1.1;7.9;-34.9;29.5;29.2;31.2;13.6;6.9;1.1;0.0;-228.9;1.0;0.0;10.9;-3.5;-7.4;-7.6;-0.5;0.0;0.1;9.5;9.2;0.0
1.5;1.5;6.1;6.1;0.1;0.1;0.1;0.1;13.6;0.0;1.3;31.0;31.0;38.0;23.4;2.1;2.1;6.8;6.8;1.5;11.1;7.7;9.6;8.7;8.7;-0.1;-0.1;-0.4;12.5;12.5;12.5;-0.4;-0.4;1.5;0.0;0.1;0.0;0.0;0.0;8.8;13.1;13.1;8.6;0.0;-1.3;-0.1;-0.1;-0.3;5.2;5.2;0.0;0.0;0.1;0.1;0.1;1.7;1.7;9.7;9.7;-0.4;0.0;1.2;1.2;0.1;0.1;10.1;10.1;10.2;5.2;6.8;6.8;46.0;46.0;0.0;0.2;5.6;5.6;1.2;1.2;1.2;-0.1;-0.1;0.0;0.0;-0.9;15.9;15.9;-1.5;-1.5;5.7;5.7;-1.5;-1.5;60.7;60.7;0.0;0.5;0.5;2.8;2.8;2.8;0.2;0.2;-1.2;180.7;180.8;15.7;34.3;1007.3;-1.6;201.9;196.7;59.8;-35.2;31.2;1.2;-35.1;17.3;59.6;23.6;24.1;50.0;-146.5;-116.6;6.2;0.0;17.2;9.4;11.4;16.2;12.6;9.3;8.1;10.5;-16.5;8.1;8.2;7.9;479.4;468.6;462.6;473.3;8.0;18.1;16.2;11.6;-399.6;-399.5;10.8;-343.2;-118.0;2.9;774.9;12.3;0.0;13.9;31.2;-229.0;242.9;0.0;594.4;596.4;-0.5;-105.9;-541.6;41.5;41.6;234.7;0.9;-2.8;38.7;7.9;0.1;0.1;0.0;28.0;27.7;31.8;32.8;7.8;7.8;0.2;168.2;281.3;23.5;24.0;51.6;14.6;0.0;14.6;-15.5;-5.8;7.9;-44.4;28.8;28.5;30.5;14.5;7.5;1.2;0.0;-241.7;4.9;0.0;11.1;-4.7;-8.9;-8.9;3.0;0.0;0.1;10.9;9.3;0.0
2.2;2.2;6.6;6.6;0.0;0.0;0.0;0.0;14.3;-0.1;-0.1;31.0;31.0;38.0;25.3;3.4;3.4;6.9;6.9;0.9;11.4;8.1;9.5;8.9;8.9;0.1;0.1;-0.3;11.9;11.9;11.9;-0.5;-0.5;1.7;0.0;0.0;0.0;0.6;0.6;9.3;12.5;12.5;9.2;0.0;-1.6;-0.2;-0.2;0.8;5.2;5.2;0.0;0.0;0.6;0.6;0.6;2.1;2.1;9.5;9.5;-0.3;0.0;1.6;1.6;0.2;0.2;9.7;9.7;9.7;3.9;6.7;6.7;46.0;46.0;0.0;0.4;5.7;5.7;1.1;1.1;1.1;-0.2;-0.2;0.0;0.0;-1.0;16.5;16.5;-2.0;-2.0;5.7;5.7;-1.6;-1.6;59.9;59.9;0.0;0.5;0.5;2.4;2.4;2.4;0.2;0.2;-2.2;187.4;187.5;17.2;35.0;1032.3;-1.6;130.4;127.1;59.6;-44.1;31.3;0.6;-43.9;23.9;61.4;23.5;24.0;48.8;-136.1;-110.4;6.6;0.0;17.9;9.6;10.9;16.2;12.8;8.8;8.3;10.5;-78.7;8.0;8.0;7.8;476.6;467.5;461.5;470.6;7.9;18.2;17.0;12.6;-455.6;-454.3;17.6;-428.0;-171.7;-0.5;828.4;12.1;0.0;15.4;34.0;-202.2;262.3;0.0;668.2;669.8;-0.5;-108.9;-548.3;41.4;41.5;270.9;0.9;-2.8;39.7;4.1;0.1;0.1;0.0;28.9;28.5;32.0;33.1;7.8;7.8;0.1;228.8;357.5;24.6;25.1;48.6;15.0;-0.0;15.0;-13.3;-2.6;16.0;-43.7;29.5;29.2;31.2;14.4;7.4;1.1;0.0;-268.0;6.8;0.0;11.3;-5.5;-9.6;-9.8;2.0;0.0;0.1;11.8;9.5;0.0
2.0;2.0;6.7;6.7;0.0;0.0;0.0;0.0;13.7;-0.6;-0.6;31.0;31.0;38.0;25.4;3.4;3.4;6.4;6.4;3.2;11.4;7.6;9.1;9.2;9.2;0.0;0.0;1.4;11.3;11.3;11.3;-2.8;-2.8;1.5;0.0;0.2;0.0;-0.3;-0.3;8.6;13.4;13.4;9.3;0.0;-0.3;-0.6;-0.6;1.1;5.6;5.6;0.0;0.0;0.5;0.5;0.5;2.2;2.2;9.3;9.3;0.3;0.0;1.7;1.7;-0.1;-0.1;9.4;9.4;10.1;4.4;6.9;6.9;46.0;46.0;0.0;0.3;5.5;5.5;1.0;1.0;1.0;-0.6;-0.6;0.0;0.0;-0.9;16.1;16.1;-1.8;-1.8;5.8;5.8;-1.7;-1.7;60.2;60.2;0.0;0.3;0.3;1.8;1.8;1.8;0.1;0.1;-0.9;194.1;194.2;19.4;36.2;1124.7;-1.6;39.2;38.2;59.2;-45.3;36.3;-0.4;-45.1;17.4;60.3;22.8;23.4;47.5;-128.4;-110.3;6.7;0.0;18.9;9.6;11.8;15.4;12.8;9.7;8.3;10.5;-157.6;7.9;8.0;7.8;419.8;414.1;408.8;414.5;7.8;17.1;16.3;11.2;-512.4;-508.4;36.8;-541.2;-269.7;-12.4;915.2;12.6;0.0;17.6;38.1;-124.3;269.9;0.0;721.9;723.8;-1.0;-113.1;-451.5;40.5;40.5;342.1;0.9;-2.3;43.8;-7.4;0.1;0.1;0.0;27.0;26.7;31.5;32.5;7.8;7.8;0.1;329.5;466.2;24.3;24.8;41.7;14.3;0.0;14.3;-11.1;4.6;21.7;-33.9;27.7;27.4;29.3;15.7;8.2;1.0;0.0;-288.3;6.1;0.0;10.9;-6.5;-11.0;-11.2;2.9;0.0;0.1;10.4;9.2;0.1
2.1;2.1;5.8;5.8;0.2;0.2;0.2;0.2;13.1;-0.2;-0.2;31.0;31.0;38.0;24.1;3.1;3.1;6.3;6.3;2.2;10.7;7.0;8.4;9.1;9.1;0.1;0.1;0.9;12.3;12.3;12.3;-0.8;-0.8;1.7;0.0;0.1;0.0;-0.1;-0.1;9.1;12.5;12.5;9.0;0.0;-0.6;-0.3;-0.3;0.7;5.3;5.3;0.0;0.0;0.5;0.5;0.5;1.6;1.6;8.8;8.8;0.2;0.0;1.8;1.8;-0.2;-0.2;9.3;9.3;9.7;3.6;6.9;6.9;46.0;46.0;0.0;0.4;5.2;5.2;1.1;1.1;1.1;-0.3;-0.3;0.0;0.0;-0.9;15.5;15.5;-1.7;-1.7;5.5;5.5;-1.5;-1.5;60.4;60.4;0.0;0.3;0.3;2.1;2.1;2.1;0.2;0.2;-5.0;194.5;194.6;20.8;37.9;1130.1;-1.6;-6.5;-6.3;60.7;-51.8;37.9;-1.4;-51.6;20.1;59.9;22.9;22.9;47.7;-119.7;-106.6;6.7;0.0;18.7;9.1;13.6;14.6;12.1;11.2;7.8;9.9;-191.7;7.7;7.7;7.5;418.5;408.4;403.2;413.2;7.6;17.2;17.0;11.4;-555.0;-551.8;40.9;-603.3;-324.9;-13.9;932.6;11.8;0.0;18.8;39.4;-82.2;265.3;0.0;770.7;773.6;-0.9;-114.3;-406.2;39.9;40.0;370.3;0.9;-1.7;42.4;-8.8;0.1;0.1;0.0;26.2;25.9;30.2;31.2;7.6;7.6;0.1;384.5;525.1;23.3;23.8;38.5;14.0;-0.0;14.0;-15.8;3.7;15.2;-36.5;27.5;27.2;29.1;15.9;8.0;1.1;0.0;-296.5;2.7;0.0;11.0;-6.4;-10.6;-10.7;2.7;0.0;0.1;10.7;9.3;0.2
1.8;1.8;5.6;5.6;0.4;0.4;0.4;0.4;12.7;-0.1;-0.1;31.0;31.0;38.0;26.6;4.3;4.3;6.3;6.3;2.4;11.1;7.2;8.7;9.1;9.1;-0.1;-0.1;0.3;11.5;11.5;11.5;0.0;0.0;1.2;0.0;0.0;0.0;0.8;0.8;10.4;11.6;11.6;8.7;0.0;-1.8;0.0;0.0;-0.7;5.0;5.0;0.0;0.0;0.2;0.2;0.2;2.0;2.0;9.3;9.3;-0.2;0.0;2.2;2.2;0.2;0.2;9.2;9.2;9.4;3.5;6.7;6.7;46.0;46.0;0.0;0.4;5.0;5.0;1.0;1.0;1.0;0.1;0.1;0.0;0.0;-0.9;15.4;15.4;-1.6;-1.6;5.2;5.2;-2.3;-2.3;59.9;59.9;0.0;0.5;0.5;2.0;2.0;2.0;0.2;0.2;-3.1;178.7;178.8;20.3;34.3;1120.9;-1.5;-13.5;-13.1;57.2;-49.1;33.6;1.7;-48.9;20.2;59.7;24.1;24.7;46.5;-123.1;-103.3;6.5;0.0;17.9;8.8;12.6;14.6;11.7;10.4;7.5;9.9;-198.4;7.7;7.7;7.5;441.3;437.1;431.5;435.7;7.6;17.0;15.4;12.0;-519.8;-515.2;34.8;-599.0;-313.2;-10.3;899.6;11.3;0.0;18.2;36.7;-83.2;254.2;0.0;745.8;747.5;-1.1;-119.1;-429.5;39.1;39.2;343.5;0.9;-1.1;39.4;-5.5;0.1;0.1;0.0;26.5;26.2;31.3;32.3;7.7;7.7;0.1;385.5;529.6;22.8;23.2;44.7;13.7;-0.0;13.7;-18.6;0.2;11.8;-43.5;28.2;27.9;29.8;14.6;7.8;1.0;0.0;-302.9;4.7;0.0;10.1;-7.1;-10.5;-10.4;3.7;0.0;0.1;11.2;8.5;0.0
1.2;1.2;5.3;5.3;0.0;0.0;0.0;0.0;12.5;-0.5;-0.5;31.0;31.0;38.0;38.0;2.4;2.4;6.0;6.0;1.7;10.4;7.1;8.5;9.3;9.3;0.4;0.4;0.1;11.0;11.0;11.0;-0.1;-0.1;1.2;0.0;0.2;0.0;0.9;0.9;9.7;12.0;12.0;8.0;0.0;0.7;-0.3;-0.3;0.9;5.0;5.0;0.0;0.0;0.2;0.2;0.2;1.9;1.9;9.0;9.0;-0.3;0.0;1.6;1.6;0.3;0.3;9.0;9.0;9.2;3.7;6.8;6.8;46.0;46.0;0.0;1.1;5.0;5.0;0.9;0.9;0.9;-0.3;-0.3;0.0;0.0;-0.7;15.0;15.0;-1.0;-1.0;5.1;5.1;-1.4;-1.4;59.9;59.9;0.0;0.4;0.4;2.2;2.2;2.2;-0.2;-0.2;-2.5;172.7;172.8;18.1;32.9;1065.1;-1.5;-26.9;-26.2;56.2;-52.7;26.3;4.5;-52.5;30.0;60.1;24.7;24.7;46.2;-121.3;-97.5;7.1;0.0;17.6;8.7;10.3;14.6;11.5;8.3;7.5;9.7;-214.3;8.0;8.0;7.8;469.3;467.0;461.0;463.4;7.8;17.0;15.4;11.8;-526.6;-521.1;44.7;-601.7;-322.5;-15.9;894.5;10.8;0.0;16.5;34.1;-88.3;241.2;0.0;747.4;748.8;-1.4;-118.9;-386.7;38.9;38.9;319.9;0.9;-1.1;40.4;-11.5;0.1;0.1;0.0;27.0;26.6;31.0;32.0;7.8;7.8;0.1;375.4;516.4;21.9;22.3;46.9;13.3;0.0;13.3;-16.8;3.5;13.7;-36.9;27.4;27.1;29.0;13.3;7.8;0.9;0.0;-304.2;2.6;0.0;9.9;-6.1;-9.0;-9.0;-2.5;0.0;0.1;11.0;8.3;0.0
1.5;1.5;5.4;5.4;-0.1;-0.1;-0.1;-0.1;13.2;-1.0;-1.0;31.0;31.0;38.0;38.0;1.8;1.8;6.0;6.0;0.4;11.3;7.0;8.0;9.8;9.8;-0.1;-0.1;-0.4;12.1;12.1;12.1;-2.4;-2.4;0.9;0.0;0.0;0.0;0.7;0.7;12.5;12.6;12.6;9.1;0.0;-0.2;1.1;1.1;0.2;4.9;4.9;0.0;0.0;0.2;0.2;0.2;1.9;1.9;8.9;8.9;0.0;0.0;1.5;1.5;0.0;0.0;9.0;9.0;9.3;3.4;6.7;6.7;46.0;46.0;0.0;0.5;4.8;4.8;1.1;1.1;1.1;-0.1;-0.1;0.0;0.0;-0.6;15.4;15.4;-1.3;-1.3;5.3;5.3;-0.5;-0.5;59.9;59.9;0.0;1.2;1.2;1.7;1.7;1.7;-0.1;-0.1;-1.1;187.8;187.9;21.1;33.8;1048.8;-1.5;-33.0;-32.1;56.8;-54.3;29.4;4.3;-54.0;28.9;60.9;24.9;24.8;47.0;-121.7;-99.7;7.7;0.0;18.7;8.8;12.4;14.6;11.7;10.1;7.5;9.7;-214.7;7.4;7.4;7.2;456.3;458.3;452.4;450.5;7.3;16.0;16.2;13.4;-545.9;-538.3;46.8;-630.3;-361.3;-17.1;896.1;10.8;0.0;19.1;38.2;-76.6;245.3;0.0;763.3;764.4;-0.9;-103.4;-322.7;38.6;38.7;357.2;0.9;-1.7;41.9;-12.8;0.1;0.1;0.0;28.0;27.7;30.9;31.9;7.7;7.7;0.1;394.4;530.4;24.6;25.1;47.0;13.6;0.0;13.6;-18.4;2.9;10.1;-36.3;27.6;27.3;29.2;14.7;7.7;1.1;0.0;-298.3;3.3;0.0;10.6;-6.2;-8.6;-8.5;-1.9;0.0;0.1;12.6;8.9;0.0
1.3;1.3;5.5;5.5;-0.1;-0.1;-0.1;-0.1;12.2;-2.2;-2.2;31.0;31.0;38.0;38.0;3.4;3.4;6.3;6.3;0.9;10.9;6.3;8.6;9.8;9.8;-0.1;-0.1;-0.6;11.1;11.1;11.1;-1.1;-1.1;1.0;0.0;0.0;0.0;1.4;1.4;10.3;12.8;12.8;9.8;0.0;-0.7;-0.4;-0.4;-0.7;5.7;5.7;0.0;0.0;0.2;0.2;0.2;1.8;1.8;9.4;9.4;0.1;0.0;1.7;1.7;0.2;0.2;8.7;8.7;9.3;4.8;7.4;7.4;46.0;46.0;0.0;0.3;5.1;5.1;1.1;1.1;1.1;0.4;0.4;0.0;0.0;-0.8;16.4;16.4;-1.3;-1.3;5.7;5.7;-1.6;-1.6;60.2;60.2;0.0;0.5;0.5;1.0;1.0;1.0;0.2;0.2;-5.1;196.2;196.3;22.2;35.9;1013.2;-1.5;-45.6;-44.4;57.0;-53.3;29.5;6.7;-53.1;27.3;63.2;25.8;25.8;48.7;-128.7;-104.4;7.8;0.0;19.0;8.7;12.5;15.4;11.6;10.4;7.5;9.9;-228.7;7.9;8.0;7.7;461.6;462.2;456.3;455.8;7.8;17.1;15.4;13.8;-531.1;-524.0;44.0;-640.1;-361.2;-15.8;874.4;10.6;0.0;20.2;40.9;-55.0;267.5;0.0;743.7;745.1;-1.1;-96.3;-328.5;41.9;41.9;385.7;0.9;-1.1;43.1;-11.2;0.1;0.1;0.0;29.0;28.6;32.4;33.5;8.0;8.0;0.1;410.3;551.1;24.9;25.4;48.8;15.0;0.0;15.0;-21.6;1.1;6.3;-41.0;28.6;28.3;30.2;15.5;7.6;1.1;0.0;-302.9;5.7;0.0;11.7;-6.7;-9.2;-9.1;2.4;0.0;0.1;13.0;9.9;0.0
1.8;1.8;5.8;5.8;0.1;0.1;0.1;0.1;13.7;-1.1;-1.1;31.0;31.0;38.0;29.2;4.3;4.3;6.1;6.1;0.9;11.8;7.1;8.9;10.3;10.3;0.1;0.1;0.1;12.5;12.5;12.5;-0.5;-0.5;1.1;0.0;-0.1;0.0;0.7;0.7;10.9;13.3;13.3;10.3;0.0;-1.3;-0.2;-0.2;0.2;5.4;5.4;0.0;0.0;0.2;0.2;0.2;1.7;1.7;9.9;9.9;0.0;0.0;1.0;1.0;-0.1;-0.1;8.5;8.5;10.6;4.8;7.5;7.5;46.0;46.0;0.0;0.4;4.9;4.9;1.2;1.2;1.2;-0.5;-0.5;0.0;0.0;-0.8;17.9;17.9;-1.6;-1.6;5.6;5.6;-0.8;-0.8;60.4;60.4;1.1;0.6;0.6;1.3;1.3;1.3;0.1;0.1;0.0;194.5;194.6;23.6;37.3;1033.8;-1.5;-22.4;-21.8;61.5;-49.4;39.6;9.2;-49.2;13.7;65.3;26.5;27.1;51.1;-144.5;-121.5;7.4;0.0;20.7;8.8;11.5;16.2;11.8;9.5;7.6;10.5;-218.1;8.6;8.6;8.4;437.2;434.4;428.9;431.7;8.4;17.1;15.5;13.4;-491.3;-486.2;22.0;-616.1;-354.9;-5.7;826.1;10.9;0.0;21.4;43.6;-45.5;264.3;0.0;662.2;663.7;-1.2;-88.5;-287.8;43.0;43.1;441.2;0.9;-2.3;45.2;-0.8;0.1;0.1;0.0;31.9;31.6;33.9;35.0;8.2;8.1;0.1;422.7;554.5;26.4;27.0;49.4;14.9;0.0;14.9;-17.1;2.4;11.0;-36.3;30.2;29.9;31.9;16.8;7.9;1.2;0.0;-280.9;5.1;0.0;11.2;-5.8;-9.4;-9.4;0.9;0.0;0.1;12.6;9.5;0.1
