AISER3SAUX.1;AISER3TSNCF.1;AUXON3TR312;AUXON3TR313;B.ROC3G1;B.ROC3G2;B.ROC3X1;B.ROC3X2;BEON3 TR311;BOCTO7N.SE5-Y71G;BOCTO7N.SE5-Y71H;BUGEY1TS2;BUGEY1TS3;BUGEY1TS4;BUGEY1TS5;BXNE3 TR311;BXNE3 TR313;C.FOU3TR311;C.FOU3TR313;C.REG3TR314;C.REG6TR613;C.REG6TR614;C.REG6TR615;C.SAU3TR311;C.SAU3TR312;CHAGN3TSNCF.1;CHAGN3X1;CHAL53G1;CHALO3TR311;CHALO3TR312;CHALO3TR313;CIZE6 T611SNCF;CIZE6 T612SNCF;COLLO3TSNCF.1;COMMU6TR612;COMMU6TR613;COMMU6TSNCF.1;CORGO3SAUX.1;CORGO3TSNCF.1;COUCH3TR312;CPVAN3TR311;CPVAN3TR312;CUISE3TR311;CURTI6TSNCF.1;CURTI6TSNCF.2;FRON53SAUX.1;FRON53TSNCF.1;FTAIN3TSNCF.1;G.CHE3TR311;G.CHE3TR312;GENLI3TR311;GENLI3TR312;GEVRE3G1;GEVRE3X1;GEVRE3X2;KIR3  TR311;KIR3  TR312;LOUHA3TR312;LOUHA3TR313;MACON6TR611;MACON6TR612;MERVA3SAUX.1;MERVA3TSNCF;MEURS3G1;MEURS3SAUX.1;MOLLE3TR311;MOLLE3TR313;MTAGN3TR311;MTAGN3TR313;N.GEO3TR311;N.GEO3TR312;N.SE17TS1;N.SE27TS2;NAVIL3SAUX.1;NAVIL3TSNCF;P.SAO3TR311;P.SAO3TR312;PERRI3G1;PERRI3G2;PERRI3G3;PYMON6TR613.C;PYMON6TR613.F;PYMON6TR614.C;PYMON6TR614.F;RIBAU3TSNCF.1;ROMEL3TR311;ROMEL3TR312;RONCI3SAUX.1;RONCI3TSNCF.1;SAISS3T311;SAISS3T312;SSUSU3SAUX.1;SSUSU3TSNCF;TAVAU6T10.T32;TAVAU6T7.T9.T31;TILLE3TSNCF.1;VELAR3G1;VELAR3G2;VIELM3TR311;VIELM3TR312;VIELM3TR313;VOSNE3SAUX.1;VOSNE3TSNCF.1;VOUGL3T311S.A.;.VERBL61GEN.P;.VERBL62GEN.P;ARBOIL31CPVAN;ARLODL61GEN.P;B.TOLL71GEN.P;BLYE L31SAISS;BOCTOL71MORBR;BOCTOL72MORBR;BOISSL61C.FO6;BOISSL61CUS.P;BOISSL61MEUNI;BOISSL61MEYZI;BOISSL62CUS.P;BOISSL62MIONS;BOISSL63SSV.E;BOISSY631;BOISSY632;BOISSY633;BOISSY761;BOISSY762;BREU5L61H.PAU;BREVAL31CPVAN;C.REGL31COUB6;C.REGL31LAVOI;C.REGL31MARC6;C.REGL31SSAPO;C.REGL32LAVOI;C.REGL32MARC6;C.REGL33LAVOI;C.ROYL31CHALO;CBRY L71M.SEI;CHA.NL31CHALO;CHA.NL32CHALO;CHA.NL33CHALO;CHAFFL71SSV.O;CHAFFL72SSV.O;CHAFFL73SSV.O;CHAFFL74SSV.O;CHALOL31CHAL6;CHALOL31SENNE;CHALOL32VAREN;CHANCL32VOUGL;CHARPL71SSV.O;CHARPL72SSV.O;CHAV6L61GEN.P;CHESNL71M.SEI;CHESNL72M.SEI;CORNIL62GEN.P;CORNIL71GEN.P;CPDIVL32CPVAN;CPNOLL61GEN.P;CPVANL31MESNA;CPVANL31ZBRE6;CRENEL71REVIG;CRENEY766;CRENEY778;CREYSL71G.ILE;CREYSL72G.ILE;CRIMOL31ZCRIM;DARCEL61VIELM;F.FREL71M.SEI;FLEYRY631;FLEYRY632;FRASNL71GEN.P;G.CHEL31SSAM6;G.CHEL31SSAM7;GEN.PL61SERRI;GEN.PL61ZCRUS;GEN.PY711;GROSNY711;GUEUGY631;GUEUGY632;GUEUGY633;H.PAUY634;H.PAUY635;H.PAUY651;H.PAUY652;H.PAUY712;HOUDRL71M.SEI;HOUDRL72M.SEI;IZERNY631;IZERNY633;JOUX L61ZJOUX;L.SAUL31PYMON;L.SAUL32PYMON;L.SAUL33PYMON;M.SEIY741;M.SEIY742;M.SEIY743;M.SEIY744;MACONY631;MACONY632;MACONY633;MAGNYL31TRIEY;MOREZL31SAISS;P.BERL31PERRI;P.BERL31ROMEL;SARRYL61VIELM;SAULIL31VIELM;SEREIL71VIELM;SSCL5L31VOUGL;VENARL31VIELM;VERREL31VIELM;VERREL32VIELM;VIELML31ZE.CR;VIELML31ZPOIS;VIELMY711;VOUGLL31ZS.M5;VOUGLL32ZP.SA;BXNE53G1
3.2;3.2;-1.6;-1.6;0.4;0.4;0.4;0.4;-0.8;-13.8;-8.5;13.0;13.0;16.0;15.5;-3.3;-3.3;-1.9;-1.9;-3.9;1.1;3.5;2.0;-0.1;-0.1;0.5;0.5;0.0;-2.4;-2.4;-2.4;-3.5;-3.5;0.3;0.0;-5.0;0.0;0.8;0.8;25.0;-5.9;-5.9;-3.2;0.0;-0.4;-0.1;-0.1;0.9;-0.3;-0.3;0.0;2.1;0.9;0.9;0.9;-4.2;-4.2;-1.3;-1.3;0.0;1.2;0.0;0.0;-0.1;-0.1;-0.4;-0.4;-2.0;-2.0;-2.9;-2.9;20.0;13.9;0.0;0.4;-1.6;-1.6;-5.5;-5.5;-5.5;-3.4;-0.8;0.0;0.0;0.1;-9.1;-9.1;-1.6;-1.6;-1.2;-1.2;-0.1;-0.1;-8.6;-8.6;0.0;-3.7;-3.7;-1.3;-1.3;-1.3;0.1;0.1;-4.5;-55.3;-55.4;-3.9;-18.2;-125.9;-0.0;-40.6;-41.1;-10.5;1.3;-10.0;-23.5;1.2;29.2;-16.0;1.1;-1.0;-7.9;28.3;30.5;-9.1;0.0;-5.3;-1.3;-4.0;-0.8;-3.6;-1.8;-2.5;-3.4;-11.0;0.7;0.7;0.6;-71.6;-71.5;-70.7;-70.9;0.4;-2.3;-2.0;5.7;21.8;21.2;-16.4;-71.4;-71.3;13.8;-5.8;-2.4;0.0;-6.7;1.4;-20.9;-81.9;86.5;-6.6;-6.6;-0.9;91.2;174.9;-4.6;-4.8;-100.8;-0.0;-0.8;-8.6;11.9;66.8;0.0;0.0;-9.0;-10.0;-1.4;-20.5;2.7;2.7;-0.0;-47.4;-47.4;-23.6;-16.5;-11.9;-3.6;-0.0;-3.6;16.4;36.0;22.5;55.8;-6.1;-6.1;-6.4;-2.3;-4.2;-5.5;-1.4;55.3;-8.0;0.0;-4.2;-0.3;0.1;0.4;-4.4;-0.4;0.0;4.8;-5.7;-0.4
3.2;3.2;-1.5;-1.5;0.4;0.4;0.4;0.4;-1.0;-14.6;-9.0;13.0;13.0;16.0;15.7;-3.4;-3.4;-2.1;-2.1;-3.4;1.1;3.4;2.1;0.2;0.2;0.2;0.2;0.7;-2.2;-2.2;-2.2;-3.5;-3.5;0.2;0.0;-4.6;0.0;0.9;0.9;25.0;-5.2;-5.2;-2.7;0.0;-0.6;-0.1;-0.1;-0.6;-0.1;-0.1;0.0;1.9;0.7;0.7;0.7;-4.0;-4.0;-1.3;-1.3;0.0;0.9;0.0;0.0;0.2;0.2;-0.3;-0.3;-1.9;-1.9;-2.8;-2.8;20.0;13.4;0.0;0.4;-1.5;-1.5;-5.6;-5.6;-5.6;-2.9;-0.7;0.0;0.0;0.0;-9.6;-9.6;-1.5;-1.5;-1.1;-1.1;0.0;0.0;-8.1;-8.1;0.0;-3.8;-3.8;-1.0;-1.0;-1.0;0.3;0.3;-6.1;-55.9;-55.9;-4.8;-18.5;-122.4;-0.0;-43.1;-43.5;-10.3;-1.7;-9.0;-23.9;-1.8;30.8;-15.8;7.9;-4.0;-7.8;27.7;28.4;-8.7;0.0;-6.0;-1.3;-4.2;-0.8;-3.6;-2.0;-2.5;-3.3;-10.0;0.8;0.8;0.7;-70.0;-69.9;-69.1;-69.2;0.5;-2.3;-2.0;5.4;21.3;20.7;-15.0;-72.7;-72.5;19.6;-12.1;-2.4;0.0;-6.7;1.4;-28.3;-81.8;85.6;-8.6;-8.6;-0.8;94.0;186.8;-5.2;-5.4;-105.1;0.3;-1.4;-9.7;17.3;67.0;0.0;0.0;-11.6;-12.5;-2.2;-21.4;2.6;2.6;0.0;-57.3;-57.3;-23.1;-16.0;-14.3;-3.5;-0.0;-3.5;16.1;33.4;22.0;62.0;-6.1;-6.1;-6.3;-3.0;-4.0;-5.7;-1.5;62.7;-7.9;0.0;-3.8;0.3;0.8;0.9;-4.8;-0.4;0.0;4.5;-5.3;-0.5
2.3;2.3;-1.9;-1.9;0.3;0.3;0.3;0.3;-0.7;-15.0;-9.4;13.0;13.0;16.0;14.9;-3.0;-3.0;-2.0;-2.0;-3.8;0.9;3.7;2.1;-0.3;-0.3;0.7;0.7;0.4;-2.1;-2.1;-2.1;-2.2;-2.2;0.2;0.0;-4.8;0.0;-0.0;-0.0;13.0;-5.9;-5.9;-2.3;0.0;-0.6;-0.1;-0.1;1.0;-0.2;-0.2;0.0;1.9;0.5;0.5;0.5;-3.1;-3.1;-1.1;-1.1;0.0;0.8;0.0;0.0;-0.3;-0.3;-0.2;-0.2;-1.3;-1.3;-2.3;-2.3;20.0;13.2;0.0;0.5;-1.5;-1.5;-2.7;-2.7;-2.7;-3.1;-0.8;0.0;0.0;0.5;-6.0;-6.0;-0.7;-0.7;-1.6;-1.6;-0.0;-0.0;-8.2;-8.2;0.0;-1.8;-1.8;-1.1;-1.1;-1.1;0.1;0.1;-6.4;-60.1;-60.1;-4.3;-19.1;-147.2;-0.0;-43.3;-43.7;-10.2;-0.3;-6.5;-22.2;-0.4;27.6;-15.8;1.1;-1.0;-8.5;27.7;26.1;-9.0;0.0;-6.1;-1.0;-4.0;0.0;-3.5;-1.9;-2.4;-3.3;-7.1;1.1;1.0;0.9;-69.2;-69.1;-68.4;-68.5;0.7;-2.3;-2.0;5.0;33.2;32.5;-15.2;-81.9;-81.8;19.5;-9.6;-2.5;0.0;-7.1;1.4;-38.4;-79.9;84.5;0.8;0.7;-1.3;90.3;186.6;-4.7;-4.9;-118.9;0.3;-1.7;-9.8;17.4;65.7;0.0;0.0;-12.7;-5.2;-5.8;-16.0;1.9;1.9;0.0;-47.5;-47.5;-23.6;-16.6;-14.6;-4.0;-0.0;-4.0;17.6;34.1;24.5;63.2;-5.9;-5.9;-6.1;-2.0;-3.9;-2.7;-1.4;63.3;-7.8;0.0;-3.8;0.5;1.1;1.3;-4.9;-0.4;0.0;4.1;-5.4;0.2
2.3;2.3;-1.4;-1.4;0.2;0.2;0.2;0.2;-0.8;-15.5;-9.9;13.0;13.0;16.0;15.5;-3.2;-3.2;-1.9;-1.9;-4.1;0.9;3.5;2.0;0.0;0.0;0.4;0.4;0.3;-2.6;-2.6;-2.6;-3.6;-3.6;-0.4;0.0;-4.9;0.0;0.2;0.2;5.7;-5.6;-5.6;-2.4;0.0;-0.5;-0.0;-0.0;0.5;-0.2;-0.2;0.0;1.9;0.3;0.3;0.3;-2.1;-2.1;-1.1;-1.1;0.0;1.0;0.0;0.0;-0.1;-0.1;-0.3;-0.3;-1.1;-1.1;-1.6;-1.6;20.0;13.1;0.0;0.4;-1.6;-1.6;-1.7;-1.7;-1.7;-2.5;-0.6;0.0;0.0;0.2;-4.7;-4.7;-0.7;-0.7;-1.1;-1.1;0.1;0.1;-7.7;-7.7;0.0;-1.1;-1.1;-1.3;-1.3;-1.3;0.2;0.2;-6.2;-56.1;-56.1;-2.9;-18.8;-117.7;-0.0;-37.6;-38.1;-10.4;-1.2;-8.2;-21.3;-1.3;29.9;-15.0;1.8;-0.3;-8.1;25.8;27.6;-9.0;0.0;-5.8;-1.2;-3.9;0.0;-3.6;-1.8;-2.5;-3.4;1.2;0.9;0.9;0.8;-68.5;-68.4;-67.6;-67.7;0.6;-1.8;-2.0;5.5;36.9;36.1;-26.9;-69.6;-69.5;24.9;-36.3;-2.4;0.0;-6.7;1.4;-43.9;-82.2;84.5;-32.7;-32.8;-1.5;92.0;178.4;-4.5;-4.7;-105.5;-0.0;-1.7;-8.5;22.6;66.9;0.0;0.0;-11.8;-12.8;-7.1;-17.6;1.8;1.8;0.0;-44.4;-44.4;-23.3;-16.1;-12.1;-3.9;-0.0;-3.9;16.9;33.6;23.4;62.4;-6.0;-6.0;-6.3;-1.9;-3.9;-1.7;-1.5;69.8;-7.8;0.0;-3.7;-4.6;-4.1;-3.7;-4.8;-0.5;-0.0;4.6;-5.3;0.1
2.8;2.8;-1.5;-1.5;0.1;0.1;0.1;0.1;-1.1;-15.5;-9.9;13.0;13.0;16.0;15.2;-3.2;-3.2;-2.0;-2.0;-3.4;0.8;3.3;1.8;0.2;0.2;0.4;0.4;0.8;-2.8;-2.8;-2.8;-3.6;-3.6;-0.1;0.0;-4.7;0.0;-0.2;-0.2;11.5;-5.0;-5.0;-2.5;0.0;0.0;-0.1;-0.1;0.8;0.2;0.2;0.0;1.9;0.5;0.5;0.5;-2.0;-2.0;-1.0;-1.0;0.0;1.1;0.0;0.0;-0.2;-0.2;-0.6;-0.6;-0.8;-0.8;-2.2;-2.2;20.0;12.9;0.0;0.4;-1.7;-1.7;-2.3;-2.3;-2.3;-3.1;-0.8;0.0;0.0;0.3;-5.3;-5.3;-1.1;-1.1;-0.9;-0.9;-0.0;-0.0;-7.9;-7.9;0.0;-1.5;-1.5;-1.5;-1.5;-1.5;0.2;0.2;-8.2;-56.0;-56.1;-3.8;-17.5;-116.2;-0.0;-27.9;-28.6;-10.8;-1.5;-7.8;-23.0;-1.6;30.7;-16.5;7.6;-4.2;-8.1;27.0;28.1;-8.8;0.0;-6.2;-1.2;-4.0;0.0;-3.6;-1.9;-2.5;-3.4;3.5;1.1;1.1;1.0;-73.2;-73.1;-72.3;-72.4;0.8;-2.0;-2.0;5.7;28.5;27.8;-26.9;-73.2;-73.1;24.5;-45.5;-2.3;0.0;-7.0;1.0;-40.1;-81.5;85.4;-42.1;-42.1;-1.5;95.2;195.2;-5.2;-5.4;-106.8;-0.0;-1.4;-7.7;22.4;67.2;-0.0;0.0;-10.3;-11.2;-6.7;-17.2;2.0;2.0;0.0;-64.0;-64.0;-22.9;-15.7;-14.8;-3.4;-0.0;-3.4;19.9;35.2;28.0;65.0;-6.3;-6.3;-6.6;-2.2;-4.3;-2.3;-1.5;65.2;-8.1;0.0;-3.9;-4.8;-4.2;-3.8;-4.1;-0.5;-0.0;4.8;-5.3;-0.0
2.1;2.1;-1.6;-1.6;0.2;0.2;0.2;0.2;-1.2;-14.8;-9.2;13.0;13.0;16.0;17.5;-3.1;-3.1;-2.2;-2.2;-4.7;0.9;3.2;1.7;-0.1;-0.1;0.5;0.5;0.8;-2.8;-2.8;-2.8;-4.2;-4.2;-0.2;0.0;-4.5;0.0;0.1;0.1;15.4;-5.3;-5.3;-2.7;0.0;-0.4;-0.1;-0.1;0.9;0.0;0.0;0.0;1.7;0.4;0.4;0.4;-2.5;-2.5;-0.8;-0.8;0.0;1.1;0.0;0.0;-0.2;-0.2;-0.7;-0.7;-1.0;-1.0;-2.3;-2.3;20.0;13.3;0.0;0.5;-1.6;-1.6;-2.9;-2.9;-2.9;-2.5;-0.6;0.0;0.0;0.5;-6.3;-6.3;-0.6;-0.6;-1.3;-1.3;-0.1;-0.1;-8.2;-8.2;0.0;-2.0;-2.0;-1.8;-1.8;-1.8;0.2;0.2;-5.0;-58.2;-58.2;-3.6;-18.4;-135.5;-0.1;-35.2;-35.8;-12.1;-2.1;-7.9;-23.9;-2.3;31.1;-17.9;7.6;-4.2;-9.3;31.7;30.5;-8.9;0.0;-6.0;-1.5;-3.6;-0.8;-3.8;-1.5;-2.6;-3.4;6.0;0.9;0.9;0.8;-70.1;-70.0;-69.3;-69.4;0.7;-1.9;-2.0;5.4;18.1;17.6;-14.4;-77.7;-77.6;19.0;-9.9;-2.4;0.0;-6.7;1.4;-39.1;-81.8;84.6;3.1;3.1;-1.7;94.7;192.4;-5.0;-5.3;-120.7;-0.0;-1.7;-9.5;16.9;66.3;-0.0;0.0;-10.0;-11.0;-6.9;-17.3;1.9;1.9;0.0;-58.7;-58.7;-22.5;-15.4;-14.8;-3.8;-0.0;-3.8;20.9;37.0;29.5;68.2;-6.3;-6.3;-6.5;-2.2;-4.2;-2.9;-1.5;60.1;-8.1;0.0;-3.8;-4.7;-4.0;-3.6;-4.1;-0.5;-0.0;4.5;-5.1;0.1
2.5;2.5;-1.7;-1.7;0.3;0.3;0.3;0.3;-1.4;-13.7;-8.1;13.0;13.0;16.0;15.3;-3.4;-3.4;-2.3;-2.3;-4.3;0.8;3.5;1.9;0.1;0.1;0.5;0.5;0.7;-2.4;-2.4;-2.4;-3.6;-3.6;-0.1;0.0;-4.8;0.0;0.6;0.6;20.2;-5.5;-5.5;-2.5;0.0;-0.1;-0.1;-0.1;0.9;-0.1;-0.1;0.0;1.7;0.3;0.3;0.3;-2.7;-2.7;-1.1;-1.1;0.0;1.5;0.0;0.0;-0.2;-0.2;-0.6;-0.6;-1.6;-1.6;-1.9;-1.9;20.0;14.7;0.0;0.7;-1.5;-1.5;-3.4;-3.4;-3.4;-2.7;-0.7;0.0;0.0;0.4;-6.8;-6.8;-1.0;-1.0;-0.9;-0.9;0.1;0.1;-7.9;-7.9;0.0;-2.3;-2.3;-1.5;-1.5;-1.5;0.2;0.2;-6.0;-57.2;-57.2;-3.5;-18.5;-125.1;-0.0;-17.2;-18.2;-12.0;-2.5;-7.8;-23.3;-2.7;32.0;-16.7;7.7;-4.2;-8.7;29.4;28.4;-8.7;0.0;-5.9;-1.3;-4.1;-0.8;-3.5;-1.9;-2.4;-3.4;19.8;0.8;0.8;0.7;-67.5;-67.4;-66.7;-66.8;0.5;-1.8;-2.0;5.1;18.4;17.8;-15.4;-71.6;-71.5;19.1;-10.8;-2.5;0.0;-6.8;1.4;-39.1;-82.0;84.8;5.3;5.2;-1.3;93.9;192.6;-5.1;-5.3;-114.6;-0.0;-2.0;-8.7;17.1;66.6;0.0;0.0;-11.9;-12.9;-7.2;-17.6;1.8;1.8;0.0;-58.1;-58.1;-16.5;-17.4;-15.4;-3.7;-0.0;-3.7;19.3;35.0;27.0;64.7;-6.2;-6.2;-6.4;-1.8;-4.4;-3.4;-1.5;63.5;-8.1;0.0;-3.5;-4.4;-3.5;-3.1;-4.3;-0.5;-0.0;4.2;-4.7;-0.1
2.3;2.3;-1.2;-1.2;0.2;0.2;0.2;0.2;-1.4;-13.6;-8.0;13.0;13.0;16.0;16.3;-3.3;-3.3;-1.9;-1.9;-4.2;0.6;3.3;1.7;0.0;0.0;0.4;0.4;0.8;-2.1;-2.1;-2.1;-3.2;-3.2;-0.6;0.0;-4.5;0.0;-0.4;-0.4;23.6;-5.0;-5.0;-2.2;0.0;0.3;-0.1;-0.1;0.7;0.0;0.0;0.0;2.0;0.6;0.6;0.6;-2.7;-2.7;-1.1;-1.1;0.0;1.2;0.0;0.0;-0.1;-0.1;-0.7;-0.7;-0.5;-0.5;-2.5;-2.5;20.0;14.8;0.0;0.5;-1.5;-1.5;-3.7;-3.7;-3.7;-2.9;-0.7;0.0;0.0;0.1;-6.9;-6.9;-0.7;-0.7;-0.9;-0.9;-0.0;-0.0;-8.0;-8.0;0.0;-2.5;-2.5;-1.7;-1.7;-1.7;0.2;0.2;-6.8;-56.6;-56.6;-3.1;-18.8;-122.9;-0.1;-22.7;-23.6;-11.2;-2.0;-5.6;-24.0;-2.2;31.1;-16.2;1.7;-0.4;-8.4;28.8;27.5;-7.2;0.0;-5.4;-1.5;-3.9;0.0;-3.6;-1.8;-2.5;-3.4;15.3;1.0;1.0;0.9;-70.0;-69.9;-69.1;-69.2;0.6;-2.2;-1.6;5.5;16.1;15.6;-15.8;-79.1;-78.9;18.7;-15.5;-2.3;0.0;-7.0;1.4;-38.2;-82.9;83.8;-4.3;-4.3;-1.5;96.6;194.3;-4.6;-4.8;-110.9;-0.0;-2.0;-7.5;16.7;66.8;0.0;0.0;-11.6;-12.5;-7.0;-17.5;1.9;1.9;0.0;-61.6;-61.6;-15.9;-16.8;-15.8;-4.7;-0.0;-4.7;19.5;35.4;27.4;65.5;-6.0;-6.0;-6.3;-1.6;-4.1;-3.7;-1.5;56.0;-8.0;0.0;-3.3;-4.4;-3.6;-3.2;-4.1;-0.5;0.0;4.5;-4.5;-0.1
2.4;2.4;-1.1;-1.1;0.2;0.2;0.2;0.2;-1.3;-12.3;-7.6;13.0;13.0;16.0;16.0;-3.3;-3.3;-1.9;-1.9;-4.6;0.5;2.8;1.6;0.1;0.1;0.5;0.5;0.6;-2.9;-2.9;-2.9;-4.9;-4.9;-0.7;0.0;-4.7;0.0;0.6;0.6;24.5;-4.3;-4.3;-1.6;0.0;-0.4;-0.3;-0.3;0.5;0.4;0.4;0.0;2.1;0.4;0.4;0.4;-2.8;-2.8;-0.8;-0.8;0.0;1.1;0.0;0.0;-0.0;-0.0;-0.7;-0.7;-1.5;-1.5;-1.8;-1.8;20.0;15.3;0.0;0.4;-1.7;-1.7;-3.9;-3.9;-3.9;-2.3;-0.5;0.0;0.0;0.2;-6.9;-6.9;-1.0;-1.0;-0.8;-0.8;0.0;0.0;-8.8;-8.8;0.0;-2.7;-2.7;-0.9;-0.9;-0.9;0.1;0.1;-2.3;-56.1;-56.2;-3.6;-18.1;-121.9;-0.1;-41.8;-42.2;-9.8;-2.3;-6.5;-21.6;-2.4;29.3;-15.1;1.5;-0.6;-7.3;27.6;26.8;-6.4;0.0;-5.2;-1.5;-3.9;0.0;-3.6;-1.8;-2.5;-3.4;5.7;1.3;1.3;1.2;-58.5;-58.4;-57.8;-57.9;1.0;-2.0;-2.0;5.0;15.8;15.3;-17.2;-83.7;-83.5;7.2;-7.0;-2.4;0.0;-7.0;1.4;-39.5;-83.7;82.5;-0.6;-0.6;-1.4;95.4;194.4;-4.4;-4.6;-107.7;-0.0;-2.6;-10.5;5.0;66.8;-0.0;0.0;-11.6;-12.5;-7.0;-17.5;1.9;1.9;0.0;-70.8;-70.8;-16.3;-17.2;-14.5;-3.7;-0.0;-3.7;19.9;36.4;28.0;67.2;-5.1;-5.1;-5.3;-0.9;-4.0;-3.9;-1.5;53.3;-7.9;0.0;-2.5;-4.7;-4.0;-3.5;-4.0;-0.5;0.0;4.0;-3.8;-0.1
1.6;1.6;-1.5;-1.5;0.4;0.4;0.4;0.4;-1.3;-12.9;-7.4;13.0;13.0;16.0;17.0;-2.9;-2.9;-1.8;-1.8;-3.7;0.5;3.8;1.9;0.5;0.5;0.3;0.3;0.9;-2.1;-2.1;-2.1;-5.1;-5.1;-0.4;0.0;-4.3;0.0;-0.5;-0.5;25.0;-5.0;-5.0;-1.6;0.0;-0.0;-0.2;-0.2;0.7;0.5;0.5;0.0;1.8;0.7;0.7;0.7;-3.0;-3.0;-0.6;-0.6;0.0;0.7;0.0;0.0;-0.1;-0.1;-0.7;-0.7;-0.3;-0.3;-1.8;-1.8;20.0;14.7;0.0;0.4;-1.5;-1.5;-4.1;-4.1;-4.1;-2.8;-0.6;0.0;0.0;0.6;-6.8;-6.8;-0.2;-0.2;-0.8;-0.8;-0.0;-0.0;-9.6;-9.6;0.1;-2.8;-2.8;-0.9;-0.9;-0.9;0.2;0.2;-5.6;-56.7;-56.8;-2.6;-21.2;-117.0;-0.1;-48.5;-48.7;-9.3;-3.4;-9.3;-19.1;-3.6;29.7;-12.6;2.6;0.5;-6.3;24.5;25.5;-6.3;-0.0;-5.1;-1.5;-3.5;-0.0;-3.6;-1.5;-2.5;-3.3;-10.9;1.2;1.2;1.1;-35.2;-35.1;-34.8;-34.8;0.9;-1.9;-1.6;5.1;13.5;13.0;-9.1;-87.4;-87.2;23.6;-15.7;-2.3;0.0;-7.0;1.7;-29.7;-81.4;85.7;3.7;3.6;-1.8;94.3;208.9;-2.2;-2.4;-95.1;-0.0;-2.6;-4.1;21.7;66.7;0.0;0.0;-8.4;-9.4;-4.7;-15.1;2.2;2.2;0.0;-63.3;-63.3;-14.3;-15.1;-10.2;-2.9;-0.0;-2.9;20.7;40.6;29.3;64.0;-4.2;-4.3;-4.4;-0.7;-3.8;-4.1;-1.5;47.6;-7.8;0.0;-2.7;-4.3;-3.6;-3.2;-4.1;-0.5;0.0;4.1;-4.1;0.1
