lines_disconnected;0
AISERL31MAGNY;[{'type': 'consignation', 'start': '20241125T0630Z', 'end': '20241125T2355Z', 'details': [{'type': 'consigné', 'start': '20241125T0630Z', 'end': '20241125T2355Z'}]}]
BOISSL61GEN.P;[{'type': 'suav_manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z'}]}]
CHALOL31CHAL5;[{'type': 'consignation_manoeuvre', 'start': '20241125T0745Z', 'end': '20241125T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0745Z', 'end': '20241125T0745Z'}, {'type': 'consigné', 'start': '20241125T0750Z', 'end': '20241125T2355Z'}]}]
CHALOL31LOUHA;[{'type': 'suav_manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T0605Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T0605Z'}]}]
CURTIL61ZCUR5;[{'type': 'suav_manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z'}]}]
GEN.PL61GENIS;[{'type': 'suav_manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T1455Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T1455Z'}]}]
GEN.PL62GENIS;[{'type': 'suav_manoeuvre', 'start': '20241125T0005Z', 'end': '20241125T0455Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0005Z', 'end': '20241125T0455Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241125T1105Z', 'end': '20241125T1250Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T1105Z', 'end': '20241125T1250Z'}]}]
GEN.PL63GENIS;[{'type': 'suav_manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z'}]}]
GEN.PL64GENIS;[{'type': 'suav_manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T1450Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T1450Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241125T2205Z', 'end': '20241125T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T2205Z', 'end': '20241125T2355Z'}]}]
GEN.PL66GENIS;[{'type': 'suav_manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z'}]}]
GEN.PY762;[{'type': 'consignation_manoeuvre', 'start': '20241125T0525Z', 'end': '20241125T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0525Z', 'end': '20241125T0655Z'}, {'type': 'consigné', 'start': '20241125T0700Z', 'end': '20241125T2355Z'}]}]
VIELMY762;[{'type': 'suav_manoeuvre', 'start': '20241125T1950Z', 'end': '20241125T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T1950Z', 'end': '20241125T2355Z'}]}]
GENISY611;[{'type': 'suav_manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T1455Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T1455Z'}]}]
GENISY615;[{'type': 'suav_manoeuvre', 'start': '20241125T0005Z', 'end': '20241125T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0005Z', 'end': '20241125T0350Z'}]}]
GENISY614;[{'type': 'suav_manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T1450Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T1450Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241125T2205Z', 'end': '20241125T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T2205Z', 'end': '20241125T2355Z'}]}]
GENISY613;[{'type': 'suav_manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z'}]}]
GENISY612;[{'type': 'suav_manoeuvre', 'start': '20241125T0005Z', 'end': '20241125T0455Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0005Z', 'end': '20241125T0455Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241125T1105Z', 'end': '20241125T1250Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T1105Z', 'end': '20241125T1250Z'}]}]
GENISY616;[{'type': 'suav_manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z'}]}]
N.SE5Y712;[{'type': 'suav_manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241125T0000Z', 'end': '20241125T2355Z'}]}]
