lines_disconnected;0
BOISSL61GEN.P;[{'type': 'suav_manoeuvre', 'start': '20241112T0000Z', 'end': '20241112T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241112T0000Z', 'end': '20241112T2355Z'}]}]
C.FOUL31NAVIL;[{'type': 'consignation', 'start': '20241112T0000Z', 'end': '20241112T2355Z', 'details': [{'type': 'consigné', 'start': '20241112T0000Z', 'end': '20241112T2355Z'}]}]
CHAGNL31MTAGN;[{'type': 'suav_manoeuvre', 'start': '20241112T1015Z', 'end': '20241112T1225Z', 'details': [{'type': 'manoeuvre', 'start': '20241112T1015Z', 'end': '20241112T1225Z'}]}]
CHALOL31LOUHA;[{'type': 'suav_manoeuvre', 'start': '20241112T0000Z', 'end': '20241112T0715Z', 'details': [{'type': 'manoeuvre', 'start': '20241112T0000Z', 'end': '20241112T0715Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241112T1905Z', 'end': '20241112T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241112T1905Z', 'end': '20241112T2355Z'}]}]
CHALOL32FTAIN;[{'type': 'consignation_manoeuvre', 'start': '20241112T1010Z', 'end': '20241112T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241112T1010Z', 'end': '20241112T1010Z'}, {'type': 'consigné', 'start': '20241112T1015Z', 'end': '20241112T2355Z'}]}]
CIZE L61FLEYR;[{'type': 'consignation', 'start': '20241112T0000Z', 'end': '20241112T1705Z', 'details': [{'type': 'consigné', 'start': '20241112T0000Z', 'end': '20241112T1705Z'}]}]
CREYSL71GEN.P;[{'type': 'consignation', 'start': '20241112T0720Z', 'end': '20241112T2355Z', 'details': [{'type': 'consigné', 'start': '20241112T0720Z', 'end': '20241112T2355Z'}]}]
CURTIL61ZCUR5;[{'type': 'suav_manoeuvre', 'start': '20241112T0000Z', 'end': '20241112T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241112T0000Z', 'end': '20241112T2355Z'}]}]
GEN.PL61GENIS;[{'type': 'suav_manoeuvre', 'start': '20241112T0000Z', 'end': '20241112T0555Z', 'details': [{'type': 'manoeuvre', 'start': '20241112T0000Z', 'end': '20241112T0555Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241112T1005Z', 'end': '20241112T1405Z', 'details': [{'type': 'manoeuvre', 'start': '20241112T1005Z', 'end': '20241112T1405Z'}]}]
GEN.PL62GENIS;[{'type': 'suav_manoeuvre', 'start': '20241112T0000Z', 'end': '20241112T0550Z', 'details': [{'type': 'manoeuvre', 'start': '20241112T0000Z', 'end': '20241112T0550Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241112T0905Z', 'end': '20241112T1455Z', 'details': [{'type': 'manoeuvre', 'start': '20241112T0905Z', 'end': '20241112T1455Z'}]}]
