BUGEY7G2;BUGEY7G3;BUGEY7G4;BUGEY7G5;BXNE IN1;BXNE IN3;BXNE IN4;BXNE INF;BXNE ING;GEN.P6G1;GEN.P6G2;GEN.P6G3;GEN.P6G4;GEN.P6G5;GEN.P6G6;N.SE17GROUP.1;N.SE27GROUP.2;TAVAU6GROUP.1;TAVAU6GROUP.2;VIELMIN1;VIELMIN2;VIELMIN3;VIELMINF;VIELMING;VOUGL.HG1;VOUGL.HG2;VOUGL.HG3;VOUGL.HG4
24.3;24.2;24.3;24.2;65.1;65.1;65.1;63.0;63.0;15.0;15.0;15.0;15.6;15.0;15.0;19.6;20.0;33.0;33.0;64.1;64.1;64.1;63.0;63.0;10.0;10.0;10.0;10.0
24.3;24.2;24.3;24.2;65.2;65.2;65.2;63.0;63.0;15.0;15.0;15.0;15.0;15.0;15.0;19.5;20.0;33.0;33.0;64.2;64.2;64.2;63.0;63.0;10.0;10.0;10.0;10.0
24.3;24.2;24.3;24.1;64.6;64.6;64.6;63.0;63.0;15.0;15.0;15.0;15.0;15.0;15.0;19.6;20.0;33.0;33.0;63.7;63.7;63.7;63.0;63.0;10.0;10.0;10.0;10.0
24.2;24.2;24.3;24.1;64.4;64.4;64.4;63.0;63.0;15.0;15.0;15.0;15.0;15.0;15.0;19.7;20.0;33.0;33.0;63.7;63.7;63.7;63.0;63.0;10.0;10.0;10.0;10.0
24.3;24.2;24.3;24.1;64.8;64.8;64.8;63.0;63.0;15.0;15.0;15.0;15.0;15.0;15.0;19.7;20.0;33.0;33.0;63.8;63.8;63.8;63.0;63.0;10.0;10.0;10.0;10.0
24.3;24.1;24.2;24.1;64.6;64.6;64.6;63.0;63.0;15.0;15.0;15.0;15.0;15.0;15.0;19.7;20.0;33.0;33.0;63.7;63.7;63.7;63.0;63.0;10.0;10.0;10.0;10.4
24.3;24.2;24.3;24.2;64.8;64.8;64.8;63.0;63.0;15.0;15.0;15.0;15.0;15.0;15.0;19.8;20.0;33.0;33.0;63.9;63.9;63.9;63.0;63.0;10.0;10.0;10.0;10.4
24.2;24.1;24.1;24.1;64.4;64.4;64.4;63.0;63.0;15.0;15.0;15.0;15.0;15.0;15.0;19.7;20.0;33.0;33.0;63.6;63.6;63.6;63.0;63.0;10.0;10.0;10.0;10.5
24.3;24.1;24.2;24.1;64.4;64.4;64.4;63.0;63.0;15.0;15.0;15.0;15.2;15.0;15.0;19.8;20.0;33.0;33.0;63.5;63.5;63.5;63.0;63.0;10.0;10.0;10.0;10.4
24.2;24.2;24.3;24.1;64.3;64.3;64.3;63.0;63.0;15.0;15.0;15.0;15.1;15.0;15.0;20.0;20.0;33.0;33.0;64.3;64.3;64.3;63.0;63.0;10.0;10.0;10.0;10.0
24.3;24.3;24.4;24.2;64.4;64.4;64.4;63.0;63.0;15.0;15.0;15.0;15.0;15.3;15.0;20.1;20.0;33.0;33.0;64.8;64.8;64.8;63.0;63.0;10.0;10.0;10.0;10.0
24.3;24.0;24.1;24.2;63.8;63.8;63.8;63.0;63.0;15.0;15.0;15.0;15.0;14.4;15.0;19.9;20.0;33.0;33.0;64.9;64.9;64.9;63.0;63.0;10.0;10.0;10.0;10.0
24.6;24.4;24.4;24.3;63.8;63.8;63.8;63.0;63.0;15.5;15.3;15.0;15.0;14.4;15.0;19.8;20.0;33.0;33.0;65.1;65.1;65.1;63.0;63.0;10.0;10.0;10.0;10.0
24.6;24.2;24.3;24.1;63.4;63.4;63.4;63.0;63.0;15.5;14.9;15.0;15.0;14.4;15.0;19.6;20.0;33.0;33.0;65.1;65.1;65.1;63.0;63.0;10.0;10.0;9.9;10.0
24.7;24.4;24.5;24.4;63.0;63.0;63.0;63.0;63.0;15.5;15.1;15.0;15.1;14.6;15.0;19.6;20.0;33.0;33.0;65.0;65.0;65.0;63.0;63.0;10.0;10.0;9.9;10.0
24.6;24.3;24.4;24.2;62.5;62.5;62.5;62.5;62.5;15.5;15.1;15.0;15.1;14.6;15.0;19.5;20.0;33.0;33.0;64.5;64.5;64.5;64.5;64.5;10.0;10.0;10.4;10.0
24.6;24.4;24.5;24.4;62.8;62.8;62.8;62.8;62.8;15.5;15.2;15.0;15.2;14.7;15.0;19.6;20.0;33.0;33.0;64.5;64.5;64.5;64.5;64.5;10.0;10.0;10.0;10.0
24.6;24.5;24.5;24.4;62.2;62.2;62.2;62.2;62.2;15.5;15.3;15.0;15.3;14.8;15.0;19.7;20.0;33.0;33.0;64.3;64.3;64.3;64.3;64.3;10.0;10.0;10.0;10.0
24.6;24.5;24.6;24.5;62.5;62.5;62.5;62.5;62.5;15.5;15.5;15.0;15.2;14.8;15.0;19.6;20.0;33.0;33.0;64.4;64.4;64.4;64.4;64.4;10.0;10.0;10.0;10.0
