lines_disconnected;0
BOISSL61GEN.P;[{'type': 'suav_manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T2355Z'}]}]
CHALOL31LOUHA;[{'type': 'suav_manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T2355Z'}]}]
COLLOL31GENLI;[{'type': 'consignation', 'start': '20241207T0000Z', 'end': '20241207T2355Z', 'details': [{'type': 'consigné', 'start': '20241207T0000Z', 'end': '20241207T2355Z'}]}]
CURTIL61ZCUR5;[{'type': 'suav_manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T2355Z'}]}]
GEN.PL61GENIS;[{'type': 'suav_manoeuvre', 'start': '20241207T0105Z', 'end': '20241207T0620Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0105Z', 'end': '20241207T0620Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241207T0745Z', 'end': '20241207T1655Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0745Z', 'end': '20241207T1655Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241207T2105Z', 'end': '20241207T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T2105Z', 'end': '20241207T2355Z'}]}]
GEN.PL62GENIS;[{'type': 'suav_manoeuvre', 'start': '20241207T0205Z', 'end': '20241207T0550Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0205Z', 'end': '20241207T0550Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241207T1005Z', 'end': '20241207T1650Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T1005Z', 'end': '20241207T1650Z'}]}]
GEN.PL63GENIS;[{'type': 'suav_manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T2355Z'}]}]
GEN.PL64GENIS;[{'type': 'suav_manoeuvre', 'start': '20241207T1205Z', 'end': '20241207T1450Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T1205Z', 'end': '20241207T1450Z'}]}]
GENLIL31MAGNY;[{'type': 'suav_manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T2355Z'}]}]
GEN.PY762;[{'type': 'consignation', 'start': '20241207T0000Z', 'end': '20241207T2355Z', 'details': [{'type': 'consigné', 'start': '20241207T0000Z', 'end': '20241207T2355Z'}]}]
GENISY611;[{'type': 'suav_manoeuvre', 'start': '20241207T0105Z', 'end': '20241207T0620Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0105Z', 'end': '20241207T0620Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241207T0745Z', 'end': '20241207T1655Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0745Z', 'end': '20241207T1655Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241207T2105Z', 'end': '20241207T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T2105Z', 'end': '20241207T2355Z'}]}]
GENISY615;[{'type': 'suav_manoeuvre', 'start': '20241207T0305Z', 'end': '20241207T0550Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0305Z', 'end': '20241207T0550Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241207T1005Z', 'end': '20241207T1550Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T1005Z', 'end': '20241207T1550Z'}]}]
GENISY614;[{'type': 'suav_manoeuvre', 'start': '20241207T1205Z', 'end': '20241207T1450Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T1205Z', 'end': '20241207T1450Z'}]}]
GENISY613;[{'type': 'suav_manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T2355Z'}]}]
GENISY612;[{'type': 'suav_manoeuvre', 'start': '20241207T0205Z', 'end': '20241207T0550Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0205Z', 'end': '20241207T0550Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241207T1005Z', 'end': '20241207T1650Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T1005Z', 'end': '20241207T1650Z'}]}]
GENISY616;[{'type': 'suav_manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T0455Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0000Z', 'end': '20241207T0455Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241207T0615Z', 'end': '20241207T0735Z', 'details': [{'type': 'manoeuvre', 'start': '20241207T0615Z', 'end': '20241207T0735Z'}]}]
