AISER3SAUX.1;AISER3TSNCF.1;AUXON3TR312;AUXON3TR313;B.ROC3G1;B.ROC3G2;B.ROC3X1;B.ROC3X2;BEON3 TR311;BOCTO7N.SE5-Y71G;BOCTO7N.SE5-Y71H;BUGEY1TS2;BUGEY1TS3;BUGEY1TS4;BUGEY1TS5;BXNE3 TR311;BXNE3 TR313;C.FOU3TR311;C.FOU3TR313;C.REG3TR314;C.REG6TR613;C.REG6TR614;C.REG6TR615;C.SAU3TR311;C.SAU3TR312;CHAGN3TSNCF.1;CHAGN3X1;CHAL53G1;CHALO3TR311;CHALO3TR312;CHALO3TR313;CIZE6 T611SNCF;CIZE6 T612SNCF;COLLO3TSNCF.1;COMMU6TR612;COMMU6TR613;COMMU6TSNCF.1;CORGO3SAUX.1;CORGO3TSNCF.1;COUCH3TR312;CPVAN3TR311;CPVAN3TR312;CUISE3TR311;CURTI6TSNCF.1;CURTI6TSNCF.2;FRON53SAUX.1;FRON53TSNCF.1;FTAIN3TSNCF.1;G.CHE3TR311;G.CHE3TR312;GENLI3TR311;GENLI3TR312;GEVRE3G1;GEVRE3X1;GEVRE3X2;KIR3  TR311;KIR3  TR312;LOUHA3TR312;LOUHA3TR313;MACON6TR611;MACON6TR612;MERVA3SAUX.1;MERVA3TSNCF;MEURS3G1;MEURS3SAUX.1;MOLLE3TR311;MOLLE3TR313;MTAGN3TR311;MTAGN3TR313;N.GEO3TR311;N.GEO3TR312;N.SE17TS1;N.SE27TS2;NAVIL3SAUX.1;NAVIL3TSNCF;P.SAO3TR311;P.SAO3TR312;PERRI3G1;PERRI3G2;PERRI3G3;PYMON6TR613.C;PYMON6TR613.F;PYMON6TR614.C;PYMON6TR614.F;RIBAU3TSNCF.1;ROMEL3TR311;ROMEL3TR312;RONCI3SAUX.1;RONCI3TSNCF.1;SAISS3T311;SAISS3T312;SSUSU3SAUX.1;SSUSU3TSNCF;TAVAU6T10.T32;TAVAU6T7.T9.T31;TILLE3TSNCF.1;VELAR3G1;VELAR3G2;VIELM3TR311;VIELM3TR312;VIELM3TR313;VOSNE3SAUX.1;VOSNE3TSNCF.1;VOUGL3T311S.A.;.VERBL61GEN.P;.VERBL62GEN.P;ARBOIL31CPVAN;ARLODL61GEN.P;B.TOLL71GEN.P;BLYE L31SAISS;BOCTOL71MORBR;BOCTOL72MORBR;BOISSL61C.FO6;BOISSL61CUS.P;BOISSL61MEUNI;BOISSL61MEYZI;BOISSL62CUS.P;BOISSL62MIONS;BOISSL63SSV.E;BOISSY631;BOISSY632;BOISSY633;BOISSY761;BOISSY762;BREU5L61H.PAU;BREVAL31CPVAN;C.REGL31COUB6;C.REGL31LAVOI;C.REGL31MARC6;C.REGL31SSAPO;C.REGL32LAVOI;C.REGL32MARC6;C.REGL33LAVOI;C.ROYL31CHALO;CBRY L71M.SEI;CHA.NL31CHALO;CHA.NL32CHALO;CHA.NL33CHALO;CHAFFL71SSV.O;CHAFFL72SSV.O;CHAFFL73SSV.O;CHAFFL74SSV.O;CHALOL31CHAL6;CHALOL31SENNE;CHALOL32VAREN;CHANCL32VOUGL;CHARPL71SSV.O;CHARPL72SSV.O;CHAV6L61GEN.P;CHESNL71M.SEI;CHESNL72M.SEI;CORNIL62GEN.P;CORNIL71GEN.P;CPDIVL32CPVAN;CPNOLL61GEN.P;CPVANL31MESNA;CPVANL31ZBRE6;CRENEL71REVIG;CRENEY766;CRENEY778;CREYSL71G.ILE;CREYSL72G.ILE;CRIMOL31ZCRIM;DARCEL61VIELM;F.FREL71M.SEI;FLEYRY631;FLEYRY632;FRASNL71GEN.P;G.CHEL31SSAM6;G.CHEL31SSAM7;GEN.PL61SERRI;GEN.PL61ZCRUS;GEN.PY711;GROSNY711;GUEUGY631;GUEUGY632;GUEUGY633;H.PAUY634;H.PAUY635;H.PAUY651;H.PAUY652;H.PAUY712;HOUDRL71M.SEI;HOUDRL72M.SEI;IZERNY631;IZERNY633;JOUX L61ZJOUX;L.SAUL31PYMON;L.SAUL32PYMON;L.SAUL33PYMON;M.SEIY741;M.SEIY742;M.SEIY743;M.SEIY744;MACONY631;MACONY632;MACONY633;MAGNYL31TRIEY;MOREZL31SAISS;P.BERL31PERRI;P.BERL31ROMEL;SARRYL61VIELM;SAULIL31VIELM;SEREIL71VIELM;SSCL5L31VOUGL;VENARL31VIELM;VERREL31VIELM;VERREL32VIELM;VIELML31ZE.CR;VIELML31ZPOIS;VIELMY711;VOUGLL31ZS.M5;VOUGLL32ZP.SA;BXNE53G1
3.3;3.3;-1.6;-1.6;0.3;0.3;0.3;0.3;-0.3;-13.8;-8.2;13.0;13.0;16.0;16.0;-2.8;-2.8;-1.8;-1.8;-4.3;0.5;1.9;1.1;0.8;0.8;0.5;0.5;0.6;-1.6;-1.6;-1.6;-5.2;-5.2;0.0;0.0;0.0;-4.5;-0.5;-0.5;14.3;-2.2;-2.2;-2.1;0.0;-0.1;-0.2;-0.2;1.1;0.5;0.5;0.0;0.0;0.6;0.6;0.6;-2.4;-2.4;-0.3;-0.3;0.7;0.0;-0.1;-0.1;-0.3;-0.3;-1.0;-1.0;-0.2;-0.2;-1.1;-1.1;20.0;20.0;0.0;0.8;-1.5;-1.5;-2.3;-2.3;-2.3;-2.5;-0.6;0.0;0.0;0.0;-4.2;-4.2;-0.9;-0.9;-0.9;-0.9;0.3;0.3;-3.1;-3.1;0.0;-1.7;-1.7;-4.5;-4.5;-4.5;0.1;0.1;-5.7;-59.7;-59.8;-7.3;-19.7;-89.9;0.2;-58.5;-58.5;-3.7;-23.2;2.7;-6.5;-23.2;4.9;4.5;5.3;4.0;5.7;35.2;20.0;-7.3;0.0;-4.4;-0.8;-6.4;-0.8;-3.2;-6.0;-2.2;-2.8;-41.2;0.5;0.5;0.4;-78.6;-57.9;-57.3;-77.7;0.3;-1.2;-0.8;-5.3;11.2;17.5;-15.3;-9.4;-55.4;-10.0;-5.5;-2.0;0.0;-7.3;-4.6;-44.3;-97.1;57.8;-33.9;-37.6;-1.9;17.4;99.9;-3.7;-3.9;-107.8;-0.0;-5.1;4.1;-11.6;-0.0;0.0;0.0;-9.5;-10.5;-8.0;-8.5;1.5;1.5;66.5;-25.6;-23.3;8.7;9.0;-16.5;-3.3;-0.0;-3.3;-1.7;5.3;6.6;20.7;-4.6;4.6;-4.7;-4.4;-3.4;-2.4;-1.5;37.9;-7.6;32.6;-1.9;4.3;5.9;5.6;-4.9;-0.5;66.6;-5.2;-3.5;0.2
3.1;3.1;-1.6;-1.6;0.2;0.2;0.2;0.2;-0.4;-12.1;-7.5;13.0;13.0;16.0;16.0;-3.1;-3.1;-2.0;-2.0;-3.0;0.3;1.3;0.8;1.3;1.3;0.3;0.3;0.9;-1.6;-1.6;-1.6;-4.3;-4.3;0.0;0.0;0.0;-4.7;0.2;0.2;11.9;-2.1;-2.1;-2.0;0.0;0.1;0.1;0.1;1.0;0.3;0.3;0.0;0.0;0.5;0.5;0.5;-2.7;-2.7;-0.4;-0.4;1.2;0.0;0.3;0.3;-0.3;-0.3;-1.3;-1.3;-1.0;-1.0;-1.3;-1.3;20.0;20.0;0.0;0.7;-1.2;-1.2;-2.3;-2.3;-2.3;-3.2;-0.8;0.0;0.0;0.0;-4.8;-4.8;-0.7;-0.7;-0.9;-0.9;-0.1;-0.1;-2.9;-2.9;0.0;-1.5;-1.5;-4.2;-4.2;-4.2;0.1;0.1;-6.9;-58.6;-58.7;-7.7;-20.4;-113.2;0.2;-76.0;-75.5;-3.7;-21.9;6.9;-8.4;-22.0;0.6;3.2;4.9;3.6;5.3;36.8;18.6;-7.2;-0.0;-3.9;-0.8;-7.0;-1.2;-3.2;-6.8;-2.2;-3.0;-52.4;0.5;0.5;0.4;-89.0;-63.5;-62.8;-88.0;0.2;-1.4;-0.8;-5.5;23.1;31.1;-20.1;-25.4;-68.2;-13.4;-26.1;-2.0;0.0;-7.7;-5.0;-42.6;-97.1;56.3;-50.6;-55.0;-2.4;22.1;84.3;-4.0;-4.2;-107.5;-0.0;-5.4;2.8;-15.1;0.0;0.0;0.0;-9.1;-10.1;-8.3;-8.9;1.4;1.4;65.8;-23.0;-15.1;8.5;8.8;-21.8;-3.9;-0.0;-3.9;-0.4;14.1;8.7;17.4;-4.9;4.2;-5.1;-4.2;-3.7;-2.4;-1.5;41.3;-7.9;36.0;-2.0;3.9;5.9;5.7;-5.0;-0.4;65.9;-5.4;-3.7;-0.1
2.9;2.9;-1.5;-1.5;0.5;0.5;0.5;0.5;0.0;-11.0;-6.8;13.0;13.0;16.0;16.0;-3.0;-3.0;-1.8;-1.8;-4.1;0.5;1.9;1.3;1.1;1.1;0.4;0.4;1.2;-0.9;-0.9;-0.9;-4.2;-4.2;0.0;0.0;0.0;-4.6;0.7;0.7;25.0;-2.7;-2.7;-2.3;0.0;0.3;0.1;0.1;0.9;0.4;0.4;0.0;0.0;0.7;0.7;0.7;-4.0;-4.0;-0.3;-0.3;0.9;0.0;-0.1;-0.1;-0.4;-0.4;-1.2;-1.2;-1.5;-1.5;-1.8;-1.8;20.0;20.0;0.0;0.6;-1.6;-1.6;-5.1;-5.1;-5.1;-2.8;-0.7;0.0;0.0;0.0;-7.7;-7.7;-0.6;-0.6;-0.8;-0.8;0.1;0.1;-3.2;-3.2;0.0;-3.5;-3.5;-3.9;-3.9;-3.9;0.4;0.4;-6.3;-71.8;-71.8;-7.5;-19.4;-143.1;0.2;-44.3;-44.6;-6.9;-22.7;12.0;-9.7;-22.7;-0.2;3.9;5.5;4.2;5.4;36.5;14.3;-6.7;0.0;-5.3;-0.6;-6.9;-1.2;-3.2;-6.7;-2.2;-3.0;-55.7;0.6;0.5;0.5;-58.5;-38.0;-37.6;-57.9;0.3;-1.3;-0.8;-6.6;43.2;49.1;-14.9;-22.9;-72.4;-10.8;-21.7;-2.0;0.0;-7.5;-4.6;-43.3;-87.1;66.3;-15.9;-19.5;-2.4;29.1;138.2;-4.3;-4.5;-109.9;-0.0;-5.7;2.9;-12.4;-0.0;0.0;0.0;-7.4;-8.4;-8.0;-8.6;1.5;1.5;64.7;-6.4;5.6;8.0;8.3;-26.3;-4.4;-0.0;-4.4;2.4;23.3;12.2;24.7;-4.8;4.3;-5.0;-3.7;-3.6;-5.1;-1.5;46.0;-6.8;43.3;-2.1;4.6;6.4;6.0;-4.5;-0.4;64.5;-6.4;-3.8;-0.3
3.5;3.5;-1.8;-1.8;0.5;0.5;0.5;0.5;0.0;-14.6;-8.6;13.0;13.0;16.0;16.0;-3.0;-3.0;-1.8;-1.8;-0.6;-0.2;-0.8;-0.5;0.9;0.9;0.3;0.3;0.7;-2.2;-2.2;-2.2;-3.6;-3.6;0.0;0.0;0.0;-5.5;0.6;0.6;25.0;-2.3;-2.3;-2.7;0.0;-1.3;0.0;0.0;0.9;0.5;0.5;0.0;0.0;0.7;0.7;0.7;-3.8;-3.8;-0.6;-0.6;1.0;0.0;0.1;0.1;-0.2;-0.2;-1.0;-1.0;-1.5;-1.5;-1.7;-1.7;20.0;20.0;0.0;1.0;-1.6;-1.6;-5.6;-5.6;-5.6;-3.7;-0.9;0.0;0.0;0.5;-8.2;-8.2;-1.2;-1.2;-0.8;-0.8;0.0;0.0;-3.4;-3.4;0.0;-3.8;-3.8;-4.0;-4.0;-4.0;0.1;0.1;-5.2;-67.6;-67.6;-8.2;-16.3;-138.1;0.2;-76.1;-75.6;-4.5;-24.0;10.8;-9.8;-24.1;3.8;3.1;4.9;3.6;3.6;36.1;14.4;0.9;-0.0;-4.0;-0.8;-6.9;-0.8;-3.2;-7.0;-2.2;-3.0;-54.3;0.4;0.3;0.3;-42.3;-28.8;-28.5;-41.8;0.1;-1.0;-1.2;-6.6;49.4;52.7;-7.4;-18.8;-69.0;-6.4;-20.0;-2.0;0.0;-8.0;-5.2;-64.3;-87.4;64.5;-1.9;-4.3;-0.8;32.3;79.9;-4.6;-4.8;-102.8;-0.0;-5.7;3.0;-8.3;-0.0;0.0;0.0;-8.0;-9.0;-8.7;-9.3;1.5;1.5;64.7;-29.1;-9.4;7.8;8.1;-26.2;-4.5;-0.0;-4.5;2.1;26.3;20.0;28.5;-4.9;4.1;-5.1;-4.7;-3.5;-5.6;-1.5;49.9;-6.6;56.4;-2.5;5.0;6.9;6.5;-4.4;-0.4;64.4;-6.4;-4.1;-0.4
3.8;3.8;-1.9;-1.9;0.3;0.3;0.3;0.3;-0.1;-12.0;-7.1;13.0;13.0;16.0;16.0;-2.9;-2.9;-1.8;-1.8;-1.2;-0.1;-0.2;-0.1;0.9;0.9;0.6;0.6;0.5;-1.3;-1.3;-1.3;-5.6;-5.6;0.0;0.0;0.0;-5.4;0.5;0.5;16.6;-2.5;-2.5;-2.4;0.0;-0.3;0.1;0.1;0.9;0.7;0.7;0.0;0.0;0.2;0.2;0.2;-2.8;-2.8;-0.4;-0.4;1.3;0.0;-0.1;-0.1;-0.3;-0.3;-1.0;-1.0;-1.7;-1.7;-0.9;-0.9;20.0;20.0;0.0;0.5;-1.8;-1.8;-2.7;-2.7;-2.7;-3.4;-0.8;0.0;0.0;0.5;-4.8;-4.8;-1.4;-1.4;-1.0;-1.0;0.2;0.2;-2.9;-2.9;0.0;-2.0;-2.0;-3.2;-3.2;-3.2;0.1;0.1;-6.2;-66.2;-66.2;-8.5;-19.9;-150.0;0.2;-66.7;-66.5;-4.3;-24.0;13.3;-9.7;-24.0;3.8;0.3;4.6;3.3;3.7;36.7;12.7;-6.9;0.0;-4.1;-1.0;-6.9;-1.2;-3.4;-7.0;-2.3;-3.0;-56.4;0.1;0.1;0.0;-19.6;-31.9;-31.6;-19.5;-0.1;-1.6;-1.2;-7.3;63.3;55.0;-2.9;-27.4;-71.2;-1.6;-17.8;-2.1;0.0;-8.1;-6.1;-62.2;-77.8;74.6;21.2;22.4;-0.9;45.7;77.9;-5.1;-5.4;-103.8;-0.0;-6.2;3.9;-3.2;0.0;0.0;0.0;-9.3;-10.2;-8.5;-9.1;1.4;1.4;64.3;-19.6;4.4;15.9;5.4;-28.9;-4.3;-0.0;-4.3;9.4;34.9;22.6;32.5;-5.3;3.7;-5.5;-5.0;-3.8;-2.8;-1.5;49.7;-6.8;57.5;-2.1;4.7;6.1;5.8;-3.9;-0.4;63.6;-7.0;-3.8;0.0
4.2;4.2;-2.0;-2.0;0.3;0.3;0.3;0.3;-0.5;-12.9;-7.6;13.0;13.0;16.0;16.0;-2.8;-2.8;-1.9;-1.9;-4.4;0.9;3.0;1.8;1.3;1.3;0.3;0.3;0.9;-1.9;-1.9;-1.9;-2.8;-2.8;0.0;0.0;0.0;-5.8;-0.0;-0.0;8.6;-2.8;-2.8;-2.5;0.0;0.5;-0.0;-0.0;1.6;0.4;0.4;0.0;0.0;0.5;0.5;0.5;-2.3;-2.3;-0.6;-0.6;1.3;0.0;0.1;0.1;-0.5;-0.5;-1.3;-1.3;-1.0;-1.0;-1.4;-1.4;20.0;20.0;0.0;0.6;-1.7;-1.7;-1.8;-1.8;-1.8;-2.9;-0.7;0.0;0.0;0.6;-3.8;-3.8;-1.7;-1.7;-1.0;-1.0;-0.0;-0.0;-3.3;-3.3;0.0;-1.4;-1.4;-3.0;-3.0;-3.0;0.3;0.3;-5.6;-48.1;-48.1;-8.4;-19.9;-141.6;0.2;-49.6;-49.8;-4.9;-23.4;18.0;-12.1;-23.4;3.9;-3.7;5.8;4.5;2.8;35.2;8.6;-7.8;-0.0;-5.3;-1.2;-7.3;-1.2;-3.5;-7.1;-2.4;-3.0;-61.6;0.3;0.3;0.2;-7.3;-32.7;-32.4;-7.4;0.1;-1.4;-1.2;-6.5;91.6;76.0;-6.2;-24.2;-68.0;0.7;-34.3;-2.1;0.0;-8.1;-5.9;-54.3;-73.4;79.0;3.3;5.6;-2.0;55.1;112.3;-4.9;-5.1;-106.9;-0.0;-6.0;3.9;-1.2;0.0;0.0;0.0;-6.1;-7.2;-10.8;-11.5;1.0;1.0;64.1;-13.6;9.6;-0.3;11.3;-33.3;-4.3;-0.0;-4.3;11.1;32.1;24.5;36.9;-5.7;3.4;-5.9;-5.1;-4.0;-1.9;-1.5;52.7;-6.7;67.8;-3.1;4.8;7.2;6.9;-2.0;-0.4;63.2;-6.3;-4.5;0.1
3.7;3.7;-2.0;-2.0;0.4;0.4;0.4;0.4;-0.8;-14.9;-8.8;13.0;13.0;16.0;16.0;-3.1;-3.1;-1.9;-1.9;-3.1;0.6;2.5;1.3;0.5;0.5;0.5;0.5;0.8;-1.7;-1.7;-1.7;-3.3;-3.3;0.0;0.0;0.0;-5.5;0.1;0.1;25.0;-2.6;-2.6;-2.4;0.0;0.2;-0.1;-0.1;1.1;0.6;0.6;0.0;0.0;0.5;0.5;0.5;-3.3;-3.3;-0.9;-0.9;1.7;0.0;-0.3;-0.3;-0.2;-0.2;-1.0;-1.0;-1.0;-1.0;-1.5;-1.5;20.0;20.0;0.0;0.7;-1.5;-1.5;-4.4;-4.4;-4.4;-3.2;-0.8;0.0;0.0;0.3;-6.8;-6.8;-2.1;-2.1;-1.0;-1.0;0.4;0.4;-3.0;-3.0;0.0;-3.3;-3.3;-2.4;-2.4;-2.4;0.3;0.3;-5.3;-52.6;-52.6;-8.5;-19.5;-135.2;0.2;-17.0;-18.0;-4.8;-23.8;16.2;-10.8;-23.8;6.8;-4.9;6.0;4.6;3.2;34.5;8.8;-9.2;-0.0;-5.7;-1.1;-7.7;-1.2;-3.4;-7.1;-2.3;-3.0;-52.6;0.2;0.2;0.1;17.1;-12.0;-12.0;16.8;0.0;-1.6;-1.6;-5.9;104.0;85.6;-2.2;-11.2;-53.6;3.3;-21.5;-2.2;0.0;-8.1;-5.8;-54.9;-63.1;91.7;27.2;29.7;0.6;59.9;122.6;-4.6;-4.9;-100.9;-0.0;-6.0;3.8;1.7;-0.0;-0.0;0.0;-7.4;-8.4;-11.2;-12.0;0.9;0.9;64.3;-13.0;11.5;-0.6;11.0;-33.7;-3.9;-0.0;-3.9;13.9;37.6;29.1;46.3;-5.6;3.5;-5.8;-6.0;-4.1;-4.5;-1.5;52.9;-6.7;68.8;-3.1;4.7;7.4;7.2;-2.4;-0.4;63.3;-5.5;-4.7;-0.0
3.7;3.7;-1.8;-1.8;0.4;0.4;0.4;0.4;-0.5;-12.2;-7.2;13.0;13.0;16.0;16.0;-3.2;-3.2;-2.0;-2.0;-3.8;1.5;4.0;2.2;0.8;0.8;0.2;0.2;0.3;-1.2;-1.2;-1.2;-4.2;-4.2;0.0;0.0;0.0;-5.7;1.3;1.3;25.0;-3.0;-3.0;-2.8;0.0;0.3;-0.1;-0.1;0.6;0.4;0.4;0.0;0.0;0.9;0.9;0.9;-4.2;-4.2;-1.2;-1.2;1.5;0.0;0.2;0.2;-0.0;-0.0;-1.1;-1.1;-2.4;-2.4;-2.2;-2.2;20.0;20.0;0.0;0.5;-1.7;-1.7;-6.3;-6.3;-6.3;-3.3;-0.8;0.0;0.0;-0.1;-9.3;-9.3;-1.2;-1.2;-1.0;-1.0;0.0;0.0;-2.8;-2.8;0.0;-4.2;-4.2;-1.2;-1.2;-1.2;0.2;0.2;-2.9;-54.6;-54.6;-8.4;-19.4;-130.2;0.2;-26.8;-27.6;-0.8;-23.9;17.1;-11.2;-23.9;9.4;-7.7;9.8;-2.4;-2.3;33.5;9.6;-9.0;0.0;-5.7;-1.1;-7.1;-1.2;-3.4;-6.6;-2.3;-3.0;-53.7;0.1;0.1;-0.0;20.1;-8.4;-8.5;19.7;-0.1;-1.6;-1.6;-4.8;104.1;85.9;-5.2;-32.2;-66.2;4.5;-25.8;-2.2;0.0;-8.0;-6.0;-45.1;-57.9;97.4;24.4;26.7;-2.7;69.1;94.7;-5.8;-6.0;-99.6;-0.0;-5.7;3.1;2.7;-0.0;-0.0;0.0;-4.0;-5.1;-10.8;-11.4;1.0;1.0;64.3;-3.8;24.0;11.3;0.1;-35.7;-3.8;-0.0;-3.8;13.7;45.3;29.9;46.9;-5.8;3.3;-6.0;-3.8;-4.2;-6.3;-1.5;52.6;-8.1;67.3;-3.0;4.3;6.2;5.8;-2.3;-0.4;63.2;-4.4;-4.4;-0.7
3.8;3.8;-1.9;-1.9;0.4;0.4;0.4;0.4;-0.6;-12.7;-7.5;13.0;13.0;16.0;16.0;-3.3;-3.3;-2.1;-2.1;-4.2;1.1;3.4;1.9;1.4;1.4;0.4;0.4;0.1;-2.0;-2.0;-2.0;-3.9;-3.9;0.0;0.0;0.0;-4.3;0.9;0.9;25.0;-3.3;-3.3;-2.7;0.0;0.7;0.1;0.1;0.8;0.8;0.8;0.0;0.0;0.7;0.7;0.7;-3.7;-3.7;-1.2;-1.2;1.3;0.0;-0.1;-0.1;-0.1;-0.1;-1.0;-1.0;-2.1;-2.1;-1.9;-1.9;20.0;20.0;0.0;0.7;-1.5;-1.5;-4.9;-4.9;-4.9;-2.2;-0.7;0.0;0.0;0.1;-7.7;-7.7;-1.3;-1.3;-1.0;-1.0;0.6;0.6;-3.4;-3.4;0.0;-3.4;-3.4;-2.1;-2.1;-2.1;0.3;0.3;-4.9;-57.2;-57.2;-8.2;-16.3;-143.0;0.2;-16.2;-17.3;-1.0;-23.2;12.3;-8.8;-23.2;9.5;-5.9;3.1;1.0;-2.2;36.3;16.3;-7.0;0.0;-4.6;-1.2;-6.4;-1.2;-3.5;-5.7;-2.4;-3.0;-47.4;0.5;0.4;0.4;14.0;-20.2;-20.0;13.6;0.3;-1.7;-1.6;-5.0;103.8;83.0;3.0;-24.0;-63.2;4.1;-21.6;-2.2;0.0;-7.9;-6.4;-36.9;-77.2;88.0;24.6;27.7;-2.5;73.3;99.0;-5.9;-6.1;-114.9;-0.0;-6.0;3.0;2.0;-0.0;-0.0;0.0;-1.8;-2.9;-9.4;-10.0;1.5;1.5;0.0;2.7;30.4;9.7;-1.5;-28.4;-3.7;-0.0;-3.7;15.8;44.8;32.3;55.8;-5.6;3.5;-5.8;-4.3;-4.1;-4.9;-1.5;53.1;-8.2;56.1;-2.9;5.0;8.0;7.6;-4.1;-0.4;0.0;-4.5;-4.3;-0.5
3.8;3.8;-1.9;-1.9;0.4;0.4;0.4;0.4;-0.5;-13.4;-7.9;13.0;13.0;16.0;16.0;-3.2;-3.2;-2.0;-2.0;-3.5;0.9;3.0;1.6;1.3;1.3;0.4;0.4;0.9;-1.7;-1.7;-1.7;-3.8;-3.8;0.0;0.0;0.0;-4.9;-0.0;-0.0;11.3;-2.6;-2.6;-3.0;0.0;0.5;-0.1;-0.1;0.9;0.8;0.8;0.0;0.0;0.4;0.4;0.4;-2.7;-2.7;-0.9;-0.9;1.6;0.0;0.1;0.1;-0.3;-0.3;-1.2;-1.2;-1.0;-1.0;-1.4;-1.4;20.0;20.0;0.0;0.6;-1.7;-1.7;-2.3;-2.3;-2.3;-2.1;-0.4;0.0;0.0;0.4;-4.4;-4.4;-1.4;-1.4;-1.0;-1.0;0.0;0.0;-3.0;-3.0;0.2;-1.8;-1.8;-2.6;-2.6;-2.6;0.2;0.2;-5.8;-57.6;-57.6;-8.6;-15.6;-147.6;0.2;15.3;13.4;-0.4;-23.1;14.1;-10.3;-23.1;7.1;-5.8;10.1;-1.9;-1.6;33.4;13.0;-6.5;-0.0;-4.9;-1.2;-6.9;-1.2;-3.5;-6.4;-2.4;-2.8;-39.8;0.5;0.5;0.4;23.5;-13.5;-13.4;23.1;0.4;-1.5;-1.6;-5.8;112.6;90.6;1.3;-17.6;-58.5;2.9;-22.2;-2.0;0.0;-8.2;-6.0;-33.7;-71.8;94.7;28.9;32.4;-2.5;76.3;110.3;-5.0;-5.2;-108.1;-0.0;-6.0;4.7;1.3;-0.0;0.0;0.0;-1.2;-2.3;-9.1;-9.6;1.5;1.5;0.0;12.9;41.2;2.4;2.5;-29.7;-3.6;-0.0;-3.6;18.0;51.8;35.3;57.0;-5.3;3.8;-5.5;-4.4;-4.1;-2.3;-1.5;55.2;-8.1;60.6;-3.5;5.4;8.2;7.8;-3.4;-0.4;0.0;-5.3;-4.8;0.2
