BUGEY7G2;BUGEY7G3;BUGEY7G4;BUGEY7G5;BXNE IN1;BXNE IN3;BXNE IN4;BXNE INF;BXNE ING;GEN.P6G1;GEN.P6G2;GEN.P6G3;GEN.P6G4;GEN.P6G5;GEN.P6G6;N.SE17GROUP.1;N.SE27GROUP.2;TAVAU6GROUP.1;TAVAU6GROUP.2;VIELMIN1;VIELMIN2;VIELMIN3;VIELMINF;VIELMING;VOUGL.HG1;VOUGL.HG2;VOUGL.HG3;VOUGL.HG4
24.0;24.0;24.0;23.9;65.2;65.2;65.2;63.0;63.0;15.5;14.8;15.0;14.9;14.3;15.0;20.2;20.2;28.8;33.0;64.5;64.5;64.5;63.0;63.0;10.0;10.0;10.0;10.0
23.9;23.9;24.0;23.8;65.0;65.0;65.0;63.0;63.0;15.5;14.9;15.0;14.9;14.4;15.0;20.2;20.2;28.8;33.0;64.2;64.2;64.2;63.0;63.0;10.0;10.0;10.0;10.0
24.1;24.1;24.2;24.1;64.5;64.5;64.5;63.0;63.0;15.5;14.9;15.0;14.9;14.3;15.0;20.5;20.6;28.4;33.0;63.9;63.9;63.9;63.0;63.0;10.0;10.0;10.0;10.0
24.3;24.3;24.4;24.3;64.5;64.5;64.5;63.0;63.0;15.0;15.1;15.0;15.1;14.6;15.0;20.2;20.2;28.4;33.0;63.8;63.8;63.8;63.0;63.0;10.0;10.0;10.0;10.0
24.4;24.4;24.5;24.5;64.9;64.9;64.9;63.0;63.0;15.0;15.5;15.0;15.3;14.8;15.0;20.3;20.3;28.3;33.0;63.5;63.5;63.5;63.0;63.0;10.0;10.0;10.0;10.0
24.5;24.5;24.6;24.7;65.0;65.0;65.0;63.0;63.0;15.0;15.0;15.0;15.7;15.2;15.0;20.5;20.5;28.2;33.0;63.2;63.2;63.2;63.0;63.0;10.0;10.0;10.0;10.0
24.7;24.7;24.8;24.9;65.0;65.0;65.0;63.0;63.0;15.0;15.0;15.0;15.8;15.1;15.0;20.7;20.8;28.2;33.0;63.3;63.3;63.3;63.0;63.0;10.0;10.0;10.0;10.0
24.9;24.9;25.0;25.1;65.0;65.0;65.0;63.0;63.0;15.0;15.0;15.0;15.8;15.0;15.0;20.7;20.7;28.2;33.0;63.3;63.3;63.3;63.0;63.0;10.0;10.0;10.0;10.5
24.6;24.6;24.6;24.8;65.3;65.3;65.3;63.0;63.0;15.0;15.0;15.0;15.8;15.0;15.0;20.8;20.8;28.3;33.0;63.7;63.7;63.7;63.0;63.0;10.0;10.0;10.0;10.5
24.7;24.8;24.8;24.9;65.5;65.5;65.5;63.0;63.0;15.0;15.0;15.0;15.8;15.0;15.0;21.0;21.1;28.3;33.0;63.6;63.6;63.6;63.0;63.0;10.0;10.0;10.0;10.5
