BUGEY7G2;BUGEY7G3;BUGEY7G4;BUGEY7G5;BXNE IN1;BXNE IN3;BXNE IN4;BXNE INF;BXNE ING;GEN.P6G1;GEN.P6G2;GEN.P6G3;GEN.P6G4;GEN.P6G5;GEN.P6G6;N.SE17GROUP.1;N.SE27GROUP.2;TAVAU6GROUP.1;TAVAU6GROUP.2;VIELMIN1;VIELMIN2;VIELMIN3;VIELMINF;VIELMING;VOUGL.HG1;VOUGL.HG2;VOUGL.HG3;VOUGL.HG4
927.6;932.7;843.0;918.1;0.0;0.0;0.0;0.0;0.0;59.6;56.3;0.0;61.5;64.3;0.0;1328.3;1313.3;38.6;0.0;6.7;11.8;9.9;0.0;0.0;0.0;0.0;0.0;0.0
926.8;936.3;811.6;918.1;0.0;0.0;0.0;0.0;0.0;59.0;54.5;0.0;59.8;63.9;0.0;1330.9;1311.8;38.3;0.0;10.8;15.2;11.5;0.0;0.0;0.0;0.0;0.0;0.0
929.0;939.1;829.2;918.1;0.0;0.0;0.0;0.0;0.0;58.9;54.2;0.0;59.6;63.4;0.0;1329.6;1314.5;39.1;0.0;9.3;12.3;10.3;0.0;0.0;0.0;0.0;0.0;0.0
930.6;936.6;844.6;912.7;0.0;0.0;0.0;0.0;0.0;0.0;54.6;0.0;60.9;64.7;0.0;1326.0;1310.9;38.5;0.0;9.9;11.4;10.3;0.0;0.0;0.0;0.0;0.0;0.0
931.5;934.6;885.6;680.8;0.0;0.0;0.0;0.0;0.0;0.0;55.1;0.0;61.2;64.6;0.0;1328.5;1313.1;39.0;0.0;16.5;15.1;18.6;0.0;0.0;0.0;0.0;0.0;0.0
930.2;937.4;842.0;369.8;0.2;0.2;0.2;0.0;0.0;0.0;0.0;0.0;59.7;60.4;0.0;1322.9;1304.4;38.6;0.0;19.4;13.7;19.6;0.0;0.0;0.0;0.0;0.0;0.0
928.5;937.8;851.2;250.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.7;59.9;0.0;1325.1;1307.0;38.8;0.0;21.3;15.0;21.6;0.0;0.0;0.0;0.0;0.0;0.0
930.1;941.0;856.4;248.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.8;0.0;0.0;1321.5;1306.1;38.5;0.0;25.5;20.3;21.6;0.0;0.0;0.0;0.0;0.0;-67.9
930.6;939.3;885.6;216.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.3;0.0;0.0;1317.0;1302.0;38.6;0.0;27.5;17.0;16.4;0.0;0.0;0.0;0.0;0.0;-67.5
929.7;937.6;890.5;214.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.8;0.0;0.0;1321.1;1300.9;38.8;0.0;23.3;19.4;17.3;0.0;0.0;0.0;0.0;0.0;-67.4
930.6;936.7;851.0;214.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.4;0.0;58.6;1320.4;1305.4;38.2;0.0;19.9;18.8;14.7;0.0;0.0;0.0;0.0;0.0;-66.9
931.4;941.0;861.8;219.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.9;0.0;58.5;1320.0;1304.9;38.3;0.0;24.4;19.8;19.4;0.0;0.0;0.0;0.0;0.0;-66.5
932.2;941.0;858.1;225.8;0.0;0.0;0.0;0.0;0.0;0.0;49.4;0.0;55.7;55.8;55.3;1320.3;1306.3;37.9;0.0;28.0;21.2;21.6;0.0;0.0;0.0;0.0;0.0;0.0
933.8;938.0;877.9;236.5;0.0;0.0;0.0;0.0;0.0;53.0;53.3;0.0;57.4;57.5;0.0;1320.4;1305.3;38.2;0.0;28.2;21.9;20.2;0.0;0.0;0.0;0.0;0.0;0.0
927.6;934.5;858.0;221.7;0.0;0.0;0.0;0.0;0.0;51.8;52.4;0.0;56.3;56.5;0.0;1317.9;1299.8;37.7;0.0;27.5;20.3;21.6;0.0;0.0;0.0;0.0;0.0;0.0
926.8;935.1;852.0;228.4;0.0;0.0;0.0;0.0;0.0;53.0;52.7;0.0;56.5;57.4;0.0;1296.3;1306.9;38.2;0.0;26.9;22.1;21.6;0.0;0.0;0.0;0.0;0.0;0.0
931.0;935.3;878.5;223.4;0.0;0.0;0.0;0.0;0.0;0.0;51.6;0.0;56.3;56.2;55.7;1302.0;1308.1;37.9;0.0;28.5;20.6;21.6;0.1;0.1;55.4;0.0;0.0;0.0
925.8;937.1;850.8;224.5;0.0;0.0;0.0;0.1;0.1;0.0;53.9;0.0;59.7;61.0;57.7;1319.5;1308.8;38.0;0.0;28.1;23.5;21.6;0.2;0.2;60.3;0.0;0.0;0.0
929.7;940.8;887.4;234.7;0.0;0.0;0.0;0.1;0.1;0.0;54.2;0.0;59.8;61.6;58.3;1319.3;1304.6;38.2;0.0;26.8;22.3;21.6;0.2;0.2;46.1;0.0;0.0;0.0
926.9;933.8;847.4;218.3;0.0;0.0;0.0;0.1;0.1;0.0;54.3;0.0;59.8;61.5;58.7;1318.9;1308.6;38.2;0.0;21.3;20.3;21.6;0.3;0.3;13.5;0.0;0.0;0.0
930.4;938.1;848.1;222.8;0.0;0.0;0.0;0.2;0.2;0.0;54.4;0.0;59.8;61.5;58.6;1322.6;1310.0;38.0;0.0;23.1;20.2;15.4;0.4;0.4;0.0;0.0;0.0;-68.1
930.3;937.9;850.6;223.8;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;60.8;0.0;59.7;1324.2;1309.2;38.0;0.0;24.3;24.8;21.6;0.5;0.5;0.0;0.0;0.0;-68.0
928.9;936.0;876.8;236.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;61.0;0.0;59.7;1323.1;1308.0;38.2;0.0;23.1;27.9;19.8;0.5;0.5;0.0;0.0;0.0;-0.8
932.3;937.8;867.3;234.3;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;60.7;0.0;59.0;1321.4;1307.7;38.0;0.0;23.2;26.9;21.6;0.6;0.6;45.6;46.1;0.0;0.0
