AISER3SAUX.1;AISER3TSNCF.1;AUXON3TR312;AUXON3TR313;B.ROC3G1;B.ROC3G2;B.ROC3X1;B.ROC3X2;BEON3 TR311;BOCTO7N.SE5-Y71G;BOCTO7N.SE5-Y71H;BUGEY1TS2;BUGEY1TS3;BUGEY1TS4;BUGEY1TS5;BXNE3 TR311;BXNE3 TR313;BXNE53G1;C.FOU3TR311;C.FOU3TR313;C.REG3TR314;C.REG6TR613;C.REG6TR614;C.REG6TR615;C.SAU3TR311;C.SAU3TR312;CHAGN3TSNCF.1;CHAGN3X1;CHAL53G1;CHALO3TR311;CHALO3TR312;CHALO3TR313;CIZE6 T611SNCF;CIZE6 T612SNCF;COLLO3TSNCF.1;COMMU6TR612;COMMU6TR613;COMMU6TSNCF.1;CORGO3SAUX.1;CORGO3TSNCF.1;COUCH3TR312;CPVAN3TR311;CPVAN3TR312;CUISE3TR311;CURTI6TSNCF.1;CURTI6TSNCF.2;FRON53SAUX.1;FRON53TSNCF.1;FTAIN3TSNCF.1;G.CHE3TR311;G.CHE3TR312;GENLI3TR311;GENLI3TR312;GEVRE3G1;GEVRE3X1;GEVRE3X2;KIR3  TR311;KIR3  TR312;LOUHA3TR312;LOUHA3TR313;MACON6TR611;MACON6TR612;MERVA3SAUX.1;MERVA3TSNCF;MEURS3G1;MEURS3SAUX.1;MOLLE3TR311;MOLLE3TR313;MTAGN3TR311;MTAGN3TR313;N.GEO3TR311;N.GEO3TR312;N.SE17TS1;N.SE27TS2;NAVIL3SAUX.1;NAVIL3TSNCF;P.SAO3TR311;P.SAO3TR312;PERRI3G1;PERRI3G2;PERRI3G3;PYMON6TR613.C;PYMON6TR613.F;PYMON6TR614.C;PYMON6TR614.F;RIBAU3TSNCF.1;ROMEL3TR311;ROMEL3TR312;RONCI3SAUX.1;RONCI3TSNCF.1;SAISS3T311;SAISS3T312;SSUSU3SAUX.1;SSUSU3TSNCF;TAVAU6T10.T32;TAVAU6T7.T9.T31;TILLE3TSNCF.1;VELAR3G1;VELAR3G2;VIELM3TR311;VIELM3TR312;VIELM3TR313;VOSNE3SAUX.1;VOSNE3TSNCF.1;VOUGL3T311S.A.;.VERBL61GEN.P;.VERBL62GEN.P;ARBOIL31CPVAN;ARLODL61GEN.P;B.TOLL71GEN.P;BLYE L31SAISS;BOCTOL71MORBR;BOCTOL72MORBR;BOISSL61C.FO6;BOISSL61CUS.P;BOISSL61MEUNI;BOISSL61MEYZI;BOISSL62CUS.P;BOISSL62MIONS;BOISSL63SSV.E;BOISSY631;BOISSY632;BOISSY633;BOISSY761;BOISSY762;BREU5L61H.PAU;BREVAL31CPVAN;C.REGL31COUB6;C.REGL31LAVOI;C.REGL31MARC6;C.REGL31SSAPO;C.REGL32LAVOI;C.REGL32MARC6;C.REGL33LAVOI;C.ROYL31CHALO;CBRY L71M.SEI;CHA.NL31CHALO;CHA.NL32CHALO;CHA.NL33CHALO;CHAFFL71SSV.O;CHAFFL72SSV.O;CHAFFL73SSV.O;CHAFFL74SSV.O;CHALOL31CHAL6;CHALOL31SENNE;CHALOL32VAREN;CHANCL32VOUGL;CHARPL71SSV.O;CHARPL72SSV.O;CHAV6L61GEN.P;CHESNL71M.SEI;CHESNL72M.SEI;CORNIL62GEN.P;CORNIL71GEN.P;CPDIVL32CPVAN;CPNOLL61GEN.P;CPVANL31MESNA;CPVANL31ZBRE6;CRENEL71REVIG;CRENEY766;CRENEY778;CREYSL71G.ILE;CREYSL72G.ILE;CRIMOL31ZCRIM;DARCEL61VIELM;F.FREL71M.SEI;FLEYRY631;FLEYRY632;FRASNL71GEN.P;G.CHEL31SSAM6;G.CHEL31SSAM7;GEN.PL61SERRI;GEN.PL61ZCRUS;GEN.PY711;GROSNY711;GUEUGY631;GUEUGY632;GUEUGY633;H.PAUY634;H.PAUY635;H.PAUY651;H.PAUY652;H.PAUY712;HOUDRL71M.SEI;HOUDRL72M.SEI;IZERNY631;IZERNY633;JOUX L61ZJOUX;L.SAUL31PYMON;L.SAUL32PYMON;L.SAUL33PYMON;M.SEIY741;M.SEIY742;M.SEIY743;M.SEIY744;MACONY631;MACONY632;MACONY633;MAGNYL31TRIEY;MOREZL31SAISS;P.BERL31PERRI;P.BERL31ROMEL;SARRYL61VIELM;SAULIL31VIELM;SEREIL71VIELM;SSCL5L31VOUGL;VENARL31VIELM;VERREL31VIELM;VERREL32VIELM;VIELML31ZE.CR;VIELML31ZPOIS;VIELMY711;VOUGLL31ZS.M5;VOUGLL32ZP.SA
1.9;1.9;-1.5;-1.5;0.2;0.2;0.2;0.2;-1.2;-13.3;0.0;18.2;13.0;16.0;-1.8;-2.5;-2.5;0.0;-1.7;-1.7;-2.5;0.1;0.8;0.4;1.4;1.4;0.2;0.2;0.7;-2.5;-2.5;-2.5;0.0;-6.1;0.2;-2.6;0.0;0.0;0.0;0.0;-5.9;2.4;2.4;-1.6;0.0;-2.3;-0.0;-0.0;0.8;0.7;0.7;0.7;0.7;0.0;0.0;0.0;-1.8;-1.8;-0.5;-0.5;0.1;0.0;0.2;0.2;-0.4;-0.4;-0.7;-0.7;-0.5;-0.5;0.0;0.0;20.0;-1.3;0.2;0.2;-1.4;-1.4;-0.1;-0.1;-0.1;-1.9;0.0;0.0;0.0;-11.6;0.6;0.6;-0.2;-0.2;-0.2;0.0;0.7;0.7;19.8;19.8;0.0;-0.2;-0.2;-4.6;-4.6;-4.6;0.1;0.1;-5.8;-88.4;0.0;-7.3;0.0;-113.3;0.0;-81.3;-80.7;-5.0;-14.5;-12.6;-8.4;-14.5;44.6;-10.4;5.1;3.1;-25.4;26.3;26.7;-0.4;0.0;-4.1;-2.1;-6.2;-2.4;-4.3;-5.0;-2.9;-3.4;-14.7;0.5;0.5;0.4;0.0;16.4;16.0;15.1;0.0;-2.5;-1.6;-0.4;48.6;47.7;-20.5;19.9;19.8;-27.0;-26.7;-2.0;0.0;-7.0;-3.9;-1.0;-110.1;55.8;46.7;46.7;-0.7;24.6;113.1;0.4;0.2;-83.6;-0.0;-2.8;5.3;-29.1;66.3;66.9;0.0;-4.4;-5.4;9.4;-28.1;3.3;3.3;66.3;-75.1;-75.1;1.2;1.1;-8.7;-3.7;-0.0;-3.7;-4.6;6.4;-2.1;16.4;-10.3;-0.6;-0.5;-1.7;-2.6;-0.0;0.0;24.0;-9.6;6.1;-2.2;-0.1;-0.2;0.9;-1.7;-0.5;67.1;-0.8;-3.3
2.0;2.0;-1.4;-1.4;0.4;0.4;0.4;0.4;-0.8;-13.5;0.0;17.7;13.0;16.0;-1.3;-2.3;-2.3;0.0;-1.7;-1.7;-2.0;0.0;0.1;0.1;1.2;1.2;0.4;0.4;0.1;-2.0;-2.0;-2.0;0.0;-3.7;-0.1;-2.5;0.0;0.0;-0.9;-0.9;-6.5;-1.6;-1.6;-1.9;0.0;-2.3;-0.2;-0.2;0.6;0.9;0.9;0.8;0.8;0.3;0.3;0.3;-1.9;-1.9;-0.3;-0.3;0.4;0.0;0.1;0.1;-0.3;-0.3;-0.4;-0.4;0.5;0.5;-0.7;-0.7;20.0;-1.1;0.2;0.2;-1.3;-1.3;-0.1;-0.1;-0.1;-2.3;0.0;0.0;0.0;-4.7;0.9;0.9;-0.5;-0.5;-0.3;0.0;-0.2;-0.2;20.3;20.3;0.0;0.3;0.3;-4.7;-4.7;-4.7;-0.1;-0.1;-4.4;-85.8;0.0;-6.7;0.0;-119.2;0.0;-79.8;-79.2;-5.2;-14.4;-14.0;-8.8;-14.5;47.6;-11.1;10.6;-0.7;-25.4;26.1;26.5;16.9;0.0;-3.5;-2.1;-6.1;-2.4;-4.2;-4.9;-2.8;-3.6;-4.4;0.6;0.6;0.5;0.0;25.5;25.1;28.4;0.1;-2.4;-1.6;0.4;54.9;54.0;-18.5;32.4;32.2;-22.0;-29.7;-2.0;0.0;-6.4;-3.2;-10.9;-115.8;49.7;50.3;50.3;-0.5;22.2;111.7;0.7;0.5;-87.1;-0.0;-2.3;7.2;-23.9;66.8;67.2;0.0;-10.8;-11.8;7.2;-30.3;3.4;3.4;66.3;-100.6;-100.6;-6.1;3.2;-9.3;-3.0;-0.0;-3.0;-5.3;6.8;-3.1;17.1;-10.4;-0.7;-0.6;-0.5;-2.6;-0.0;0.0;28.1;-9.6;11.8;-1.0;-0.4;-0.2;0.5;-1.8;-0.5;67.3;-0.1;-2.2
2.2;2.2;-1.5;-1.5;0.2;0.2;0.2;0.2;-0.7;-13.3;0.0;17.0;13.0;16.0;-2.4;-2.4;-2.4;0.0;-1.7;-1.7;-2.5;0.2;0.9;0.4;1.4;1.4;0.2;0.2;0.4;-2.4;-2.4;-2.4;0.0;-4.3;0.2;-2.0;0.0;0.0;-1.0;-1.0;-5.5;2.0;2.0;-1.7;0.0;-1.9;-0.1;-0.1;0.9;1.0;1.0;0.7;0.7;0.2;0.2;0.2;-1.5;-1.5;-0.2;-0.2;0.5;0.0;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;0.6;0.6;-0.5;-0.5;20.0;-1.0;0.3;0.3;-1.5;-1.5;-0.1;-0.1;-0.1;-2.9;0.0;0.0;0.0;-10.6;1.1;1.1;-0.3;-0.3;-0.3;0.0;0.1;0.1;21.0;21.0;0.0;-0.3;-0.3;-4.2;-4.2;-4.2;-0.1;-0.1;-6.8;-71.8;0.0;-7.1;0.0;-108.4;0.0;-84.3;-83.6;-5.4;-16.4;-15.7;-6.3;-16.5;50.2;-9.2;4.7;2.7;-25.6;28.5;28.9;-0.4;0.0;-3.9;-2.1;-6.1;-2.4;-4.1;-4.9;-2.8;-3.6;-8.4;0.8;0.8;0.7;0.0;34.2;33.6;38.9;0.3;-2.9;-1.6;1.1;37.1;36.4;-18.0;20.1;20.0;-17.1;-36.3;-1.9;0.0;-6.7;-2.5;9.6;-115.9;50.7;57.6;57.6;-0.8;21.7;119.9;-6.4;3.8;-83.7;-0.0;-2.3;-5.9;-19.1;67.6;67.7;0.0;-8.5;-9.4;8.2;-29.9;3.3;3.3;67.3;-72.3;-72.3;-4.9;4.5;-8.3;-3.8;-0.0;-3.8;-5.3;6.2;-3.1;16.2;-10.2;-0.4;-0.2;-1.0;-2.1;-0.0;0.0;22.9;-9.8;4.7;-0.2;-1.4;-0.2;0.4;-1.9;-0.5;68.1;0.3;-1.0
1.9;1.9;-1.5;-1.5;0.4;0.4;0.4;0.4;-0.9;-13.6;0.0;17.1;13.0;16.0;-2.8;-2.5;-2.5;0.0;-1.8;-1.8;-2.1;0.0;0.1;0.1;1.7;1.7;0.4;0.4;0.8;-2.7;-2.7;-2.7;0.0;-5.2;0.1;-2.4;0.0;0.0;-0.4;-0.4;-5.0;0.6;0.6;-1.9;0.0;-2.2;-0.2;-0.2;1.5;1.0;1.0;0.7;0.7;0.1;0.1;0.1;-1.7;-1.7;-0.1;-0.1;-0.2;0.0;-0.1;-0.1;-0.5;-0.5;-0.6;-0.6;0.0;0.0;-0.6;-0.6;20.0;-1.4;0.3;0.3;-1.4;-1.4;-0.1;-0.1;-0.1;-1.7;0.0;0.0;0.0;-8.7;0.5;0.5;-0.1;-0.1;-0.4;0.0;-0.1;-0.1;20.8;20.8;0.0;-0.0;-0.0;-4.5;-4.5;-4.5;0.3;0.3;-3.9;-68.1;0.0;-6.7;0.0;-100.3;0.0;-79.0;-78.4;-5.6;-16.7;-17.4;-5.0;-16.8;51.6;-10.4;11.6;0.3;-26.1;28.4;28.9;-0.2;-0.0;-3.4;-2.2;-6.6;-2.4;-4.1;-5.2;-2.8;-3.6;-5.7;0.8;0.8;0.7;0.0;43.7;43.0;46.6;0.4;-2.5;-1.6;0.6;40.0;39.2;-16.4;29.8;29.6;-16.0;-30.2;-2.0;0.0;-6.3;-2.8;13.0;-120.2;46.2;53.3;53.3;-0.8;16.4;113.4;-6.3;3.9;-87.1;-0.0;-2.0;-3.6;-17.9;67.3;67.9;0.0;-11.4;-12.3;7.7;-30.5;3.3;3.3;67.5;-85.8;-85.8;-4.8;4.6;-7.1;-4.3;-0.0;-4.3;-6.2;0.9;-4.4;7.0;-10.3;-0.6;-0.4;-0.7;-2.3;-0.0;0.0;22.9;-9.9;4.9;-1.1;-2.3;-0.2;0.7;-1.8;-0.5;68.3;0.0;-1.8
2.1;2.1;-1.4;-1.4;0.1;0.1;0.1;0.1;-0.7;-13.2;0.0;17.0;13.0;16.0;-3.0;-3.3;-3.3;0.0;-1.5;-1.5;-3.5;0.0;0.2;0.1;1.7;1.7;0.4;0.4;0.5;-2.5;-2.5;-2.5;0.0;-3.3;0.1;-2.8;0.0;0.0;0.7;0.7;-7.3;-0.4;-0.4;-2.1;0.0;-2.3;0.2;0.2;1.2;1.1;1.1;0.7;0.7;0.2;0.2;0.2;-1.9;-1.9;-0.6;-0.6;0.8;0.0;0.0;0.0;-0.4;-0.4;-0.4;-0.4;-1.1;-1.1;-0.8;-0.8;20.0;-1.0;0.2;0.2;-1.6;-1.6;-0.0;-0.0;-0.0;-2.8;0.0;0.0;0.0;-6.5;0.4;0.4;-0.6;-0.6;-0.6;0.0;0.2;0.2;21.3;21.3;0.0;0.0;0.0;-4.6;-4.6;-4.6;1.0;1.0;-4.1;-69.9;0.0;-6.7;0.0;-100.4;0.0;-85.3;-84.6;-5.4;-16.6;-17.4;-5.6;-16.7;51.9;-10.1;11.7;0.4;-25.4;28.9;29.3;-0.6;0.0;-3.5;-2.1;-6.4;-2.4;-3.8;-5.1;-2.6;-3.6;-5.7;0.4;0.4;0.3;0.0;44.2;43.5;48.2;-0.0;-2.6;-1.6;0.8;36.4;35.7;-15.7;21.4;21.2;-17.3;-31.8;-2.0;0.0;-6.3;-2.8;13.8;-122.2;44.4;57.9;57.9;-0.7;16.0;102.3;-6.9;3.3;-87.8;-0.0;-2.3;4.6;-19.4;67.3;68.0;0.0;-11.1;-12.1;8.1;-30.1;2.9;2.9;67.7;-66.8;-66.8;-5.0;4.4;-5.8;-3.6;-0.0;-3.6;-7.0;0.9;-5.7;7.1;-8.2;1.5;-8.6;-0.9;-2.5;-0.0;0.0;20.6;-9.7;-2.3;-1.3;-2.4;-0.2;0.4;-1.9;-0.5;68.6;0.1;-2.0
1.6;1.6;-1.3;-1.3;0.2;0.2;0.2;0.2;-1.0;-13.5;0.0;18.5;13.0;16.0;-2.0;-2.2;-2.2;0.0;-1.7;-1.7;-3.3;0.1;0.5;0.2;1.7;1.7;0.4;0.4;0.9;-2.5;-2.5;-2.5;0.0;-2.9;0.0;-2.8;0.0;0.0;-0.5;-0.5;-7.3;1.7;1.7;-2.3;0.0;-2.0;-0.0;-0.0;1.5;0.8;0.8;0.6;0.6;0.2;0.2;0.2;-1.8;-1.8;-0.5;-0.5;-0.4;0.0;-0.3;-0.3;-0.6;-0.6;-0.6;-0.6;0.3;0.3;-0.3;-0.3;20.0;-1.4;0.2;0.2;-1.6;-1.6;-0.2;-0.2;-0.2;-1.8;0.0;0.0;0.0;-10.2;0.7;0.7;-0.3;-0.3;-0.3;0.0;0.1;0.1;22.2;22.2;0.0;-0.4;-0.4;-4.5;-4.5;-4.5;0.0;0.0;-5.1;-69.2;0.0;-6.9;0.0;-111.1;0.0;-76.5;-76.0;-5.6;-16.2;-17.6;-4.2;-16.2;53.2;-9.3;5.6;3.6;-25.8;28.2;28.6;-0.2;-0.0;-3.4;-2.2;-6.2;-2.0;-4.1;-5.0;-2.8;-3.6;2.6;0.5;0.5;0.4;0.0;49.3;48.5;50.9;0.1;-2.3;-1.6;0.7;39.1;38.3;-5.7;0.0;52.3;-20.0;-27.6;-2.1;0.0;-6.6;-3.2;17.0;-123.8;42.8;52.0;52.0;-1.3;13.1;94.8;-7.1;3.1;-84.4;-0.0;-1.4;6.9;-22.2;67.4;68.2;0.0;-9.4;-10.4;8.5;-29.8;3.5;3.5;67.9;-70.0;-70.0;-5.0;4.4;-5.6;-3.3;-0.0;-3.3;-8.1;-0.4;-7.3;4.9;-10.3;-0.5;-0.3;-1.3;-2.3;-0.0;0.0;22.4;-9.9;3.0;-0.6;-1.6;-0.2;0.4;-2.0;-0.5;68.8;0.1;-1.2
1.9;1.9;-1.4;-1.4;0.2;0.2;0.2;0.2;-0.8;-14.1;0.0;17.6;13.0;16.0;-3.1;-2.7;-2.7;0.0;-1.8;-1.8;-3.6;-0.0;-0.2;-0.1;1.7;1.7;0.6;0.6;1.4;-2.6;-2.6;-2.6;0.0;-5.2;0.1;-3.1;0.0;0.0;0.6;0.6;-4.2;1.5;1.5;-1.0;0.0;-2.2;-0.4;-0.4;2.1;1.1;1.1;0.6;0.6;0.1;0.1;0.1;-2.0;-2.0;-0.4;-0.4;0.7;0.0;-0.1;-0.1;-0.8;-0.8;-1.0;-1.0;-1.1;-1.1;-0.3;-0.3;20.0;-2.1;0.2;0.2;-1.4;-1.4;-0.1;-0.1;-0.1;-2.6;0.0;0.0;0.0;-9.0;0.7;0.7;-0.5;-0.5;-0.7;0.0;0.3;0.3;21.6;21.6;0.0;-0.3;-0.3;-4.0;-4.0;-4.0;0.6;0.6;-5.4;-80.9;0.0;-7.4;0.0;-96.6;0.0;-69.1;-68.8;-5.4;-16.4;-17.7;-3.3;-16.5;50.5;-7.1;11.6;0.3;-25.5;27.0;27.4;-0.5;0.0;-3.7;-2.4;-5.4;-2.0;-4.2;-4.8;-2.9;-3.4;3.2;0.7;0.7;0.6;0.0;51.6;50.8;52.2;0.2;-2.4;-1.6;1.0;42.6;41.8;-9.0;0.0;61.3;-22.5;-20.1;-2.1;0.0;-7.0;-2.6;13.7;-127.7;37.9;47.4;47.4;-1.1;8.0;75.5;-5.8;4.3;-78.5;-0.0;-2.0;7.4;-24.8;66.8;68.0;0.0;-9.3;-10.3;8.9;-29.4;4.0;4.0;67.6;-63.4;-63.4;-5.0;4.3;-4.8;-3.3;-0.0;-3.3;-9.0;0.4;-8.7;6.2;-7.6;2.1;-8.0;-1.5;-2.1;-0.0;0.0;23.0;-9.6;5.2;-0.7;-2.2;-0.2;0.4;-2.2;-0.5;68.5;0.3;-1.3
1.5;1.5;-1.3;-1.3;0.2;0.2;0.2;0.2;-0.9;-13.7;0.0;18.7;13.0;16.0;-2.1;-2.5;-2.5;0.0;-1.8;-1.8;-3.3;-0.0;-0.2;-0.1;1.7;1.7;0.3;0.3;0.9;-3.0;-3.0;-3.0;0.0;-3.8;0.0;-3.3;0.0;0.0;0.1;0.1;-4.9;1.4;1.4;-1.4;0.0;-2.5;-0.4;-0.4;1.0;1.4;1.4;0.7;0.7;0.1;0.1;0.1;-1.8;-1.8;-0.5;-0.5;-0.2;0.0;0.2;0.2;-0.4;-0.4;-0.9;-0.9;-0.2;-0.2;-0.3;-0.3;20.0;-1.8;0.2;0.2;-1.4;-1.4;-0.1;-0.1;-0.1;-2.0;0.0;0.0;0.0;-9.3;0.7;0.7;-0.2;-0.2;-0.4;0.0;-0.0;-0.0;21.1;21.1;0.1;-0.2;-0.2;-4.5;-4.5;-4.5;0.3;0.3;-4.2;-74.4;0.0;-6.7;0.0;-105.4;0.0;-64.8;-64.6;-4.9;-16.2;-15.8;-3.5;-16.2;48.6;-6.5;11.9;0.6;-25.0;23.8;24.3;-0.5;-0.0;-3.0;-2.2;-5.0;-2.0;-4.1;-4.9;-2.8;-3.6;0.8;1.0;0.9;0.9;0.0;52.2;51.4;54.9;0.5;-2.1;-1.6;0.9;52.9;52.0;-11.0;0.0;63.0;-23.1;-18.4;-2.0;0.0;-6.3;-2.2;11.3;-123.1;42.0;44.4;44.4;-0.9;9.8;82.3;-5.8;4.3;-70.8;-0.0;-2.3;11.4;-25.4;66.4;67.5;0.0;-7.9;-8.9;9.2;-28.7;3.7;3.7;67.1;-68.0;-68.0;-4.8;4.4;-5.2;-2.4;-0.0;-2.4;-8.8;0.6;-8.4;6.5;-9.4;0.3;0.5;-0.7;-2.3;-0.0;0.0;24.1;-8.3;8.2;-0.9;-1.9;-0.2;0.4;-2.2;-0.5;68.0;0.3;-1.8
0.7;0.7;-1.0;-1.0;0.2;0.2;0.2;0.2;-0.8;-13.7;0.0;16.3;13.0;16.0;-4.7;-2.1;-2.1;0.0;-1.6;-1.6;-3.8;-0.1;-0.6;-0.3;1.7;1.7;0.3;0.3;0.7;-2.5;-2.5;-2.5;0.0;2.1;-0.5;-2.9;0.0;0.0;0.2;0.2;-3.6;-1.7;-1.7;-1.4;0.0;-2.8;0.1;0.1;1.0;1.0;1.0;0.7;0.7;0.0;0.0;0.0;-2.1;-2.1;0.0;0.0;0.2;0.0;0.2;0.2;-0.3;-0.3;-0.6;-0.6;-0.2;-0.2;-0.0;-0.0;20.0;-2.0;0.2;0.2;-1.1;-1.1;-0.0;-0.0;-0.0;-2.1;0.0;0.0;0.0;-5.5;0.8;0.8;0.4;0.4;-0.2;0.0;-0.2;-0.2;21.4;21.4;0.0;-0.3;-0.3;-4.2;-4.2;-4.2;0.2;0.2;-3.8;-68.7;0.0;-5.2;0.0;-66.8;0.0;-63.9;-63.7;-2.4;-16.0;-13.0;-2.0;-16.1;44.9;-5.0;6.2;4.2;-24.0;21.6;22.2;-0.8;0.0;-2.5;-2.2;-5.0;-2.0;-4.2;-5.0;-2.8;-3.3;-5.6;1.3;1.3;1.2;0.0;28.6;28.1;17.4;0.8;-2.3;-1.2;0.3;39.9;39.2;-11.4;0.0;62.1;-20.4;-6.3;-1.7;0.0;-5.0;-0.1;20.3;-124.4;41.8;37.2;37.2;-0.7;3.1;99.2;-7.6;1.3;-60.5;-0.0;-1.7;11.1;-22.7;66.4;67.9;0.0;-8.2;-9.1;10.7;-27.6;3.8;3.9;67.6;-69.5;-69.5;-4.9;4.4;-1.5;-2.4;-0.0;-2.4;-9.1;-1.6;-8.8;2.8;-6.0;3.7;-6.3;-0.6;-2.0;-0.0;0.0;16.6;-7.5;2.9;-1.2;-2.8;-0.2;0.6;-1.8;-0.5;68.6;-0.4;-2.1
1.7;1.7;-1.4;-1.4;0.3;0.3;0.3;0.3;-0.7;-12.0;0.0;16.6;13.0;16.0;-4.6;-2.0;-2.0;0.0;-1.6;-1.6;-3.0;0.0;-1.8;-0.8;1.8;1.8;0.2;0.2;0.8;-2.2;-2.2;-2.2;0.0;0.5;0.4;-2.5;0.0;0.0;-0.3;-0.3;-4.5;-0.8;-0.8;-1.1;0.0;-2.1;-0.1;-0.1;1.3;1.6;1.6;0.3;0.3;0.1;0.1;0.1;-2.1;-2.1;0.0;0.0;1.4;0.0;-0.4;-0.4;-0.4;-0.4;-0.6;-0.6;0.6;0.6;-0.3;-0.3;20.0;-1.0;0.2;0.2;-1.2;-1.2;-0.2;-0.2;-0.2;-2.7;0.0;0.0;0.0;-3.6;1.9;1.9;-0.8;-0.8;0.8;0.0;0.5;0.5;18.4;18.4;0.1;-0.3;-0.3;-3.9;-3.9;-3.9;0.1;0.1;-3.9;-59.6;0.0;-4.8;0.0;-41.2;0.0;-74.8;-74.4;-1.2;-17.4;-15.2;1.2;-17.4;48.1;-3.3;6.4;4.4;-23.0;19.5;20.1;10.3;0.0;-2.9;-2.1;-4.7;-1.6;-4.1;-4.9;-2.8;-3.1;-20.5;1.2;1.2;1.1;0.0;37.2;36.6;31.5;0.7;-0.6;0.0;0.5;35.4;34.7;-2.8;36.2;36.0;-12.5;0.8;-1.6;0.0;-4.6;-0.2;25.3;-121.3;46.5;45.9;45.9;1.0;-1.8;79.2;-9.6;9.6;-51.2;-0.0;-1.1;11.9;-14.5;66.3;67.7;0.0;-7.1;-8.1;12.3;-25.9;4.1;4.1;67.4;-67.5;-67.5;-4.3;5.0;-1.6;-2.3;-0.0;-2.3;-8.5;-1.6;-7.9;3.0;-5.2;4.5;-5.5;-2.9;-1.3;-0.0;0.0;8.8;-7.7;-5.4;-0.9;-3.7;-0.2;0.4;-1.6;-0.5;68.8;0.3;-2.0
