lines_disconnected;0
BOCTOL71M.SEI;[{'type': 'consignation', 'start': '20241209T0745Z', 'end': '20241209T2355Z', 'details': [{'type': 'consigné', 'start': '20241209T0745Z', 'end': '20241209T2355Z'}]}]
BOISSL61GEN.P;[{'type': 'suav_manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T2355Z'}]}]
CHALOL31LOUHA;[{'type': 'suav_manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T2355Z'}]}]
COLLOL31GENLI;[{'type': 'consignation', 'start': '20241209T0000Z', 'end': '20241209T2355Z', 'details': [{'type': 'consigné', 'start': '20241209T0000Z', 'end': '20241209T2355Z'}]}]
COMMUL61H.PAU;[{'type': 'consignation', 'start': '20241209T0630Z', 'end': '20241209T2355Z', 'details': [{'type': 'consigné', 'start': '20241209T0630Z', 'end': '20241209T2355Z'}]}]
CURTIL61ZCUR5;[{'type': 'suav_manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T2355Z'}]}]
GEN.PL61GENIS;[{'type': 'suav_manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T1555Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T1555Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241209T1905Z', 'end': '20241209T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T1905Z', 'end': '20241209T2355Z'}]}]
GEN.PL62GENIS;[{'type': 'suav_manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T0550Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T0550Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241209T1205Z', 'end': '20241209T1450Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T1205Z', 'end': '20241209T1450Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241209T2305Z', 'end': '20241209T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T2305Z', 'end': '20241209T2355Z'}]}]
GEN.PL63GENIS;[{'type': 'suav_manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T2355Z'}]}]
GEN.PL64GENIS;[{'type': 'suav_manoeuvre', 'start': '20241209T0105Z', 'end': '20241209T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T0105Z', 'end': '20241209T0350Z'}]}]
GENLIL31MAGNY;[{'type': 'consignation_manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T0930Z'}, {'type': 'consigné', 'start': '20241209T0935Z', 'end': '20241209T1040Z'}, {'type': 'manoeuvre', 'start': '20241209T1045Z', 'end': '20241209T1050Z'}, {'type': 'consigné', 'start': '20241209T1055Z', 'end': '20241209T2355Z'}]}]
M.SEIL72VIELM;[{'type': 'consignation', 'start': '20241209T0845Z', 'end': '20241209T2355Z', 'details': [{'type': 'consigné', 'start': '20241209T0845Z', 'end': '20241209T2355Z'}]}]
GEN.PY762;[{'type': 'consignation', 'start': '20241209T0000Z', 'end': '20241209T2355Z', 'details': [{'type': 'consigné', 'start': '20241209T0000Z', 'end': '20241209T2355Z'}]}]
GENISY611;[{'type': 'suav_manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T1555Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T1555Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241209T1905Z', 'end': '20241209T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T1905Z', 'end': '20241209T2355Z'}]}]
GENISY615;[{'type': 'suav_manoeuvre', 'start': '20241209T0105Z', 'end': '20241209T0550Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T0105Z', 'end': '20241209T0550Z'}]}]
GENISY614;[{'type': 'suav_manoeuvre', 'start': '20241209T0105Z', 'end': '20241209T0350Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T0105Z', 'end': '20241209T0350Z'}]}]
GENISY613;[{'type': 'suav_manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T2355Z'}]}]
GENISY612;[{'type': 'suav_manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T0550Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T0000Z', 'end': '20241209T0550Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241209T1205Z', 'end': '20241209T1450Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T1205Z', 'end': '20241209T1450Z'}]}, {'type': 'suav_manoeuvre', 'start': '20241209T2305Z', 'end': '20241209T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20241209T2305Z', 'end': '20241209T2355Z'}]}]
