lines_disconnected;0
BOISSL61GEN.P;[{'type': 'suav_manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z'}]}]
BUGEYL75SSV.O;[{'type': 'suav_manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z'}]}]
CHALOL31LOUHA;[{'type': 'suav_manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z'}]}]
CRENEL71VIELM;[{'type': 'consignation', 'start': '20240827T0510Z', 'end': '20240827T2355Z', 'details': [{'type': 'consigné', 'start': '20240827T0510Z', 'end': '20240827T2355Z'}]}]
CURTIL61ZCUR5;[{'type': 'suav_manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z'}]}]
GEN.PL62GENIS;[{'type': 'suav_manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T0550Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T0550Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240827T0805Z', 'end': '20240827T1550Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0805Z', 'end': '20240827T1550Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240827T2205Z', 'end': '20240827T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T2205Z', 'end': '20240827T2355Z'}]}]
GEN.PL63GENIS;[{'type': 'suav_manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z'}]}]
GEN.PL64GENIS;[{'type': 'suav_manoeuvre', 'start': '20240827T0005Z', 'end': '20240827T0450Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0005Z', 'end': '20240827T0450Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240827T0805Z', 'end': '20240827T1550Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0805Z', 'end': '20240827T1550Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240827T2205Z', 'end': '20240827T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T2205Z', 'end': '20240827T2355Z'}]}]
GEN.PL73VIELM;[{'type': 'consignation', 'start': '20240827T0000Z', 'end': '20240827T2355Z', 'details': [{'type': 'consigné', 'start': '20240827T0000Z', 'end': '20240827T2355Z'}]}]
PYMONL61VOUGL;[{'type': 'consignation', 'start': '20240827T0000Z', 'end': '20240827T2355Z', 'details': [{'type': 'consigné', 'start': '20240827T0000Z', 'end': '20240827T2355Z'}]}]
GEN.PY762;[{'type': 'suav_manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z'}]}]
CPVANY632;[{'type': 'consignation', 'start': '20240827T0000Z', 'end': '20240827T2355Z', 'details': [{'type': 'consigné', 'start': '20240827T0000Z', 'end': '20240827T2355Z'}]}]
GENISY615;[{'type': 'suav_manoeuvre', 'start': '20240827T0205Z', 'end': '20240827T0355Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0205Z', 'end': '20240827T0355Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240827T1105Z', 'end': '20240827T1455Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T1105Z', 'end': '20240827T1455Z'}]}]
GENISY614;[{'type': 'suav_manoeuvre', 'start': '20240827T0005Z', 'end': '20240827T0450Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0005Z', 'end': '20240827T0450Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240827T0805Z', 'end': '20240827T1550Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0805Z', 'end': '20240827T1550Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240827T2205Z', 'end': '20240827T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T2205Z', 'end': '20240827T2355Z'}]}]
GENISY613;[{'type': 'suav_manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z'}]}]
GENISY612;[{'type': 'suav_manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T0550Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T0550Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240827T0805Z', 'end': '20240827T1550Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0805Z', 'end': '20240827T1550Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240827T2205Z', 'end': '20240827T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T2205Z', 'end': '20240827T2355Z'}]}]
PYMONY632;[{'type': 'consignation', 'start': '20240827T0000Z', 'end': '20240827T2355Z', 'details': [{'type': 'consigné', 'start': '20240827T0000Z', 'end': '20240827T2355Z'}]}]
TAVA5Y611;[{'type': 'suav_manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T0825Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T0825Z'}]}]
TAVA5Y612;[{'type': 'suav_manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240827T0000Z', 'end': '20240827T2355Z'}]}]
